,Sessuvium,Bucholzia,Leptaulus,Afzelia,Piliostigma,Dichrostachys,Lamiaceae,Ochna,Securidaca,Psydrax,Holoptela,Balanites,Fagonia,Heliotropium,Brassicaceae,Convolvulaceae,Indigofera,Lotus,Adenia,Plantago,Spermacoce,Xyris,Sabicea,Cardiospermum,Amaranthaceae,Landolphia,Tabernaemontana,Ilex,Bignoniaceae,Canarium,Tessmannia,Mammea,Allanblackia,Aneulophus,Anthostema,Thecacoris,Martretia,Baphia,Xylia,Caloncoba,Kirkia,Antiaris,Ongokea,Strombosia,Panda,Medusandra,Coffea,Ixora,Teclea,Lecaniodiscus,Ganophyllum,Paullinia,Zanha,Triplochiton,Mangifera,Asteraceae,Bombax,Ceiba,Discoglypremna,Tephrosia,Acacia,Premna,Rumex,Morinda,Dichostemma,Gilbertiodendron,Irvingia,Scaphopetalum,Prunus,Craterispermum,Rinorea,Loranthaceae,Moraceae,Phyllantheae,Sapindaceae,Vitaceae,Aidia,Croton,Dialium,Drypetes,Pterocarpus,Meliaceae,Nesogordonia,Olax,Parinari,Symphonia,Allophylus,Celtis,Pycnanthus,Zanthoxylum,Blighia,Bridelia,Capparis,Sterculia,Detarium,Diospyros,Dracaena,Euphorbia,Erythrococca,Syzygium,Fabaceae,Ficus,Hymenocardia,Vitex,Copaifera,Entada,Manilkara,Mimusops,Pandanus,Pseudospondias,Uapaca,Phoenix,Raphia,Alchornea,Combretaceae,Lophira,Cyperaceae,Nymphaea,Typha,Nauclea,Elaeis,Macaranga,Myianthus,Spathodea,Tetrorchidium,Trema,Anthocleista,Borassus,Hannoa,Lannea,Pouteria,Zizyphus,Gramineae,Celastraceae,Tiliacora,Annonaceae,Malvaceae,Palmae,Rubiaceae,Indet,volume,Lyco_added,Lyco_count
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,2,0,1,1,6,2,1,1,1,0,6,0,0,0,1,0,0,6,0,2,0,0,3,0,0,0,3,2,2,16,6,0,4,0,1,0,11,2,58,24,0,0,3,3,2,3,4,1,5,2,0,0,2,0,1,0,9,2,25084,44
105,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,0,0,4,0,6,6,0,1,0,0,5,0,1,0,0,1,0,0,0,0,2,6,1,0,0,1,0,5,2,9,16,5,6,1,2,0,7,3,47,22,0,2,2,1,0,0,2,0,0,16,0,0,0,0,0,1,12,2,24200,29
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,9,1,2,6,2,0,6,1,2,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0,4,14,6,3,2,0,1,1,3,2,67,25,0,1,1,2,1,0,1,0,3,11,0,0,1,2,1,2,8,2,25084,27
115,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,4,2,0,2,3,0,0,1,0,0,0,7,1,1,4,2,0,6,0,1,1,2,2,1,1,1,1,0,0,1,0,0,0,0,1,2,13,14,4,2,0,6,0,7,2,61,12,0,0,0,0,1,2,2,0,3,10,1,0,0,0,3,1,10,2,24200,13
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,1,0,1,0,0,0,7,6,0,4,3,0,3,2,0,0,0,0,0,5,1,4,2,2,0,0,0,1,1,2,4,11,7,1,5,1,3,0,7,1,50,26,0,2,2,1,2,1,1,1,4,9,0,1,0,1,2,0,13,2,25084,28
125,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,10,3,1,10,2,0,1,0,0,0,0,0,1,1,1,2,2,3,0,0,1,1,1,3,4,5,9,3,2,0,0,1,5,3,50,17,1,1,4,2,3,1,0,0,0,17,1,2,2,0,3,0,11,2,24200,22
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,8,0,0,0,0,0,1,5,1,0,1,0,0,3,3,1,0,2,0,0,1,2,0,0,3,1,0,0,0,6,1,2,14,7,1,8,0,0,0,6,1,48,30,0,1,4,3,0,2,2,2,7,7,0,3,1,0,4,0,23,2,25084,22
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,5,1,2,1,0,0,0,3,2,2,2,2,0,6,1,1,4,0,0,1,0,2,1,1,2,4,0,0,0,1,3,2,13,7,9,2,0,4,0,11,2,40,25,0,0,4,5,2,0,2,3,3,16,0,0,1,0,3,0,8,2,24200,13
140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,2,0,5,1,0,0,0,0,0,2,1,4,3,0,0,7,1,1,0,1,0,2,1,1,2,2,2,3,0,0,0,0,1,2,14,11,5,4,0,0,0,14,0,45,28,0,0,0,0,1,1,5,0,2,14,0,0,1,0,1,1,17,2,25084,50
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,1,4,3,2,6,1,0,6,1,0,0,0,0,1,0,0,0,1,4,4,0,2,0,0,1,4,7,10,5,3,2,3,0,19,0,48,17,0,1,2,0,0,2,0,2,1,14,0,0,0,0,3,2,9,2,24200,12
