Pol_type,Family,CodeNames,FullNames,Biome
,CAPPARACEAE,Bucholzia,Bucholzia,01-RARE-GCRF-WOODLAND MOSAIC
,EUPHORBIACEAE,Bridelia,Bridelia,01-RARE-GCRF-WOODLAND MOSAIC
,FABACEAE - MIMOSACEAE,Parkia,Parkia,01-RARE-GCRF-WOODLAND MOSAIC
,PHYLLANTHACEAE,Hymenocardia,Hymenocardia,01-RARE-GCRF-WOODLAND MOSAIC
,POLYGALACEAE,Securidaca,Securidaca,01-RARE-GCRF-WOODLAND MOSAIC
,ZYGOPHYLLACEAE,Fagonia,Fagonia,01-RARE-GCRF-WOODLAND MOSAIC
,FABACEAE,Lotus,Lotus,01-RARE-HERBACEOUS
,PEDALIACEAE,Sesamum,Sesamum,01-RARE-HERBACEOUS
,CYPERACEAE,Cyperaceae,Cyperaceae Undiff.,01-RARE-HERBACEOUS - WETLAND
,TYPHACEAE,Typha,Typha,01-RARE-HERBACEOUS - WETLAND
,XYRIDACEAE,Xyris,Xyris,01-RARE-HERBACEOUS - WETLAND
,HERNANDIACEAE,Illigera,Illigera,01-RARE-LIANA
,MENISPERMIACEAE,Tiliacora,Tiliacora funerifera,01-RARE-LIANA
,SAPINDACEAE,Cardiospermum,Cardiospermum,01-RARE-LIANA
,BIGNONIACEAE,Fernandoa,Fernandoa,01-RARE-MIXED GCRF
,BURSERACEAE,Canarium,Canarium schweinfurthii,01-RARE-MIXED GCRF
,CLUSIACEAE,Mammea,Mammea,01-RARE-MIXED GCRF
,CLUSIACEAE,Symphonia,Symphonia globulifera,01-RARE-MIXED GCRF
,CLUSIACEAE-GUTTIFERAE,Allablackia,Allablackia,01-RARE-MIXED GCRF
,ERYTHROXYLACEAE,Aneulophus,Aneulophus,01-RARE-MIXED GCRF
,EUPHORBIACEAE,Thecacorus,Antidesma/Thecacorus,01-RARE-MIXED GCRF
,EUPHORBIACEAE,Croton,Croton/Crotonogyne/Jatropha/Manniophyton/Neoboutonia,01-RARE-MIXED GCRF
,EUPHORBIACEAE,Drypetes,Drypetes,01-RARE-MIXED GCRF
,MELIACEAE,Khaya,Khaya,01-RARE-MIXED GCRF
,OLACACEAE,Olax,Olax,01-RARE-MIXED GCRF
,PANDACEAE,Panda,Panda,01-RARE-MIXED GCRF
,SAPINDACEAE,Eriocoelum,Eriocoelum,01-RARE-MIXED GCRF
,STERCULIACEAE,Nesogordinia,Nesogordinia,01-RARE-MIXED GCRF
,STERCULIACEAE,Triplochiton,Triplochiton scleroxylon,01-RARE-MIXED GCRF
,PALMAE,Borassus,Borassus/Hyphaene,01-RARE-PALMAE
,PALMAE,Elaeis,Elaeis guineensis,01-RARE-PALMAE
,PALMAE,Palmae,Palmae Undiff.,01-RARE-PALMAE
,ANACARDIACEAE,Lannea,Lannea,01-RARE-PIONEER TREES/SHRUBS
,ASTERACEAE,Asteraceae,Asteraceae Undifferentiated.,01-RARE-PIONEER TREES/SHRUBS
,GENTIANACEAE,Anthocleista,Anthocleista grandiflora,01-RARE-PIONEER TREES/SHRUBS
,LAMIACEAE,Premna,Premna,01-RARE-PIONEER TREES/SHRUBS
,RUBIACEAE,Morinda,Morinda citrifolia,01-RARE-PIONEER TREES/SHRUBS
,SAPOTACEAE,Pouteria,Pouteria,01-RARE-PIONEER TREES/SHRUBS
,SIMAROUBACEAE,Hannoa,Hannoa,01-RARE-PIONEER TREES/SHRUBS
,SALICACEAE,Casearia,Casearia,01-RARE-RIPARIAN FORESTS
,FABACEAE - CAESALPINIACEAE,Berlinia,Berlinia,01-RARE-RIPARIAN GCRF
,MALVACEAE - STERCULIACEAE,Scaphopetalum,Scaphopetalum,01-RARE-RIPARIAN GCRF
,PANDANACEAE,Pandanus,Pandanus,01-RARE-RIPARIAN GCRF
,ROSACEAE,Prunus,Prunus,01-RARE-RIPARIAN GCRF
,RUBIACEAE,Craterispermum,Craterispermum,01-RARE-RIPARIAN GCRF
,Sapotaceae,Manilkara,Manilkara,01-RARE-RIPARIAN GCRF
,SAPOTACEAE,Mimusops,Mimusops,01-RARE-RIPARIAN GCRF
,RUTACEAE,Zanthoxylum,Zanthoxylum,01-RARE-SECONDARY GCRF
