Pol_type,Family,CodeNames,FullNames,Biome
,AIZOACEAE,Sessuvium,Sessuvium,01-RARE-GCRF-WOODLAND MOSAIC
,CAPPARACEAE,Bucholzia,Bucholzia,01-RARE-GCRF-WOODLAND MOSAIC
,CARDIOTERIDACEAE,Leptaulus,Leptaulus,01-RARE-GCRF-WOODLAND MOSAIC
,FABACEAE - CAESALPINIACEAE,Afzelia,Afzelia,01-RARE-GCRF-WOODLAND MOSAIC
,FABACEAE - CAESALPINIACEAE,Piliostigma,Piliostigma,01-RARE-GCRF-WOODLAND MOSAIC
,FABACEAE - MIMOSACEAE,Dichrostachys,Dichrostachys,01-RARE-GCRF-WOODLAND MOSAIC
,LAMIACEAE,Lamiaceae,Lamiaceae undiff.,01-RARE-GCRF-WOODLAND MOSAIC
,OCHNACEAE,Ochna,Ochna,01-RARE-GCRF-WOODLAND MOSAIC
,POLYGALACEAE,Securidaca,Polygala_Securidaca,01-RARE-GCRF-WOODLAND MOSAIC
,RUBIACEAE,Psydrax,Keetia_Psydrax,01-RARE-GCRF-WOODLAND MOSAIC
,ULMACEAE,Holoptela,Holoptela grandis,01-RARE-GCRF-WOODLAND MOSAIC
,ZYGOPHYLLACEAE,Balanites,Balanites,01-RARE-GCRF-WOODLAND MOSAIC
,ZYGOPHYLLACEAE,Fagonia,Fagonia,01-RARE-GCRF-WOODLAND MOSAIC
,BORAGINACEAE,Heliotropium,Heliotropium,01-RARE-HERBACEOUS
,BRASSICACEAE,Brassicaceae,Brassicaceae undiff.,01-RARE-HERBACEOUS
,CONVOLVULACEAE,Convolvulaceae,Convolvulaceae undiff.,01-RARE-HERBACEOUS
,FABACEAE,Indigofera,Indigofera,01-RARE-HERBACEOUS
,FABACEAE,Lotus,Lotus,01-RARE-HERBACEOUS
,PASSIFLORACEAE,Adenia,Adenia,01-RARE-HERBACEOUS
,PLANTAGINACEAE,Plantago,Plantago,01-RARE-HERBACEOUS
,RUBIACEAE,Spermacoce,Spermacoce_Diodia,01-RARE-HERBACEOUS
,XYRIDACEAE,Xyris,Xyris,01-RARE-HERBACEOUS - WETLAND
,RUBIACEAE,Sabicea,Sabicea,01-RARE-LIANA
,SAPINDACEAE,Cardiospermum,Cardiospermum,01-RARE-LIANA
,AMARANTHACEAE_CHENOPODIACEAE,Amaranthaceae,Amaranthaceae_Chenopodiaceae undiff.,01-RARE-MIXED GCRF
,APOCYNACEAE,Landolphia,Alstonia_Landolphia,01-RARE-MIXED GCRF
,APOCYNACEAE,Tabernaemontana,Tabernaemontana,01-RARE-MIXED GCRF
,AQUIFOLIACEAE,Ilex,Ilex mitis,01-RARE-MIXED GCRF
,BIGNONIACEAE,Bignoniaceae,Bignoniaceae Undiff.,01-RARE-MIXED GCRF
,BURSERACEAE,Canarium,Canarium schweinfurthii,01-RARE-MIXED GCRF
,CAESALPINIACEAE,Tessmannia,Tessmannia,01-RARE-MIXED GCRF
,CLUSIACEAE,Mammea,Mammea africana-type,01-RARE-MIXED GCRF
,CLUSIACEAE-GUTTIFERAE,Allanblackia,Allanblackia,01-RARE-MIXED GCRF
,ERYTHROXYLACEAE,Aneulophus,Aneulophus,01-RARE-MIXED GCRF
,EUPHORBIACEAE,Anthostema,Anthostema,01-RARE-MIXED GCRF
,EUPHORBIACEAE,Thecacoris,Antidesma_Thecacoris,01-RARE-MIXED GCRF
,EUPHORBIACEAE,Martretia,Martretia,01-RARE-MIXED GCRF
,FABACEAE,Baphia,Baphia_Millettia,01-RARE-MIXED GCRF
,FABACEAE - MIMOSACEAE,Xylia,Xylia-type,01-RARE-MIXED GCRF
,FLACOURTIACEAE,Caloncoba,Caloncoba-type,01-RARE-MIXED GCRF
,KIRKIACEAE,Kirkia,Kirkia,01-RARE-MIXED GCRF
,MORACEAE,Antiaris,Antiaris_Milicia_Morus,01-RARE-MIXED GCRF
,OLACACEAE,Ongokea,Ongokea gore,01-RARE-MIXED GCRF
,OLACACEAE,Strombosia,Strombosia,01-RARE-MIXED GCRF
,PANDACEAE,Panda,Panda oleosa,01-RARE-MIXED GCRF
,PERIDISCACEAE,Medusandra,Medusandra,01-RARE-MIXED GCRF
,RUBIACEAE,Coffea,Coffea,01-RARE-MIXED GCRF
,RUBIACEAE,Ixora,Ixora-type,01-RARE-MIXED GCRF
,RUTACEAE,Teclea,Teclea_Vepris,01-RARE-MIXED GCRF
,SAPINDACEAE,Lecaniodiscus,Aphania_Lecaniodiscus,01-RARE-MIXED GCRF
,SAPINDACEAE,Ganophyllum,Ganophyllum-type giganteum,01-RARE-MIXED GCRF
,SAPINDACEAE,Paullinia,Paullinia pinnata,01-RARE-MIXED GCRF
,SAPINDACEAE,Zanha,Zanha,01-RARE-MIXED GCRF
,STERCULIACEAE,Triplochiton,Triplochiton,01-RARE-MIXED GCRF
,ANACARDIACEAE,Mangifera,Mangifera type,01-RARE-PIONEER TREES/SHRUBS
,ASTERACEAE,Asteraceae,Asteraceae,01-RARE-PIONEER TREES/SHRUBS
,BOMBACEAE,Bombax,Bombax,01-RARE-PIONEER TREES/SHRUBS
,BOMBACEAE,Ceiba,Ceiba pentandra,01-RARE-PIONEER TREES/SHRUBS
,EUPHORBIACEAE,Discoglypremna,Discoglypremna caloneura,01-RARE-PIONEER TREES/SHRUBS
,FABACEAE,Tephrosia,Tephrosia,01-RARE-PIONEER TREES/SHRUBS
,FABACEAE - MIMOSACEAE,Acacia,Acacia,01-RARE-PIONEER TREES/SHRUBS
,LAMIACEAE,Premna,Premna,01-RARE-PIONEER TREES/SHRUBS
,POLYGONACEAE,Rumex,Rumex,01-RARE-PIONEER TREES/SHRUBS
,RUBIACEAE,Morinda,Morinda lucida-type,01-RARE-PIONEER TREES/SHRUBS
,EUPHORBIACEAE,Dichostemma,Dichostemma,01-RARE-RIPARIAN GCRF
,FABACEAE - CAESALPINIACEAE,Gilbertiodendron,Gilbertiodendron_Isomacrolobium_Isoberlinia_Berlinia_Pelligriniodendron,01-RARE-RIPARIAN GCRF
,IRVINGIACEAE,Irvingia,Irvingia_Klainedoxa,01-RARE-RIPARIAN GCRF
,MALVACEAE - STERCULIACEAE,Scaphopetalum,Scaphopetalum,01-RARE-RIPARIAN GCRF
,ROSACEAE,Prunus,Prunus,01-RARE-RIPARIAN GCRF
,Rubiaceae,Craterispermum,Craterispermum,01-RARE-RIPARIAN GCRF
,VIOLACEAE,Rinorea,Rinorea,01-RARE-RIPARIAN GCRF
,LORANTHACEAE,Loranthaceae,Loranthaceae undiff.,01-RARE-VARIOUS
,MORACEAE,Moraceae,Moraceae Undiff.,01-RARE-VARIOUS
,PHYLLANTHACEAE,Phyllantheae,Phyllantheae undiff.,01-RARE-VARIOUS
,SAPINDACEAE,Sapindaceae,Sapindaceae undiff.,01-RARE-VARIOUS
,VITACEAE,Vitaceae,Vitaceae undiff.,01-RARE-VARIOUS
,Rubiaceae,Aidia,Aidia_Catunaregam,01_GCRF-MIXED
,EUPHORBIACEAE,Croton,Croton_Crotonogyne_Jatropha_Manniophyton_Neoboutonia,01_GCRF-MIXED
,FABACEAE - CAESALPINIACEAE,Dialium,Dialium,01_GCRF-MIXED
,EUPHORBIACEAE,Drypetes,Drypetes_Shirakia,01_GCRF-MIXED
,FABACEAE,Pterocarpus,Machaerium_Ormocarpum_Pterocarpus,01_GCRF-MIXED
,MELIACEAE,Meliaceae,Meliaceae undiff.,01_GCRF-MIXED
,STERCULIACEAE,Nesogordonia,Nesogordonia,01_GCRF-MIXED
,OLACACEAE,Olax,Olax,01_GCRF-MIXED
,CHRYSOBALANACEAE,Parinari,Parinari,01_GCRF-MIXED
,CLUSIACEAE,Symphonia,Symphonia globulifera,01_GCRF-MIXED
,SAPINDACEAE,Allophylus,Allophylus,02_GCRF-SEASONAL
,CANNABACEAE - ULMACEAE,Celtis,Celtis,02_GCRF-SEASONAL
,MYRISTICACEAE,Pycnanthus,Pycnanthus,02_GCRF-SEASONAL
,RUTACEAE,Zanthoxylum,Zanthoxylum,02_GCRF-SEASONAL
,SAPINDACEAE,Blighia,Blighia,03_GCRF-WOODLAND MOSAIC
,EUPHORBIACEAE,Bridelia,Bridelia_Cleistanthus,03_GCRF-WOODLAND MOSAIC
,CAPPARACEAE,Capparis,Capparis,03_GCRF-WOODLAND MOSAIC
,MALVACEAE - STERCULIACEAE,Sterculia,Cola_Sterculia,03_GCRF-WOODLAND MOSAIC
,FABACEAE - CAESALPINIACEAE,Detarium,Detarium,03_GCRF-WOODLAND MOSAIC
,EBENACEAE,Diospyros,Diospyros,03_GCRF-WOODLAND MOSAIC
,ASPARAGACEAE - DRACANEACEAE,Dracaena,Dracaena,03_GCRF-WOODLAND MOSAIC
,EUPHORBIACEAE,Euphorbia,Elaeophorbia_Euphorbia,03_GCRF-WOODLAND MOSAIC
,EUPHORBIACEAE,Erythrococca,Erythrococca_Micrococca,03_GCRF-WOODLAND MOSAIC
,MYRTACEAE,Syzygium,Eugenia_Syzygium,03_GCRF-WOODLAND MOSAIC
,FABACEAE - CAESALPINIACEAE,Fabaceae,Fabaceae - Caesalpiniaceae undiff.,03_GCRF-WOODLAND MOSAIC
,MORACEAE,Ficus,Ficus,03_GCRF-WOODLAND MOSAIC
,PHYLLANTHACEAE,Hymenocardia,Hymenocardia,03_GCRF-WOODLAND MOSAIC
,VERBENACEAE,Vitex,Vitex,03_GCRF-WOODLAND MOSAIC
,FABACEAE - CAESALPINIACEAE,Copaifera,Cassia_Cynometra_Erythrophleum_Copaifera_Monopetalanthus,04_GCRF-RIPARIAN
,FABACEAE - MIMOSACEAE,Entada,Entada_Prosopis_Piptadeniastrum,04_GCRF-RIPARIAN
,SAPOTACEAE,Manilkara,Manilkara-type,04_GCRF-RIPARIAN
,SAPOTACEAE,Mimusops,Mimusops,04_GCRF-RIPARIAN
,PANDANACEAE,Pandanus,Pandanus,04_GCRF-RIPARIAN
,ANACARDIACEAE,Pseudospondias,Rhus_Anthrocaryon_Pseudospondias,04_GCRF-RIPARIAN
,PHYLLANTHACEAE,Uapaca,Uapaca,04_GCRF-RIPARIAN
,PALMAE,Phoenix,Phoenix,05_HYDROPHILIC PALMS
,PALMAE,Raphia,Raphia,05_HYDROPHILIC PALMS
,EUPHORBIACEAE,Alchornea,Alchornea,06_PIONEER-WETLAND
,COMBRETACEAE,Combretaceae,Combretaceae undiff.,06_PIONEER-WETLAND
,OCHNACEAE,Lophira,Lophira alata,06_PIONEER-WETLAND
,CYPERACEAE,Cyperaceae,Cyperaceae undiff.,07_HERBACEOUS - WETLAND
,NYMPHAEACEAE,Nymphaea,Nymphaea,07_HERBACEOUS - WETLAND
,TYPHACEAE,Typha,Typha,07_HERBACEOUS - WETLAND
,RUBIACEAE,Nauclea,Corynanthe_Hallea_Hymenodictyon_Mitragyna inermis_Nauclea_Pausinystalia_Sarcocephalus_Uncaria,08_PIONEER-OPEN_GCRF
,PALMAE,Elaeis,Elaeis guineensis,08_PIONEER-OPEN_GCRF
,EUPHORBIACEAE,Macaranga,Macaranga_Mallotus_Mareya,08_PIONEER-OPEN_GCRF
,MORACEAE,Myianthus,Myianthus_Musanga,08_PIONEER-OPEN_GCRF
,BIGNONIACEAE,Spathodea,Spathodea,08_PIONEER-OPEN_GCRF
,EUPHORBIACEAE,Tetrorchidium,Tetrorchidium,08_PIONEER-OPEN_GCRF
,ULMACEAE,Trema,Trema,08_PIONEER-OPEN_GCRF
,GENTIANACEAE,Anthocleista,Anthocleista grandiflora,09_PIONEER-DRY_SEASONAL
,PALMAE,Borassus,Borassus_Hyphaene,09_PIONEER-DRY_SEASONAL
,SIMAROUBACEAE,Hannoa,Hannoa,09_PIONEER-DRY_SEASONAL
,ANACARDIACEAE,Lannea,Lannea_Sclerocarya,09_PIONEER-DRY_SEASONAL
,SAPOTACEAE,Pouteria,Pouteria,09_PIONEER-DRY_SEASONAL
,RHAMNACEAE,Zizyphus,Zizyphus,09_PIONEER-DRY_SEASONAL
,POACEAE - GRAMINEAE,Gramineae,Gramineae Undiff.,10_HERBACEOUS
,CELASTRACEAE - HIPPOCRATEACEAE,Celastraceae,Celastraceae_Hippocrateaceae undiff.,11_LIANA
,MENISPERMIACEAE,Tiliacora,Stephania_Tiliacora,11_LIANA
,Annonaceae Undiff.,Annonaceae,Annonaceae Undiff.,12_VARIOUS-WIDESPREAD
,MALVACEAE - TILIACEAE,Malvaceae,Malvaceae - Tiliaceae undiff.,12_VARIOUS-WIDESPREAD
,PALMAE,Palmae,Palmae Undiff.,12_VARIOUS-WIDESPREAD
,RUBIACEAE,Rubiaceae,Rubiaceae undiff.,12_VARIOUS-WIDESPREAD
,NA,Indet,Indeterminate/NID,00_CORE_DETAILS
,NA,volume,volume (ml),00_CORE_DETAILS
,NA,Lyco_added,Lycopodium added,00_CORE_DETAILS
,NA,Lyco_count,Lycopodium (tracer),00_CORE_DETAILS
