"","Alchorne","Syzygium","Fagara","Graminea","Bridelia","Pteridop","Indeterm","Polygonu","Cyperace","Amaranth","Composit","Dodonaea","Macarang","Phyllant","Ficus","Nymphaea","Podocarp","Canthium","Allophyl","Typha","Acalypha","Euphorbi","Hypericu","Hymenoca","Myrica","Jasminum","Solanum","Grewia","Pygeum","Umbellif","Urticace","Tribulus","Celtis","Combreta","Ericacea","Impatien","Lorantha","Scheffle","Albizzia","Harungan","Justicia","Rhus","Ilex","Polyscia","Croton","Symphoni","Apodytes","Aloe","Bersama","Olea","Kotschya","Vigna","Polygala","Protea","Hagenia","Prunus","Galinier","Trema","Capparis","Sapium","Pterocar","Ziziphus","Maytenus","Dombeya","Haloraga","Chrysoph","Cissus","Indigofe","Psychotr","Triumfet","Cassipou","Tricalys","Ocimum","Kalancho","Cadaba","Maesa","Carapa.E","Entandro","Strombos","Neobouto","Abutilon","Sideroxy","Lawsonia","Ludwigia","Agrochar","Chron1","Chron10"
"650",0,112,11,81,1,50,4,0,17,2,31,0,5,0,0,5,10,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,19,0,0,0,0,0,4,31,0,0,0,0,3,6,0,0,0,1,0,1,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,11880.2177734375,13753.84765625
"660",0,85,5,75,0,64,6,0,59,3,19,0,4,0,0,5,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,6,0,0,0,0,1,0,17,0,0,0,0,3,0,0,0,5,2,0,0,0,2,0,0,0,0,4,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,11905.869140625,13779.8916015625
"670",0,39,3,115,0,102,4,0,44,6,26,0,4,0,0,6,22,1,0,1,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,23,0,0,0,0,3,5,0,0,0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11931.521484375,13805.9345703125
"680",0,13,0,125,0,55,5,0,28,7,35,0,2,0,0,5,33,0,0,5,0,0,4,2,14,0,4,0,0,0,0,0,0,0,1,0,0,6,0,0,4,0,8,0,0,0,0,1,0,17,0,0,0,0,2,0,0,0,0,5,0,0,2,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,11957.173828125,13831.978515625
"690",0,21,1,151,0,41,5,0,31,6,52,0,5,0,0,6,22,0,0,0,0,0,7,0,6,0,4,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,76,0,0,0,1,1,1,0,0,0,3,0,1,1,3,1,2,0,0,1,0,0,1,1,6,0,0,0,0,0,6,0,0,0,1,0,11982.826171875,13858.021484375
"700",0,52,3,113,0,40,6,0,113,0,42,0,2,0,0,2,29,0,0,0,0,0,4,0,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,0,0,0,0,1,0,48,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12008.478515625,13884.0654296875
"710",0,51,1,40,0,30,2,0,70,0,19,0,3,0,1,3,7,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,12034.130859375,13910.1083984375
"720",0,53,1,63,0,38,3,0,46,2,25,0,4,0,0,4,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12059.7822265625,13936.15234375
"730",0,58,8,165,0,29,5,0,36,4,52,0,3,0,0,2,22,0,0,2,0,0,3,0,2,0,1,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,8,0,0,0,0,1,0,35,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12085.4345703125,13962.1953125
"740",0,11,1,140,0,60,6,0,96,3,70,0,8,0,1,5,40,0,0,2,0,0,5,0,3,0,1,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,17,0,0,0,1,0,0,80,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,4,2,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,12111.0869140625,13988.2392578125
"750",0,112,8,124,0,77,6,0,80,2,50,0,7,0,0,3,16,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,6,0,0,0,1,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12136.7392578125,14014.2822265625
"760",0,136,5,72,0,71,4,0,94,3,36,0,0,0,0,1,13,0,0,0,0,0,4,0,2,0,1,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,15,0,0,0,1,0,0,34,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,12162.3916015625,14040.326171875
"770",1,83,8,77,0,113,4,0,107,0,35,1,6,0,2,3,11,1,0,1,0,0,4,0,4,0,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,0,19,0,1,0,0,2,0,31,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12188.0439453125,14066.369140625
"780",0,79,5,105,0,137,9,0,109,0,29,0,5,0,1,3,13,0,0,2,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,16,0,0,0,0,0,0,44,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,2,1,0,3,0,0,12213.6953125,14092.4130859375
"790",0,1,0,100,0,45,6,2,55,1,11,0,0,0,0,0,14,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12239.34765625,14118.4560546875
"800",0,8,0,27,0,206,3,0,30,0,7,0,2,0,0,3,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12265,14144.5
"810",0,4,0,39,0,110,10,0,41,0,8,0,6,0,0,2,13,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,12290.65234375,14170.5439453125
"820",0,3,2,37,0,134,8,0,47,0,3,0,1,0,0,4,5,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12316.3046875,14196.5869140625
"830",0,1,1,71,0,149,2,0,39,0,0,0,2,0,0,5,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12341.9560546875,14222.630859375
"840",0,6,5,79,0,119,4,0,42,0,7,0,0,0,0,3,5,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12367.6083984375,14248.673828125
"850",0,1,1,98,0,110,3,0,30,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12393.2607421875,14274.7177734375
"860",0,2,3,116,0,73,2,0,41,2,4,0,1,0,0,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12418.9130859375,14300.7607421875
"870",0,1,1,101,0,102,3,0,34,0,8,0,1,0,0,2,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12444.5654296875,14326.8046875
