"","Antrocar","Boscia","Balanite","Diospyro","Alchorne","Uapaca","Meliacea","Cleome","Pycnanth","Baphia","Fagara","Ligulifl","Graminea","Elaeis.g","Tubulifl","Acridoca","Bridelia","Celastra","Indeterm","Rhizopho","Tetrorch","Cyperace","Acanthac","Dodonaea","Macarang","Martreti","Phyllant","Irvingia","Tapinant","Ficus","Podocarp","Rubiacea","Canthium","Allophyl","Typha","Caesalpi","Brachyst","Artemisi","Ephedra","Euphorbi","Hymenoca","Iodes","Acacia","Myrica","Sauvages","Ximenia","Schreber","Solanum","Abrus.ty","Zygophyl","Pinus","Ruellia","Stereosp","Detarium","Antidesm","Grewia","Papilion","Dorsteni","Lophira","Olacacea","Adenia","Mussaend","Salix","Scrophul","Umbellif","Urticace","Tribulus","Anacardi","Celtis","Cupressa","Lythrace","Malvacea","Rhamnace","Rutaceae","Rauvolfi","Caryophy","Linaceae","Plantago","Justicia","Lannea","Ilex","Cassia","Maerua","Olea","Polygala","Protea","Parinari","Thymelea","Ceiba","Polycarp","Mallotus","Kohautia","Mitracar","Betula","Bombax","Cordia","Danielli","Erica","Quercus","Guttifer","Icacina","Liliacea","Trichili","Mimosa.p","Bosqueia","Olea.hoc","Pterocar","Pavetta","Ampeloci","Fagonia","Dialium","Polycarp.1","Blighia","Cussonia","Barleria","Spondian","Combreta","Crudia","Cissus","Erythrop","Indigofe","Maproune","Pentacle","Sabicea","Sesbania","Sherbour","Borassus","Rhynchos","Acanthus","Aizoacea","Myriophy","Chenopod","Bignonia","Hypoeste","Palmae","Blephari","Acioa","Afrormos","Allanbla","Alnus","Amphimas","Aurates","Berlinia","Boswelli","Brassica","Burkea","Calligon","Caloncob","Chassali","Citrullu","Clausena","Cnestis","Cola","Corylus","Crateris","Crossopt","Crozopho","Cryptose","Cuviera","Desplati","Drepanoc","Entada.P","Flacourt","Gaertner","Gilberti","Glyphaea","Haplocoe","Heliotro","Heliotro.1","Heritier","Ixora","Khaja.ty","Leonotis","Leucas","Lonchoca","Lotus.ty","Manilkar","Meliacea.1","Melochia","Moltkia","Nauclea","Nitraria","Ochna","Olea.chr","Ormocarp","Otomeria","Pentas","Phytolac","Rhinopte","Rytigyni","Salvador","Sarcospe","Spathode","Scleroca","Sterculi","Syzygium","Tarenna.","Telephiu","Tilia","Trianthe","Ulmus","Lycodium","Monolete","Monolete.1","Trilete.","Trilete..1","Trilete..2","Chron1"
"925",1,0,0,1,18,4,2,0,0,0,1,0,69,0,4,0,0,0,13,3,1,88,1,2,0,0,1,0,0,0,35,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,1,1,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,227,123,18,0,17,3,142920
"935",0,0,0,1,15,10,4,0,0,1,0,0,79,0,2,0,0,1,19,4,2,94,0,4,0,0,0,0,0,0,40,1,1,1,3,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,288,166,22,0,13,1,144680
"950",0,0,0,0,7,3,2,0,0,0,0,0,67,0,4,0,2,0,10,2,1,119,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,215,129,28,0,17,0,147652.546875
"960",0,0,0,0,7,2,2,0,0,0,0,1,78,0,2,0,0,0,8,2,0,249,0,1,0,0,0,0,0,0,69,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,139,121,16,0,21,1,149855.9375
"973",0,0,0,0,7,1,2,0,0,0,0,0,50,0,1,0,0,0,12,2,0,181,0,0,0,0,1,0,0,0,53,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,72,15,0,13,4,152720.34375
"983",0,0,0,0,12,2,2,0,0,0,0,0,66,0,4,0,1,0,11,3,2,185,0,2,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,177,91,15,0,5,2,154923.734375
"995",1,0,0,0,13,1,2,0,0,0,0,0,50,0,6,0,1,1,8,0,1,147,0,1,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,246,43,19,0,7,1,157567.796875
"1008",2,0,0,1,16,3,0,0,0,1,0,0,57,0,6,0,0,0,11,5,3,70,0,6,0,0,0,0,0,0,68,0,3,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,225,91,33,0,8,3,161192.765625
"1018",0,0,0,0,14,2,8,0,0,0,0,0,58,0,6,0,1,0,12,5,2,81,0,5,0,1,1,1,1,0,31,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,9,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,0,0,0,0,1,11,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,369,98,18,0,13,0,164566.265625
"1028",0,0,0,0,10,2,3,0,0,0,0,1,69,0,4,0,0,0,14,6,2,107,0,3,0,0,1,0,0,0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,11,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,320,130,23,0,14,5,167939.765625
"1038",1,0,0,0,13,9,3,0,0,0,0,0,69,0,4,0,2,0,18,4,0,99,0,5,0,0,1,0,2,0,43,0,1,0,3,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,163,33,0,31,1,171313.25
"1048",0,1,0,1,10,4,1,0,0,0,1,0,61,0,4,0,1,0,7,9,3,132,0,6,0,0,0,0,1,0,16,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,250,134,31,0,14,4,174491.234375
"1059",0,1,0,0,9,1,4,0,0,0,0,0,62,0,3,0,1,0,20,11,4,129,0,2,0,0,4,0,0,0,17,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,310,76,20,0,8,2,177771.9375
"1069",0,0,0,0,13,1,2,0,0,0,0,1,70,0,4,0,1,0,12,16,0,128,0,4,0,0,2,0,0,0,34,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,234,70,20,0,11,2,180754.390625
"1079",0,0,0,0,9,3,2,0,0,1,0,0,55,0,6,0,0,0,12,11,1,94,0,2,0,0,0,0,0,0,62,1,2,0,1,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92,40,7,0,5,1,183736.84375
"1090",1,0,0,0,11,2,0,0,0,0,0,0,80,1,7,0,0,0,15,12,0,132,0,1,0,0,1,0,0,0,138,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,227,66,15,0,9,0,187017.546875
"1100",0,0,0,0,11,7,2,0,0,0,0,0,75,0,8,0,0,0,15,5,1,102,0,4,0,1,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,1,1,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,118,25,0,12,6,190000
