"","Diospyro","Alchorne","Uapaca","Meliacea","Pycnanth","Syzygium","Sapotace","Graminea","Bridelia","Indeterm","Flacourt","Croton.t","Landolph","Cyperace","Amaranth","Composit","Macarang","Phyllant","Tiliacea","Podocarp","Rubiacea","Canthium","Allophyl","Typha","Euclea","Hypericu","Hymenoca","Utricula","Lobelia","Jasminum","Alchemil","Anthospe","Antidesm","Linocier","Rumex","Potamoge","Umbellif","Anacardi","Capparid","Celtis","Combreta","Ericacea","Euphorbi","Impatien","Labiatae","Lorantha","Caryophy","Clutia","Albizzia","Crucifer","Cucurbit","Harungan","Ilex","Polyscia","Cassia","Ipomaea","Symphoni","Apodytes","Olea","Kotschya","Vigna","Polygala","Clematis","Hagenia","Parinari","Prunus","Zanthoxy","Ficalhoa","Trema","Hygrophi","Convolvu","Sapium","Liliacea","Pterocar","Polygona","Rosaceae","Pavetta","Maytenus","Dombeya","Haloraga","Cissus","Psychotr","Cassipou","Erythrin","Crotalar","Eugenia","Bignonia","Maesa","Strombos","Proteace","Newtonia","Afrocran","Chron1","Chron10"
"205",1,1,0,1,2,2,0,82,0,17,0,0,0,441,5,113,21,0,1,68,0,2,0,3,0,4,1,0,0,2,0,0,0,0,0,1,0,1,0,2,0,5,0,127,0,0,0,0,0,0,0,0,6,0,0,0,0,1,21,0,0,2,0,86,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,360,269
"215",0,0,0,2,0,1,0,23,0,2,0,0,0,18,2,44,5,0,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,2,0,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,462.5,373.299987792969
"225",0,1,0,3,0,13,0,20,1,32,1,1,0,236,7,121,23,0,1,100,1,1,0,1,0,25,0,0,2,1,0,0,0,0,1,2,0,0,1,7,0,10,0,19,1,0,1,0,0,0,0,1,168,0,0,0,0,3,147,0,0,1,0,0,0,0,1,2,1,4,0,0,0,0,0,0,1,0,0,4,4,0,0,1,0,0,0,4,0,2,0,1,565,477.600006103516
"235",0,2,0,3,0,86,0,160,0,37,0,1,0,25,11,99,59,0,0,99,0,1,0,1,0,36,0,0,0,1,0,0,8,0,0,5,0,0,0,12,6,3,2,13,0,1,1,0,0,0,0,0,116,1,0,0,1,0,97,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,3,7,0,0,0,0,2,14,0,1,0,1,667.5,581.900024414062
"245",0,0,0,4,1,47,0,25,0,28,0,0,0,85,21,120,49,0,0,66,2,5,0,1,0,78,0,0,0,0,0,0,6,0,0,1,0,0,0,9,1,4,4,45,1,0,1,0,0,0,0,0,49,0,0,0,0,1,108,0,0,0,2,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,1,0,1,770,686.200012207031
"255",0,1,0,1,1,5,0,63,0,17,0,0,0,165,11,203,13,0,2,87,1,5,1,0,0,29,2,0,0,0,0,0,6,0,0,3,0,0,0,8,2,8,2,50,1,0,4,0,0,0,0,1,77,0,0,0,0,1,94,0,0,0,0,0,0,4,0,0,0,9,0,1,0,0,1,0,0,1,1,1,4,1,0,0,0,0,0,1,0,1,0,1,872.5,790.5
"265",0,1,0,9,0,0,0,77,8,73,0,4,0,10,11,207,2,0,2,44,1,0,0,0,1,50,0,0,1,1,0,0,0,1,0,0,2,0,2,5,14,2,1,29,0,0,1,0,0,0,0,0,47,0,1,0,0,2,42,0,1,0,1,1,0,0,0,0,0,5,0,0,1,0,2,0,0,0,1,0,1,2,0,0,1,0,0,2,0,0,0,15,975,894.799987792969
"275",0,0,0,2,0,6,0,23,0,26,0,0,0,173,8,253,23,0,1,147,0,9,1,0,0,35,1,0,1,0,0,0,1,0,0,2,0,0,0,3,1,2,0,31,1,1,1,0,0,0,0,0,60,1,0,0,0,3,100,0,0,0,0,1,0,0,1,0,0,8,0,1,0,0,1,0,0,0,0,3,3,4,0,0,0,0,0,0,0,4,0,0,1077.5,999.099975585938
"285",0,0,0,0,0,38,1,63,0,33,0,0,0,18,3,307,13,0,3,95,0,8,0,0,0,69,3,0,0,1,0,0,0,0,0,5,1,0,0,9,4,6,2,28,1,0,1,0,0,0,0,0,68,0,0,0,0,1,150,0,0,0,1,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,8,0,10,0,1,1180,1103.40002441406
"295",0,0,0,1,0,18,1,19,0,22,0,0,0,140,9,202,10,0,1,138,0,5,0,0,0,72,7,0,0,1,0,0,5,0,0,1,0,0,0,5,1,1,0,28,1,1,1,0,0,0,0,0,57,0,0,1,0,3,85,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,4,6,0,0,0,1,0,1,0,1,9,0,1,1282.5,1207.69995117188
"305",1,1,0,3,0,15,0,45,0,38,0,0,0,104,6,201,10,0,2,182,0,4,0,0,0,59,3,1,0,0,0,0,13,0,0,8,1,0,0,5,1,2,2,29,1,1,1,0,0,0,0,0,44,0,0,0,0,0,42,0,0,0,2,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,10,1,0,0,0,0,0,2,2,0,3,0,1,1385,1312
"315",0,0,1,5,0,7,1,23,1,31,0,0,0,131,6,207,24,0,0,220,2,5,0,0,0,65,1,0,0,0,0,1,0,0,0,3,0,1,1,4,1,0,1,30,1,1,3,0,0,0,0,0,49,0,2,0,0,2,42,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,1,0,0,0,1,1,5,0,0,0,0,0,1,0,0,5,0,2,1849.54541015625,1863.5
"325",0,0,0,4,0,10,0,25,0,25,0,0,0,194,12,154,46,0,2,104,1,1,0,1,0,21,0,0,2,0,0,0,2,0,0,3,0,0,0,3,0,3,5,49,0,0,0,0,1,0,0,0,21,1,0,0,0,1,29,0,0,1,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,3,0,0,0,0,2314.0908203125,2415
"335",0,0,0,0,1,16,0,18,1,34,1,0,0,68,6,128,276,0,1,103,1,1,0,0,0,28,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,19,1,0,0,0,0,1,1,0,34,0,0,0,0,4,19,0,0,0,0,1,0,0,1,2,0,5,0,0,0,0,1,0,0,1,1,4,1,0,1,0,0,0,0,0,0,2,0,0,2778.63647460938,2966.5
"345",0,4,0,0,0,14,0,78,0,51,0,0,0,241,4,143,25,0,1,81,0,0,0,0,0,47,1,0,2,0,0,0,7,0,0,10,0,0,0,4,5,25,1,10,0,0,1,0,0,0,0,0,43,0,0,0,0,0,73,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,0,2,0,2,3243.18188476562,3518
"375",0,1,0,4,1,1,0,54,0,13,0,0,0,245,15,141,46,0,1,83,0,2,0,2,0,36,0,0,1,0,1,0,0,0,0,5,0,0,0,2,2,3,0,92,0,0,0,1,0,0,0,0,9,1,0,0,0,1,30,0,0,1,0,45,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,7,0,0,0,0,0,0,0,0,5,0,1,4636.818359375,5172.5
"385",0,1,0,2,1,13,0,67,0,6,0,0,0,403,9,89,36,0,0,78,0,2,0,0,0,59,0,0,1,1,0,0,0,0,0,4,0,1,0,2,2,3,0,97,1,1,0,0,4,0,0,0,10,1,1,0,0,0,26,0,0,0,0,38,0,0,0,0,0,3,0,2,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,5101.36376953125,5724
"395",0,0,0,0,2,7,0,64,0,4,0,0,0,140,4,84,4,0,1,36,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,2,45,0,0,0,0,0,0,0,0,5,0,0,0,0,0,21,0,0,0,0,45,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5565.9091796875,6275.5
"415",0,1,0,2,0,0,0,56,1,17,0,0,0,534,11,126,48,0,0,124,1,7,1,0,0,46,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,9,0,65,0,3,0,0,0,0,0,0,54,0,1,0,0,3,54,0,0,0,0,19,0,1,0,0,0,8,0,0,0,1,1,0,0,0,0,4,3,0,1,0,0,0,0,1,0,5,0,2,6495,7378.5
"425",0,5,0,5,0,3,0,51,0,49,0,0,0,886,3,65,12,0,0,96,1,1,0,1,0,16,2,0,0,1,0,0,2,0,0,0,0,0,0,11,5,33,5,14,0,0,0,0,0,0,0,1,110,1,0,0,0,5,45,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,2,0,0,6959.54541015625,7930
"435",0,2,0,3,0,30,0,66,0,15,0,0,0,649,3,66,40,0,0,96,2,0,0,0,0,66,2,0,1,0,0,0,0,0,0,8,0,0,0,7,0,74,3,13,1,2,0,0,0,0,0,0,63,0,1,0,0,1,52,0,0,1,1,1,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,1,13,0,1,0,0,0,0,2,0,2,0,1,7424.0908203125,8481.5
"445",2,1,2,7,0,23,0,147,1,100,0,0,0,363,1,74,39,0,1,87,2,4,0,5,0,57,0,0,7,0,1,0,0,0,0,8,1,0,0,8,2,63,1,10,0,1,0,0,0,0,0,2,13,0,0,0,0,0,22,0,0,1,0,1,0,0,0,1,0,7,0,0,5,0,0,0,0,0,0,0,6,5,0,0,0,0,1,2,0,0,0,1,7888.63623046875,9033
"455",0,1,0,4,1,16,0,46,0,68,0,0,0,1109,7,86,33,0,1,143,1,0,0,0,0,38,0,0,1,0,0,1,2,0,0,0,0,1,0,6,1,57,2,10,0,2,0,0,0,0,0,0,24,0,0,0,0,0,65,1,0,2,0,4,0,0,1,0,0,21,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8353.181640625,9584.5
"470",0,4,0,0,1,14,0,21,0,17,0,0,0,85,12,122,181,0,1,78,1,4,0,0,0,84,2,0,0,0,0,0,0,0,0,2,2,0,0,0,1,3,1,19,1,2,1,0,0,0,0,0,24,0,0,0,0,4,24,2,0,0,0,7,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,5,1,0,9050,10411.75
