"","Dacryode","Diospyro","Alchorne","Antidesm","Pentacle","Pentacle.1","Pycnanth","Syzygium","Amaranth","Ligulifl","Sapotace","Graminea","Elaeis.g","Tubulifl","Tapinant","Acridoca","Celastra","Indeterm","Indeterm.1","Croton.t","Tetrorch","Cyperace","Acanthac","Monocoty","Anthocle","Moraceae","Ficus","Campylos","Tiliacea","Rubiacea","Allophyl","Typha","Monolete","Triletes","Caesalpi","Adansoni","Vernonie","Evolvulu","Acalypha","Euphorbi","Margarit","Phyllant","Plagiost","Psorospe","Hymenoca","Iodes","Raphiost","Legumino","Hugonia.","Flabella","Abutilon","Entandro","Entada.t","Tetraple","Trilepis","Nymphaea","Polygonu","Polygonu.1","Parinari","Aidia.ty","Canthium","Canthium.1","Hymenodi","Pausinys","Teclea.t","Paullini","Holoptel","Trema.ty","Verbenac","Cissus.t","Anthocer","Sphagnum","Lygodium","Hypoeste","Achyrant","Heliotro","Crudia.t","Cleistan","Papilion","Albizzia","Gardenia","Umbellif","Urticace","Anacardi","Celtis","Combreta","Euphorbi.1","Gentiana","Impatien","Labiatae","Lannea.t","Phoenix.","Rhamnace","Sapindac","Rauvolfi","Ranalism","Hymenost","Clematis","Alternan","Mangifer","Polyscia","Ceiba.pe","Phyllant.1","Mimosoid","Mimosa.p","Cussonia","Piliosti","Martreti","Uapaca.h","Macarang","Podocarp","Sherbour","Strombos","Ludwigia","Tarenna.","Monolete.1","Trilete.","Celosia.","Zanthoxy","Amaranth.1","Antrocar","Alstonia","Scheffle","Ehretia.","Gilberti","Julberna","Scorodop","Commelin","Commelin.1","Coccina.","Bridelia","Lingelsh","Uapaca.g","Calpocal","Myrianth","Borassus","Raphia.t","Pterocar","Crossopt","Fadogia.","Gardenia.1","Hallea.t","Zanthoxy.1","Ganophyl","Irvingia","Chron1","Chron10","Chron20"
"104",0,3,34,0,0,0,0,0,0,0,2,1,0,1,1,1,1,44,42,0,2,13,0,0,0,13,0,0,0,9,0,0,15,1,0,0,0,0,0,0,2,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,6,2,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,109,7,1,0,0,0,37,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,6,0,0,3,0,0,0,0,0,1,0,2,3718.52465820312,4111.91796875,4189.32763671875
"113.5",0,3,20,0,0,0,0,1,0,0,1,5,0,1,0,1,0,41,35,0,2,4,0,0,0,17,4,0,1,3,0,0,16,1,1,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,22,0,1,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,106,0,0,0,0,1,29,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,17,1,0,0,0,2,1,2,0,2,0,0,1,0,5,4,1,0,0,0,0,2,0,0,5,0,0,6,1,0,0,0,0,1,0,1,4029,4487.9501953125,4570.0751953125
"123",0,3,20,0,0,0,0,2,0,0,1,5,0,0,0,3,0,29,35,0,1,15,0,0,0,20,0,0,1,2,0,1,23,0,2,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96,2,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,18,0,1,0,0,4,0,1,0,1,0,2,1,0,5,4,0,0,0,0,0,4,0,1,8,0,0,1,0,0,0,0,0,0,0,3,4086,4566.7998046875,4641.7998046875
"136",0,1,20,0,0,0,0,1,0,0,0,1,0,1,3,5,2,35,26,0,7,15,0,0,0,19,1,0,0,1,0,0,43,1,0,0,0,0,1,0,4,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,19,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,2,0,56,5,0,0,0,0,44,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,2,0,0,2,0,0,1,0,7,0,1,0,0,0,1,4,0,0,7,0,0,8,0,0,0,1,0,0,0,1,4164,4674.7001953125,4739.9501953125
"142",0,2,34,0,0,0,0,2,0,0,2,0,0,2,1,3,0,30,24,0,11,9,0,1,0,7,4,0,2,2,0,0,33,1,0,0,0,1,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,2,7,0,0,0,0,0,0,0,0,0,3,1,6,0,0,0,2,0,20,3,0,0,1,1,26,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,49,0,0,0,0,0,2,1,0,2,0,0,2,0,7,0,2,1,0,0,0,1,0,0,10,0,0,4,0,0,0,0,0,0,3,0,4200,4724.5,4785.25
"151",0,0,72,0,0,0,1,0,0,0,0,1,0,1,2,1,2,37,26,0,6,9,0,0,0,23,4,0,5,5,0,0,11,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,31,0,0,0,0,0,31,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,25,0,1,1,0,2,0,0,0,2,0,0,0,0,3,0,2,0,0,0,0,2,0,0,6,0,0,14,0,0,0,0,0,1,1,1,4254,4799.2001953125,4853.2001953125
"160",0,1,43,0,0,0,0,0,0,0,1,2,0,0,1,1,0,32,29,0,5,19,0,0,0,6,1,0,0,5,1,0,31,0,0,0,0,0,0,0,8,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,28,0,0,5,1,0,0,0,0,0,0,0,0,1,4,3,0,0,0,1,0,33,3,0,0,0,0,26,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,2,0,1,0,0,2,0,8,0,0,0,0,0,1,6,3,0,8,0,0,2,0,0,0,0,0,0,1,1,4315.32470703125,4882.740234375,4929.47412109375
"169.5",0,2,77,0,0,0,1,3,0,0,2,4,0,2,0,5,2,35,34,2,9,7,0,0,0,4,3,1,0,1,0,0,8,1,1,0,0,0,0,0,11,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,22,0,1,3,2,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,43,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,1,0,3,0,3,0,1,0,0,0,0,5,0,0,2,0,0,0,4,0,0,10,0,0,10,0,0,1,0,0,0,0,1,4395.51953125,4989.58447265625,5027.55859375
"180.5",0,2,68,0,1,0,1,1,0,0,1,1,0,2,0,3,0,42,42,0,2,16,0,0,0,9,1,0,0,4,0,2,13,2,0,0,0,0,0,0,7,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,2,1,1,0,0,0,0,0,0,0,0,2,1,6,0,0,0,4,0,62,3,0,0,0,0,8,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,15,0,0,0,0,7,1,2,0,5,0,0,0,0,5,0,2,1,0,1,0,2,0,2,3,0,0,3,0,0,0,0,0,0,2,3,4488.37646484375,5113.298828125,5141.1298828125
"189.5",0,4,29,0,0,0,0,0,0,0,0,2,0,0,1,3,2,44,40,0,4,20,0,0,0,4,1,2,1,7,0,0,17,1,2,0,1,0,0,0,6,1,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,13,0,0,0,3,1,0,0,0,0,0,0,0,4,2,6,0,0,0,3,0,58,6,0,0,0,0,8,5,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,10,1,1,0,3,0,0,1,0,5,1,0,0,0,0,0,3,0,0,3,1,0,4,0,0,0,0,0,0,0,2,4564.3505859375,5214.51953125,5234.0517578125
