"","Trichosc","Dracaena","Dacryode","Berlinia","Maranthe","Diospyro","Anthoste","Alchorne","Uapaca","Symphoni","Irvingia","Pentacle","Pycnanth","Syzygium","Strombos","Fagara","Aidia.ty","Pausinys","Sapotace","Graminea","Elaeis.g","Acridoca","Celastra","Indeterm","Hallea","Alstonia","Pandanus","Calpocal","Polygonu","Croton.t","Tetrorch","Cyperace","Monocoty","Amaranth","Composit","Macarang","Martreti","Phyllant","Anthocle","Tapinant","Moraceae","Ficus","Trilepis","Nymphaea","Campylos","Raphia","Podocarp","Anopyxis","Rubiacea","Allophyl","Monolete","Triletes","Polypodi","Caesalpi","Vernonie","Plagiost","Newtonia","Parkia.t","Canthium","Antidesm","Ganophyl","Grewia","Microdes","Papilion","Phoenix","Sclerosp","Urticace","Tetracer","Combreta","Chron1","Chron10","Chron20"
"432",0,0,0,5,0,0,6,1,0,0,0,0,0,1,1,0,1,0,8,1,1,5,4,7,36,0,11,6,0,1,0,6,0,0,0,4,11,3,2,0,1,0,0,0,0,6,1,21,4,1,15,0,0,11,0,0,0,0,1,0,0,0,0,7,0,0,0,0,43,4346.85693359375,4905.10009765625,4989.2998046875
"443",0,0,0,1,0,0,0,2,2,0,0,0,0,0,3,0,6,11,3,1,1,0,2,2,25,0,10,8,0,0,0,3,2,0,0,8,5,1,2,0,3,0,0,0,0,7,0,9,1,0,5,6,3,18,1,0,7,0,0,2,2,0,0,4,0,0,1,5,31,4416,4995.02490234375,5072.0751953125
"453",0,0,5,2,4,3,2,4,0,0,0,0,6,12,0,1,33,0,1,2,1,3,0,18,13,1,0,11,0,2,0,19,0,0,1,3,0,1,5,0,3,0,0,0,0,3,0,14,4,0,11,1,2,10,0,0,0,0,2,4,0,0,0,6,0,0,5,2,40,4478.85693359375,5076.77490234375,5147.3251953125
"483",1,0,0,5,1,0,5,10,1,1,1,0,1,9,3,0,9,20,10,4,0,5,2,32,17,0,14,14,0,0,0,7,2,0,0,3,14,0,4,0,0,0,0,1,0,9,3,30,2,1,12,9,3,10,0,0,0,0,5,0,1,1,0,12,0,0,0,5,30,4667.4287109375,5322.02490234375,5373.0751953125
"489",0,1,1,0,2,2,2,2,0,0,3,0,0,5,0,0,5,6,2,5,0,1,4,13,37,3,11,14,0,0,0,7,2,0,1,6,11,4,5,0,4,0,0,0,1,16,0,29,5,0,13,1,1,8,0,0,0,0,3,5,1,0,0,7,3,0,0,2,24,4705.14306640625,5371.0751953125,5418.22509765625
"501",0,0,1,1,0,1,2,8,0,0,4,0,6,4,0,0,17,6,4,3,1,4,0,20,13,0,0,9,0,1,1,8,0,0,2,8,4,4,1,2,1,0,0,0,1,8,1,23,1,0,7,4,1,11,0,0,0,0,0,0,1,0,0,5,0,0,2,5,29,4780.5712890625,5469.1748046875,5508.52490234375
"543",1,0,2,3,1,2,7,9,2,0,3,0,9,5,0,0,13,5,14,9,0,5,6,5,81,2,2,13,0,0,0,21,2,0,0,7,13,6,4,0,3,0,0,1,1,0,3,21,1,1,14,2,3,21,0,0,0,0,2,11,0,0,0,13,0,0,4,0,48,5022.66650390625,5768.74267578125,5774.05712890625
"602",0,0,1,1,1,2,1,3,0,0,2,0,1,6,2,0,9,0,4,4,1,6,4,33,32,1,6,11,0,2,0,14,0,0,0,4,1,2,14,1,0,0,0,0,1,2,1,35,2,1,19,5,5,10,0,0,0,0,3,3,0,0,0,3,0,1,0,2,24,5337.33349609375,6138.75732421875,6088.44287109375
"609",0,0,1,1,0,1,6,2,0,0,1,0,9,10,0,0,12,0,7,1,2,0,11,20,56,0,6,13,0,1,1,7,4,0,1,2,0,7,3,2,3,0,0,0,0,7,0,38,1,1,13,4,2,14,0,0,0,0,4,0,0,1,1,7,0,0,2,3,30,5374.66650390625,6182.6572265625,6125.74267578125
"616",0,0,0,0,3,0,0,11,0,0,0,4,12,10,1,0,14,0,2,5,1,2,0,9,19,2,0,10,0,1,0,15,0,0,1,3,6,0,0,0,0,0,0,0,1,0,0,7,1,0,15,4,2,10,0,0,0,0,2,0,0,0,0,5,0,0,3,6,15,5412,6226.55712890625,6163.04296875
"620",0,1,0,1,2,1,8,1,1,0,0,1,5,13,0,1,7,13,8,0,0,5,3,18,56,0,7,16,0,0,0,7,0,0,0,10,1,4,5,1,1,0,0,0,1,0,1,41,12,1,20,5,6,10,0,0,0,0,3,0,2,1,0,7,0,6,0,2,28,5433.33349609375,6251.64306640625,6184.35693359375
"623",0,0,0,2,0,1,1,3,0,0,1,0,3,2,2,2,10,0,8,2,1,1,4,11,26,0,4,5,0,1,0,7,0,0,0,1,1,1,6,1,0,0,0,0,0,0,0,32,5,0,14,5,1,6,0,0,0,0,3,7,2,1,0,5,0,0,2,1,17,5449.33349609375,6270.45703125,6200.3427734375
"625",0,0,5,0,0,0,0,3,12,5,5,0,23,2,3,0,1,0,1,5,12,0,0,8,7,0,1,4,0,0,0,16,8,0,0,10,1,0,0,0,0,0,0,0,0,8,0,1,2,0,16,17,0,4,0,0,0,0,0,0,0,0,0,1,0,3,3,1,9,5460,6283,6211
