"","Dacryode","Diospyro","Alchorne","Uapaca","Pentacle","Pentacle.1","Syzygium","Cassia.t","Ligulifl","Sapotace","Graminea","Tubulifl","Bridelia","Celastra","Indeterm","Hymenoca","Croton.t","Tetrorch","Landolph","Tacazzea","Cyperace","Monocoty","Macarang","Anthocle","Campylos","Podocarp","Rubiacea","Allophyl","Monolete","Triletes","Polypodi","Drymaria","Evolvulu","Oldfield","Plagiost","Harungan","Pentades","Laurembe","Apodytes","Iodes","Legumino","Flabella","Hibiscus","Calpocal","Entada.t","Mimosa.t","Myrianth","Nymphaea","Olea.cap","Aeschyno","Pterodis","Canthium","Canthium.1","Gaertner","Hallea.t","Pausinys","Stipular","Blighia.","Eriocoel","Lecaniod","Grewia.t","Cleroden","Xyris","Pteris.t","Dracaena","Crudia.t","Cleistan","Papilion","Onagrace","Tetracer","Anacardi","Celtis","Combreta","Euphorbi","Lannea.t","Lorantha","Baikiaea","Rutaceae","Pancovia","Polygala","Spermaco","Treculia","Alstonia","Guibourt","Chrysoba","Mesanthe","Euphorbi.1","Legumino.1","Chron1","Chron10","Chron20"
"235",0,4,5,0,1,0,40,0,0,118,9,0,0,0,0,0,0,1,0,0,7,0,3,0,6,0,5,1,1,1,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,7,0,9,1,0,0,1,0,0,0,3,0,0,18,0,0,1,8,7,0,0,0,12,42,3,0,0,0,0,1,0,8,2,0,0,1,0,0,39,18074.43359375,21391.412109375,21438.94921875
"236",0,4,5,0,1,0,40,0,0,118,9,0,0,0,12,0,0,1,0,0,8,0,3,0,6,0,3,1,1,1,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,2,0,9,1,0,0,1,0,0,0,3,0,0,18,0,0,1,8,7,0,5,0,12,42,3,0,0,0,0,1,0,1,2,0,0,1,0,0,37,18278.763671875,21626.53515625,21672.43359375
"238",0,0,3,0,1,0,47,0,0,90,5,0,0,0,3,0,0,1,0,0,2,2,2,0,7,0,6,2,2,1,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,14,0,3,0,6,0,0,0,0,0,0,1,2,0,0,20,0,0,3,5,9,0,0,0,2,19,1,0,0,1,0,0,0,3,0,0,0,0,0,0,36,18687.421875,22096.783203125,22139.40234375
"239",0,0,3,0,1,0,47,0,0,90,5,0,0,0,17,0,0,1,0,0,2,2,2,0,7,0,6,2,2,1,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,14,0,3,0,6,0,0,0,0,0,0,1,2,0,0,20,0,0,3,5,9,0,3,0,2,19,0,0,0,1,0,0,0,3,0,0,0,0,0,0,36,18891.751953125,22331.90625,22372.88671875
"241",0,0,9,1,0,0,43,0,0,109,10,0,0,0,37,0,2,0,0,0,1,8,1,0,12,0,0,2,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,2,0,4,3,0,0,0,4,0,3,5,0,0,11,0,0,6,4,1,0,0,0,17,19,0,0,0,0,1,0,1,1,0,0,0,4,0,0,19,19300.412109375,22802.154296875,22839.85546875
"245",0,1,15,1,0,0,58,0,0,99,1,0,1,0,18,0,0,0,0,0,1,2,3,0,4,0,1,1,1,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,1,2,0,2,4,0,0,10,0,2,0,0,8,0,2,1,10,33,4,0,0,1,0,0,0,4,0,1,4,0,0,0,27,20117.732421875,23742.650390625,23773.79296875
"249",0,1,9,0,0,0,70,0,0,106,6,0,1,0,29,0,1,0,0,0,1,1,6,0,13,0,2,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,16,0,2,0,1,8,0,0,0,7,0,2,2,0,0,7,0,1,3,0,9,0,1,2,18,28,4,0,0,0,0,0,0,3,0,1,1,1,0,0,32,20935.05078125,24683.14453125,24707.732421875
"254",0,1,7,2,0,0,35,0,0,138,5,2,0,0,14,0,0,0,0,2,1,0,11,0,13,0,1,2,1,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,0,9,1,1,3,0,0,0,3,0,0,3,0,0,8,0,2,0,9,5,0,0,0,9,39,0,0,0,1,0,0,1,3,0,1,0,0,0,0,40,21956.701171875,25858.763671875,25875.154296875
"259",0,1,8,2,0,0,47,0,0,123,6,0,0,0,22,0,0,0,0,0,2,0,7,0,9,0,2,0,3,1,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,16,0,7,0,4,2,0,0,0,3,0,0,5,0,1,12,0,1,2,6,1,1,1,0,8,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,39,22978.349609375,27034.380859375,27042.578125
"262",0,0,8,0,0,0,34,0,0,96,4,1,0,0,12,0,0,0,0,0,2,1,4,0,4,0,2,1,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,2,0,0,0,1,0,0,2,0,0,4,0,0,3,4,3,0,2,0,6,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,23591.33984375,27739.751953125,27743.03125
"264",0,0,26,0,0,0,87,0,0,120,3,0,1,0,33,0,2,1,0,1,0,0,6,0,0,0,1,4,1,1,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,6,0,4,0,7,7,0,2,6,4,0,1,2,0,0,2,0,0,2,8,0,0,1,0,4,26,0,0,0,3,0,1,0,0,0,0,3,0,0,0,24,24000,28210,28210
"267",7,0,19,3,0,0,51,0,0,90,1,1,0,1,30,0,2,0,0,0,0,0,3,0,6,0,2,1,1,0,6,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,5,0,0,0,4,4,2,0,1,1,1,2,0,0,0,1,0,1,0,2,5,0,4,0,2,13,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,24019.35546875,28232.162109375,28232.162109375
"269",0,1,35,2,0,0,89,0,0,151,2,0,1,0,44,1,1,0,0,0,0,1,0,0,10,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,1,0,8,7,0,1,0,2,0,0,1,0,0,5,0,0,1,4,1,0,2,2,3,14,4,0,0,1,3,0,0,0,0,0,6,2,0,0,13,24032.2578125,28246.935546875,28246.935546875
"272",6,1,0,0,0,0,12,0,0,90,3,0,0,0,9,0,2,0,1,0,0,0,2,0,4,0,1,0,1,0,6,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,2,6,0,0,0,0,3,0,0,1,4,6,0,0,0,7,26,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24051.61328125,28269.09765625,28269.09765625
"274",0,3,2,0,0,0,39,0,0,140,3,0,0,0,17,0,4,0,0,1,2,0,6,0,12,0,0,1,1,2,8,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,14,0,3,0,0,0,0,0,4,3,0,0,4,0,0,0,0,0,6,2,9,0,0,0,5,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,24064.515625,28283.87109375,28283.87109375
"277.5",3,0,1,0,1,0,13,0,0,56,4,0,0,0,10,0,1,0,1,0,0,0,0,0,9,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,2,2,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24087.09765625,28309.7265625,28309.7265625
"279",0,1,14,0,0,0,50,0,0,117,3,0,1,0,42,0,2,0,0,0,0,5,2,0,2,0,0,1,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,9,0,6,5,0,3,0,8,0,0,0,0,0,1,0,1,3,0,5,0,3,0,11,28,0,0,1,0,0,2,0,0,0,0,0,0,0,0,25,24096.7734375,28320.806640625,28320.806640625
"283",3,1,13,0,1,1,74,0,0,84,3,0,0,1,14,0,0,0,0,1,1,1,0,0,7,0,1,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,16,8,0,0,0,0,0,5,0,0,0,4,0,0,1,7,2,0,1,0,2,19,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,24122.580078125,28350.35546875,28350.35546875
"285",0,1,15,3,1,0,147,0,0,165,0,0,0,0,52,0,0,0,0,0,0,0,3,0,3,0,1,1,3,0,10,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,3,0,1,0,11,11,0,5,0,0,0,0,2,0,1,2,0,1,2,0,4,0,0,4,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24135.484375,28365.12890625,28365.12890625
"299",0,3,9,0,1,0,71,0,0,96,2,0,1,0,15,0,0,0,0,1,0,0,2,0,7,0,2,1,2,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,2,0,9,3,0,0,1,1,0,0,9,0,0,0,0,1,1,0,9,0,1,0,5,22,1,0,1,0,2,0,0,0,0,0,2,0,0,0,27,24225.806640625,28468.548828125,28468.548828125
