"","Dacryode","Diospyro","Alchorne","Uapaca","Pentacle","Pentacle.1","Pycnanth","Ligulifl","Sapotace","Graminea","Elaeis.g","Cardiosp","Tubulifl","Acridoca","Bridelia","Celastra","Indeterm","Indeterm.1","Croton.t","Tetrorch","Landolph","Cyperace","Amaranth","Macarang","Anthocle","Moraceae","Ficus","Campylos","Podocarp","Rubiacea","Allophyl","Monolete","Triletes","Polypodi","Caesalpi","Euphorbi","Plagiost","Laurembe","Hymenoca","Legumino","Utricula","Flabella","Abutilon","Hibiscus","Calpocal","Myrianth","Treculia","Trilepis","Syzygium","Nymphaea","Olea.cap","Potamoge","Canthium","Canthium.1","Hallea.t","Pausinys","Psychotr","Stipular","Eriocoel","Lecaniod","Grewia.t","Xyris","Dracaena","Limnophy","Crudia.t","Cleistan","Papilion","Celtis","Combreta","Euphorbi.1","Lannea.t","Lorantha","Tacazzea","Baikiaea","Polygala","Tetracer","Chrysoba","Ceiba.pe","Cercesti","Guibourt","Gaertner","Alstonia","Legumino.1","Chron1","Chron10","Chron20"
"187",1,2,4,0,2,0,0,0,83,4,0,0,0,0,0,0,20,24,0,0,0,0,0,7,0,0,0,4,0,2,2,3,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83,6,0,0,7,1,3,5,0,1,3,1,0,5,1,5,1,6,4,2,16,1,0,0,4,1,0,0,0,0,0,0,0,0,16,9440,11046,10988.099609375
"197",6,0,11,0,0,1,0,1,121,12,0,0,0,1,0,1,32,35,0,0,0,0,0,2,0,0,0,1,0,2,1,6,0,3,0,0,0,0,0,1,0,2,0,0,3,0,0,0,61,0,0,0,10,6,0,0,0,2,1,0,0,3,2,0,2,2,4,10,16,0,1,0,0,2,1,0,0,0,0,5,0,0,3,11890,14071,14021.099609375
"199",2,1,1,1,0,0,0,0,77,11,0,0,0,0,1,0,17,11,1,0,0,1,0,4,0,0,0,3,1,1,0,5,0,5,0,0,0,1,1,0,0,2,0,0,1,0,0,0,52,6,0,0,2,3,0,1,0,2,0,1,0,0,0,0,1,3,9,4,13,0,0,0,2,1,0,0,0,0,0,0,0,0,16,12380,14676,14627.7001953125
"204",6,0,8,3,0,0,0,0,125,5,0,0,0,0,0,0,25,33,1,0,0,0,0,3,0,2,0,10,0,2,0,3,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,49,9,0,0,1,0,0,3,0,5,0,10,0,0,0,0,5,11,18,8,33,0,4,0,1,2,0,1,0,0,0,0,0,0,38,13605,16188.5,16144.2001953125
"205",0,1,11,0,0,0,0,0,76,29,0,0,0,0,0,0,6,26,1,0,0,4,0,1,0,2,0,6,0,4,2,1,4,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,44,1,0,0,6,1,1,0,0,4,0,0,0,1,0,0,1,0,3,1,14,1,3,0,1,1,0,0,0,0,0,1,0,0,6,13850,16491,16447.5
"209",2,7,1,0,0,0,0,0,88,4,0,0,0,0,0,0,25,15,0,0,0,1,0,2,0,1,0,7,0,2,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,7,0,0,1,1,0,0,0,6,0,5,0,0,0,0,6,9,10,4,24,0,0,0,3,1,0,2,1,0,0,0,0,0,33,14830,17701,17660.69921875
"214",0,4,3,1,0,0,0,0,148,5,0,1,0,0,0,0,25,15,0,1,0,0,0,2,0,0,0,14,1,3,0,2,1,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,46,8,0,0,0,1,0,1,0,6,0,13,0,0,5,0,3,9,15,8,49,0,1,1,0,0,0,1,0,0,0,0,0,0,55,16055,19213.5,19177.19921875
"219",4,7,6,0,4,0,0,0,122,5,0,0,0,0,1,4,27,31,1,0,0,1,0,3,0,0,0,3,0,1,2,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,7,0,0,0,0,4,1,0,5,0,5,0,0,0,0,5,11,12,12,33,0,4,0,0,1,0,0,0,0,0,5,0,2,31,17082.666015625,20394.533203125,20363.767578125
"224",9,6,15,2,0,1,0,0,139,1,0,1,0,0,0,0,26,31,4,0,0,2,0,2,0,2,0,12,1,1,1,0,1,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,53,10,0,0,0,0,0,0,0,7,0,14,0,0,0,0,10,15,13,18,56,0,0,2,0,1,0,2,0,0,0,1,0,1,69,18061,21492.69921875,21467.849609375
"229",11,9,3,2,0,0,0,1,87,6,0,0,0,0,0,0,25,35,0,0,0,1,0,5,0,2,0,8,0,2,0,2,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,13,0,0,0,3,0,0,0,3,0,14,0,0,0,0,10,19,13,19,43,0,0,1,2,1,0,0,0,0,0,1,0,1,49,19039.333984375,22590.8671875,22571.93359375
"235",10,2,6,1,0,0,0,0,79,8,0,0,0,0,1,1,20,27,0,1,0,2,0,4,0,2,0,5,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,16,0,0,0,2,0,0,0,6,0,6,0,0,0,0,5,15,20,10,40,0,0,0,1,2,0,3,0,0,0,2,0,1,56,20213.333984375,23908.666015625,23896.833984375
