"","Dracaena","Alchorne","Syzygium","Fagara","Graminea","Pteridop","Indeterm","Polygonu","Cyperace","Amaranth","Composit","Macarang","Phyllant","Ficus","Nymphaea","Podocarp","Canthium","Allophyl","Typha","Acalypha","Euphorbi","Hypericu","Hymenoca","Myrica","Jasminum","Solanum","Grewia","Umbellif","Urticace","Celtis","Combreta","Ericacea","Impatien","Lorantha","Scheffle","Albizzia","Justicia","Rhus","Ilex","Polyscia","Croton","Apodytes","Olea","Kotschya","Vigna","Polygala","Protea","Clematis","Hagenia","Trema","Sapium","Ziziphus","Pavetta","Maytenus","Dombeya","Haloraga","Mitragyn","Cissus","Indigofe","Ocimum","Kalancho","Maesa","Carapa.E","Entandro","Strombos","Neobouto","Abutilon","Basella","Hyptis","Markhami"
"230",0,0,0,0,147,32,2,0,66,2,12,1,0,0,0,31,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",0,1,1,1,160,26,2,0,79,4,30,6,0,0,1,29,0,0,2,0,0,4,0,4,0,1,0,0,0,1,0,6,3,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"250",0,0,0,0,117,38,3,0,88,3,22,5,0,0,0,44,0,0,0,0,0,7,0,27,0,0,0,0,0,0,0,9,1,0,4,0,0,0,6,1,0,0,9,0,0,0,3,0,0,2,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"260",0,0,0,0,85,41,1,2,92,12,21,4,0,0,0,87,2,0,1,0,0,5,0,15,1,0,1,1,0,0,0,33,2,0,0,0,0,0,4,1,1,3,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",0,0,0,1,98,62,1,0,135,2,17,7,0,0,1,62,0,0,2,0,0,2,0,9,0,0,0,3,0,1,0,26,3,0,4,0,0,1,8,5,0,0,8,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"280",0,0,0,0,175,59,1,0,32,4,24,4,0,0,0,24,5,0,2,1,0,1,0,2,0,0,0,1,0,1,1,4,3,0,1,1,1,0,3,1,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"290",0,0,1,8,175,42,1,4,30,3,32,12,0,0,1,26,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,7,5,0,0,4,2,0,4,0,0,0,9,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"300",0,0,2,3,167,37,3,2,28,6,33,3,0,0,1,21,0,1,0,0,0,0,1,3,0,0,0,2,0,0,1,2,1,0,2,1,0,0,1,0,1,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"310",0,1,1,0,95,63,2,0,86,0,18,1,0,0,0,69,0,0,0,0,0,8,0,17,0,0,0,0,0,0,0,22,0,0,1,0,0,0,4,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"320",0,0,0,1,119,60,1,0,89,0,10,2,0,0,0,51,0,0,0,0,0,1,0,16,0,0,0,0,0,0,1,21,2,0,1,0,0,0,4,0,0,0,5,0,0,0,0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"330",0,0,1,0,131,37,2,0,98,1,20,3,0,0,0,30,0,0,1,0,0,1,0,9,0,0,0,0,1,1,0,15,1,0,1,0,1,1,4,0,0,0,15,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"340",0,0,1,3,178,57,2,0,51,2,15,2,0,0,2,17,2,0,1,0,0,1,0,3,0,0,0,0,0,0,0,5,2,0,0,1,0,0,7,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
