"","Rhizopho","Cassipou","Avicenni","Acrostic","Apocynac","Alstonia","Strophan","Funtumia","Hollarhe","Landolph","Tabernae","Alafia.t","Rauvolfi","Euphorbi","Alchorne","Uapaca","Spondian","Antidesm","Jatropha","Bridelia","Sapium","Ricinus.","Hura.cre","Celtis","Chaetacm","Strychno","Anthocle","Ceiba.pe","Bombax","Sapotace","Bequaert","Mimusops","Chrysoph","Trichili","Entandop","Carapa.p","Khaya.ty","Combreta","Terminal","Laguncul","Arecacea","Laccospe","Cocos.nu","Calamus.","Raphia","Elaeis.g","Symphoni","Pentades","Cissus","Leea.gui","Pentachl","Piptaden","Entada.t","Albizia","Acacia","Fabaceae","Milletia","Pterocar","Baphia.t","Drepanoc","Aechynom","Lonchoca","Angiloca","Caesalpi","Cassia","Berlinia","Crudia","Anthonot","Mezoneur","Afzelia.","Triploch","Cola.typ","Sterculi","Mansonia","Nesogord","Pentas","Macrosph","Psychotr","Sherbour","Gaertner","Canthium","Nauclea.","Morelia.","Virecta","Cuviera","Gardenia","Sabicea","Oxyanthu","Oldenlad","Spathode","Newbould","Grewia.t","Triumfet","Glyphaea","Clappert","Lannea.t","Spondias","Anthroca","Diospyro","Monodora","Bosqueia","Antiaris","Adenia.l","Verbenac","Cleroden","Irvingia","Allophyl","Lecaniod","Cardiosp","Deinboll","Blighia","Pancovia","Paullini","Flabella","Parinari","Pycnanth","Zanthoxy","Clausena","Commipho","Canarium","Napoleon","Podocarp","Syzygium","Olax","Dracaena","Erythrox","Tapinant","Dissotis","Adenodol","Desmodiu","Dolichos","Tephrosi","Crotalar","Borreria","Chassali","Stachyta","Cnestis.","Tetracer","Hygrophi","Justicia","Scoparia","Hyptis.t","Jasminum","Talinum.","Polygala","Ipomoea.","Sesamum","Gynandro","Croton","Hippocra","Commelin","Malvacea","Momordic","Luffa.ty","Cucurbit","Citrullu","Asclepia","Caryophy","Cordia","Amaranth","Poaceae","Cyperace","Asterace","Polygonu","Ludwigia","Jussiaea","Drosera","Typha","Nymphea","Araceae","Crinum.t","Cyrtospe","Anchoman","Dinoflag","Spores.m","Lonchiti","Spores.t","Pityrogr","Indeterm","Indeterm.1","Chron1","Chron10","Chron20"
"130",19,0,0,7,0,7,0,0,0,2,0,0,0,0,1207,1044,0,2,0,0,0,0,0,12,0,4,11,8,0,5,1,0,0,14,4,3,12,1,7,0,0,0,0,0,0,85,29,5,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3,3,0,0,0,0,0,0,0,17,12,0,0,1,29,0,0,3,0,6,2,0,0,0,2,0,0,1,0,0,0,5,0,4,3,6,0,3,0,1,1,3,2,4,14,1,0,0,0,1,0,85,0,0,0,0,0,0,0,0,0,0,1,81,0,160,0,0,0,0,0,4,3,0,0,0,33,0,14,0,0,0,1,0,0,0,0,0,0,63,2,8,4,15,0,0,1,8,0,0,0,0,0,2893,0,32,0,23,0,2046.74694824219,2066.83471679688,2014.62658691406
"145",29,0,0,7,0,3,0,8,0,0,0,0,0,0,1271,920,0,0,0,0,0,0,0,20,0,3,9,8,0,11,0,0,0,2,11,6,11,3,0,5,35,0,0,0,0,60,26,5,0,2,0,0,0,1,1,85,13,0,0,0,0,0,0,0,3,0,0,1,0,2,0,3,0,0,0,0,0,1,0,0,19,2,6,0,2,12,0,0,0,0,9,0,0,1,1,0,0,0,0,5,2,0,10,0,3,0,1,0,8,0,0,1,4,2,6,21,1,0,0,0,1,0,78,0,0,1,0,0,0,0,2,0,1,1,39,1,263,4,0,1,0,0,2,0,0,0,0,0,0,21,0,0,1,5,0,0,0,0,0,0,77,4,13,5,34,0,0,0,5,0,0,0,0,0,4846,0,44,0,22,0,2268.25708007812,2335.8857421875,2286.37133789062
"155",9,0,0,6,0,6,0,10,1,3,0,0,1,0,975,1317,0,4,0,0,0,0,0,4,0,4,0,4,2,4,0,0,0,17,2,11,5,6,0,2,101,1,0,0,0,89,12,0,0,6,0,26,0,0,1,227,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,4,0,0,0,0,3,10,0,0,40,0,4,0,3,13,0,3,1,0,33,0,0,5,0,1,0,0,2,0,5,0,17,1,4,1,1,0,8,1,0,5,0,0,8,3,0,0,19,0,1,0,137,1,16,2,1,0,0,0,0,0,0,4,0,2,256,0,0,0,25,0,23,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,56,8,10,0,0,0,0,0,31,0,1,0,11,0,3094,0,46,0,29,0,2415.9306640625,2515.25317382812,2467.53466796875
"180",22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82,0,0,0,0,0,2785.1142578125,2963.67138671875,2920.44287109375
"190",337,0,0,5,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,7,0,2,0,0,0,0,0,0,0,0,0,2,0,1,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,53,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,1,9,0,0,0,0,0,3001,0,0,0,0,0,2932.78784179688,3143.03881835938,3101.60620117188
"200",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,3080.46118164062,3322.40600585938,3282.76928710938
"210",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,216,0,0,0,1,0,3228.134765625,3501.7734375,3463.9326171875
"220",51,0,21,1,0,0,0,0,0,0,0,0,0,1,39,59,0,2,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12,2,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,12,0,0,0,1,0,0,0,0,0,2,0,11,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,2,1,2,0,0,2,0,0,0,0,0,0,1018,0,17,0,6,0,3375.80810546875,3681.14086914062,3645.09594726562
"272",59,0,4,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,31,0,0,0,0,0,437,0,0,0,0,0,4143.7099609375,4613.85107421875,4587.14501953125
"282",10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,54,0,0,0,0,0,4291.3837890625,4793.21826171875,4768.30810546875
