"","Rhizopho","Cassipou","Avicenni","Acrostic","Alstonia","Hollarhe","Alchorne","Macarang","Jatropha","Uapaca","Bridelia","Celtis","Chaetacm","Anthocle","Ceiba.pe","Bombax","Sapotace","Bequaert","Mimusops","Chrysoph","Terminal","Combreta","Arecacea","Phoenix","Cocos.nu","Calamus.","Raphia","Elaeis.g","Symphoni","Cissus","Leea.gui","Pentachl","Fabaceae","Centrose","Cassia","Tamarind","Anthonot","Mezoneur","Afzelia","Detarium","Triploch","Cola.typ","Sterculi","Mansonia","Gaertner","Canthium","Nauclea","Morelia","Gardenia","Oldenlad","Macrosph","Spathode","Grewia","Triumfet","Lannea.t","Spondias","Diospyro","Monodora","Bosqueia","Cleroden","Irvingia","Allophyl","Deinboll","Blighia.","Pancovia","Paullini","Flabella","Parinari","Pycnanth","Zanthoxy","Canarium","Syzygium","Sauvages","Lophira","Campanul","Erythrox","Podocarp","Tapinant","Tephrosi","Crotalar","Borreria","Chassali","Stachyta","Cnestis","Tetracer","Scoparia","Hyptis.t","Crinum","Jasminum","Ipomoea.","Hippocra","Talinum","Acanthac","Sida.typ","Amaranth","Poaceae","Asterace","Cyperace","Asterace.1","Polygonu","Ludwigia","Jussiae","Typha","Nymphea","Dinoflag","Cyclosor","Spores.m","Ceratopt","Pteris","Spores.t","Indeterm","Indeterm.1","Chron1","Chron10","Chron20"
"122",50,0,0,5,0,0,6,0,0,4,0,2,0,0,1,0,3,0,0,0,1,0,0,0,16,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,102,0,6,0,39,4,0,2,1,0,0,2921,8,0,0,0,0,0,0,0
"132",52,0,0,7,0,0,14,0,0,8,0,1,0,0,3,0,5,0,0,0,0,0,1,0,0,0,0,6,3,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,149,0,0,3,42,2,0,0,0,0,0,2386,11,0,0,0,0,2319.8251953125,2330.70874023438,2330.21362304688
"142",53,0,1,7,0,0,7,0,0,9,0,4,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,10,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,94,0,1,0,2,0,0,4,1,0,0,151,0,0,7,1,0,2648.95141601562,2734.25244140625,2736.28149414062
"152",70,1,0,17,0,0,7,0,0,9,0,2,0,0,2,0,3,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,96,0,5,1,0,0,0,0,0,0,0,154,0,0,10,0,0,2978.07763671875,3137.79614257812,3142.349609375
"162",85,0,0,14,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112,0,2,0,0,0,0,1,0,1,0,100,0,0,4,2,0,3307.20385742188,3541.33984375,3548.41748046875
"167",65,0,0,21,0,0,3,0,0,3,0,4,0,0,2,0,0,0,0,3,0,2,0,0,1,1,0,7,0,1,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,72,0,1,0,1,0,0,0,0,0,0,130,0,0,10,0,0,3471.76708984375,3743.11157226562,3751.45141601562
"175",176,0,2,15,0,0,8,0,0,4,0,5,0,0,3,0,11,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,5,0,0,0,0,0,1,2,34,0,0,1,1,1,0,3,0,0,0,168,0,0,12,2,0,3735.06787109375,4065.94653320312,4076.30590820312
"185",469,0,1,262,0,0,4,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,27,3,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,2,0,0,0,1,0,16,0,2,0,0,0,0,3,0,0,0,79,0,0,37,0,2,4064.19409179688,4469.490234375,4482.3740234375
"195",295,0,0,90,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,4393.3203125,4873.0341796875,4888.44189453125
"205",483,0,2,91,0,0,1,0,0,0,0,3,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,25,0,0,9,0,0,4722.44677734375,5276.57763671875,5294.509765625
