"","Antrocar","Boscia","Balanite","Diospyro","Alchorne","Uapaca","Allanbla","Cleome","Pycnanth","Baphia","Fagara","Ligulifl","Graminea","Elaeis.g","Tubulifl","Acridoca","Bridelia","Celastra","Indeterm","Rhizopho","Flacourt","Tetrorch","Cyperace","Acanthac","Dodonaea","Martreti","Phyllant","Moraceae","Podocarp","Rubiacea","Canthium","Allophyl","Typha","Caesalpi","Artemisi","Ephedra","Acalypha","Euphorbi","Hymenoca","Acacia","Myrica","Sauvages","Schreber","Solanum","Tamarix","Pinus","Echium","Papilion","Lophira","Tephrosi","Rumex","Borreria","Mussaend","Scrophul","Umbellif","Tribulus","Anacardi","Celtis","Commipho","Cupressa","Ericacea","Lorantha","Rhamnace","Rutaceae","Caryophy","Linaceae","Plantago","Justicia","Lannea","Rhus","Ilex","Cassia","Maerua","Olea","Vigna","Polygala","Parinari","Teclea","Polycarp","Mallotus","Kohautia","Hygrophi","Betula","Bombax","Cordia","Danielli","Capparis","Quercus","Icacina","Liliacea","Mimosa.p","Bosqueia","Commicar","Oleaceae","Olea.hoc","Pterocar","Rosaceae","Pavetta","Lycopodi","Dialium","Polycarp.1","Blighia","Cussonia","Barleria","Ranuncul","Combreta","Crudia","Campanul","Cissus","Indigofe","Olax","Pentacle","Sabicea","Sesbania","Sherbour","Stachyot","Borassus","Hippocra","Pseudosp","Rhynchos","Ocimum","Aizoacea","Myriophy","Chenopod","Bignonia","Hypoeste","Cadaba","Palmae","Lawsonia","Piliosti","Crossopt","Acioa","Alnus","Amphimas","Boswelli","Brassica","Burkea","Calligon","Clausena","Cnestis","Corylus","Cryptose","Cuviera","Entada.P","Flacourt.1","Gaertner","Gilberti","Glyphaea","Heritier","Ixora","Leonotis","Leucas","Lonchoca","Meliacea","Melochia","Nauclea","Nitraria","Ormocarp","Pentas","Rytigyni","Salvador","Spathode","Sterculi","Syzygium","Tilia","Trianthe","Ulmus","Monolete","Monolete.1","Trilete.","Trilete..1","Trilete..2","Abies","Berlinia","Carpinus","Centaure","Chiarini","Coccinia","Corchoru","Dictyand","Dorsteni","Dorsteni.1","Duparque","Fagus","Heliotro","Lotus","Monopeta","Osyris","Peganum","Phillyre","Picea","Plumbagi","Proteace","Psorospe","Sarcospe","Spondias","Stipular","Vitis","Zygophyl","Zygophyl.1","Pteris","Monolete.2","Trilete..3","Chron1"
"125",0,1,0,1,6,2,0,0,0,0,0,0,80,0,1,0,1,0,3,0,0,4,28,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6513,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,170,9,0,67,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,45343.5703125
"135",0,0,0,1,2,1,0,0,0,0,0,0,57,0,1,0,0,0,3,5,0,2,18,0,0,0,2,0,6,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,4759,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,139,5,0,57,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48587.85546875
"145",0,0,0,0,4,4,0,0,0,0,0,0,75,0,1,0,1,0,1,4,0,3,17,0,0,0,1,0,4,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3910,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,1,207,7,0,80,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,51169.66796875
"155",0,0,0,0,4,1,0,0,0,0,0,0,62,1,0,0,0,0,3,6,0,0,13,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7742,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,120,1,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53089
"165",0,0,0,0,1,0,0,0,0,0,0,0,40,0,1,0,0,0,1,0,0,0,23,0,0,0,1,0,4,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,128,10,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55008.33203125
"175",0,0,0,0,5,2,0,0,0,0,0,0,68,2,2,0,0,0,4,5,0,1,26,1,1,0,0,0,11,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,12,0,3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,56927.66796875
"185",0,0,0,0,2,2,0,0,0,0,0,0,31,1,0,0,0,0,6,6,0,0,29,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4252,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,99,3,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58847
"195",0,1,0,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,1,3,0,0,27,0,0,0,0,0,6,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2830,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,104,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,60766.33203125
"205",0,0,0,1,3,1,0,0,0,0,0,0,29,1,0,1,0,0,1,6,0,1,11,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2837,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,97,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62685.66796875
"215",0,1,0,0,6,4,0,1,0,0,0,0,33,1,0,0,0,0,4,3,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3696,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,61,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64605
