,Acacia,Acalypha,Acanthac,Adansoni,Afraegle,Afzelia.,Alchorne,Allophyl,Amaranth,Ampelida,Anacardi,Annonace,Antidesm,Umbellif,Apocynac,Araliace,Palmae,Artemisi,Composit,Balanite,Blephari,Blighia,Bombax,Boragina,Borreria,Boswelli,Brassica,Bridelia,Burkea.a,Butyrosp,Caesalpi,Capparid,Caryophy,Cassia,Celastra,Celtis,Centaure,Cf.Diali,Cf.Scrop,Chrozoph,Cissampe,Cissus,Clematis,Cochlosp,Cola.cf.,Combreta,Commelin,Commipho,Convolvu,Corchoru,Cordia,Crossopt,Croton,Cucumis,Cucurbit,Cussonia,Cyperace,Detarium,Diospyro,Dombeya.,Elaeis.g,Entada,Ephedra,Ericacea,Erythrin,Euphorbi,Papilion,Ficus,Grewia,Heliotro,Hygrophi,Hymenoca,Hyphaene,Indeterm,Indigofe,Ipomaea,Irvingia,Isoberli,Ixora,Justicia,Khaya,Kohautia,Lactucea,Lamiacea,Lannea.S,Liliacea,Lobelia,Lophira,Lythrace,Macarang,Maerua,Mallotus,Malvacea,Manilkar,Menisper,Mitracar,Mitragyn,Monocoty,Monotes.,Moraceae,Morelia.,Mussaend,Nauclea,Nymphaea,Olea.hoc,Parkia,Adenia,Paullini,Tacazzea,Phoenix.,Phyllant,Piliosti,Pinus,Graminea,Podocarp,Polycarp,Polygona,Polygonu,Prosopis,Pterocar,Pterido,Trilete,Raphia,Rhus,Adina,Rubiacea,Rutaceae,Salix.cf,Salvador,Sapindac,Securine,Solanum,Sterculi,Strychno,Syzygium,Talinum,Tapinant,Thunberg,Thymelea,Trema.gu,Typha,Uapaca,Indeterm.1,Urticace,Cleroden,Vernonia,Vitex,Ximenia.,Ziziphus,Chron1,Chron10,Chron20
90,0,2,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,57,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1365.197021,1273.260864,1278.021729
101.5,0,0,1,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,1,0,0,0,3,3,1,0,0,0,1,0,7,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1430.671509,1339.094238,1338.771729
110.5,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,1,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,74,0,2,0,1,1,0,0,0,1,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,668,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,4,0,0,0,0,0,0,1481.912354,1390.615967,1386.315186
120,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,680,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3,0,3,0,0,0,0,0,0,1536,1445,1436.5
132.5,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,2,0,11,0,0,0,0,0,1,0,0,0,0,72,0,1,0,0,0,0,0,0,2,1,0,0,0,0,4,1,4,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,814,0,2,0,0,0,0,0,5,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,4,0,0,2,0,1,0,1587.415039,1500.817627,1493.182373
143,2,0,0,0,0,0,3,0,5,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,1,0,0,0,0,41,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,635,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1630.60376,1547.704346,1540.795654
153.5,1,1,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,1,0,0,0,6,1,0,0,0,0,3,2,7,0,0,0,1,0,0,0,2,0,1,12,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,732,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,1673.79248,1594.591187,1588.408813
164,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,79,0,0,0,1,0,0,0,0,0,6,0,0,0,0,4,1,2,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,793,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,1716.981079,1641.478027,1636.021973
175,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,32,1,0,0,0,0,0,0,0,4,1,1,0,0,0,7,1,3,0,0,0,4,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,1,0,1762.22644,1690.597534,1685.902466
185,1,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,1,3,0,0,0,0,0,0,1803.358521,1735.251587,1731.248413
