"","Abutilon","Acacia.P","Acalypha","Acanthac","Acridoca","Adenia","Afrormos","Afzelia","Aizoacea","Alchorne","Allanbla","Allophyl","Amaranth","Anthonot","Antidesm","Antrocar","Arecacea","Artemisi","Asphodel","Avicenni","Balanite","Baphia.t","Barleria","Basilicu","Blephari","Blighia.","Bombax","Borassus","Borreria","Boscia.t","Bosqueia","Boswelli","Brachypt","Brachyst","Brassica","Bridelia","Burkea","Butyrosp","Cadaba","Caesalpi","Calamus","Calligon","Caloncob","Calvoa","Calycobo","Canthium","Capparis","Caryophy","Cassia.t","Ceiba.pe","Celastra","Celtis","Centaure","Chrozoph","Clausena","Cleome","Cnestis.","Coccinia","Coffea.t","Cola.nit","Combreta","Commicar","Composit","Composit.1","Composit.2","Conocarp","Corchoru","Crateva","Crossopt","Croton.t","Crudia.t","Cussonia","Cuviera","Cyperace","Danielli","Desplats","Detarium","Dialium.","Dictyand","Diospyro","Dodonaea","Dorsteni","Dracaena","Drosera","Elaeis.g","Entada.t","Ephedra","Ericacea","Erytroxy","Euphorbi","Euphorbi.1","Flabella","Flacourt","Funtumia","Gaertner","Galium","Gentiana","Gomphren","Graminea","Grewia","Gynandro","Harpulia","Hedera","Heeria","Heliotro","Heritier","Hygrophi","Hymenoca","Hyperica","Hyphaene","Hypoeste","Icacina","Ilex.cf.","Indigofe","Iodes","Irvingia","Isoberli","Ixora","Jatropha","Justicia","Kedrosti","Khaya","Klainean","Kohautia","Lannea","Leea","Leonotis","Lepidaga","Leptaulu","Leucas","Liliacea","Linocier","Lophira","Lythrace","Macarang","Maerua.t","Maesa","Mallotus","Mammea.P","Manilkar","Melochia","Mesanthe","Milletia","Mimosa.X","Mimusops","Mitracar","Moltkia","Morus.ty","Mussaend","Myrica","Myriophy","Nauclea.","Newbould","Nitraria","Nuphar.l","Ochna","Ochnacea","Ocimum","Olea","Olea.cap","Oleaceae","Osyris","Papilion","Parinari","Paullini","Pavetta","Peganum","Pentacle","Pentas","Petersia","Phyllant","Piliosti","Plantago","Plumbagi","Podocarp","Podocarp.1","Polycarp","Polyceph","Polygala","Polygonu","Polygonu.1","Protea","Pseudopr","Psorospe","Psychotr","Pterocar","Pterolob","Pycnanth","Ranuncul","Rhamnace","Rhizopho","Rhus","Rhynchos","Ricinus.","Rothmann","Rubiacea","Rubiacea.1","Rytigyni","Sabicea","Salix.cf","Salvador","Sapotace","Sauvages","Schreber","Scleroca","Securine","Sesbania","Sherbour","Sindora","Solanum","Spathode","Spondian","Spondias","Sterculi","Stereosp","Syzygium","Tamarind","Tapinant","Tarenna","Teclea.t","Tephrosi","Tetrorch","Thymelae","Tribulus","Trichili","Typha.an","Typha.la","Uapaca","Umbellif","Virectar","Vitaceae","Welwitsc","Ximenia.","Zanthoxy","Zygophyl","Indeterm","Sporomor","Pteris","Monolete","Monolete.1","Monolete.2","Monolete.3","Trilete.","Trilete..1","Trilete..2","Cyathea","Lycopodi","Lygodium","Nephrole","Osmunda","Cheilant","Pteridiu","Pityrogr","Selagine","Chron1"
"215",0,0,0,0,0,0,0,0,1,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,7,1,0,5,0,0,2,0,0,0,0,1,0,0,0,9,0,0,2,0,0,0,0,1,0,0,0,0,75,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,15,0,0,0,0,0,0,0,0,0,1,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,23,60,170,10,24,33,5,2,0,4,0,10,1,0,0,0,0,45388.890625
"225",0,0,1,0,0,0,0,0,2,8,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,3,0,1,9,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,75,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,7,0,11,30,121,4,24,26,1,5,0,1,0,6,0,0,0,0,1,48277.77734375
"235",0,0,0,0,0,0,0,0,0,11,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,8,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,5,14,83,4,11,17,0,2,0,0,0,18,0,0,0,0,1,51166.66796875
"245",0,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,166,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,1,4,0,9,0,0,0,0,0,0,0,1,0,8,19,72,5,11,18,0,1,1,5,0,11,3,0,1,0,1,54055.5546875
"255",0,1,0,0,0,0,0,0,0,10,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,1,0,1,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,7,0,0,0,5,0,7,0,0,0,0,0,0,0,1,0,7,32,71,5,20,21,0,2,0,1,0,5,0,0,0,0,0,57083.33203125
"263",0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,0,0,1,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,88,2,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,6,0,4,0,0,0,0,0,0,1,4,1,6,9,42,3,3,18,0,1,0,0,0,3,0,0,0,0,1,59616.66796875
"275",0,0,0,0,0,0,0,0,0,8,0,0,3,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,1,0,2,0,13,0,0,2,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,1,0,0,123,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,199,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,4,9,0,2,0,0,0,0,0,0,0,1,0,2,0,1,38,1,2,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,8,0,0,0,0,0,0,0,5,1,6,5,73,4,8,16,0,4,1,3,0,7,7,0,0,0,1,63416.66796875
"285",0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,128,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,14,52,133,25,17,50,5,7,0,4,0,11,12,0,2,0,9,65636.3671875
"295",0,1,0,0,0,0,0,0,0,14,0,0,3,0,0,0,2,3,0,0,2,3,0,0,0,0,0,0,1,2,1,0,0,0,0,1,5,0,0,0,0,1,0,0,0,1,0,1,7,0,1,1,0,0,0,0,0,0,0,0,7,1,0,8,1,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,212,1,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,9,0,0,0,0,0,1,0,0,0,2,0,0,0,0,66,2,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,7,28,97,15,13,23,2,0,0,2,0,9,4,0,0,0,7,66909.09375
"305",0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,4,0,0,3,0,0,3,0,0,0,0,2,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,99,1,0,0,1,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,1,0,0,0,0,1,0,1,0,6,11,0,0,0,0,1,0,0,0,0,2,0,0,0,0,79,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,4,0,8,40,131,20,9,26,5,4,0,3,0,8,2,0,0,1,2,68181.8203125
"315",0,1,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,3,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,1,0,1,4,0,0,0,5,1,0,4,1,0,0,0,0,0,0,0,2,107,1,0,0,1,0,0,2,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,82,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,49,128,15,17,26,4,4,0,0,0,21,1,0,0,0,0,69454.546875
"325",0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,1,7,0,0,2,0,0,0,0,0,0,3,0,0,52,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,5,0,5,76,80,23,13,12,4,2,0,2,1,14,1,0,0,0,2,70727.2734375
"335",0,1,0,0,0,0,0,0,0,19,0,0,8,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,1,0,1,0,13,0,0,4,1,0,0,0,0,0,1,0,0,60,1,0,0,1,0,0,4,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,2,0,1,14,44,6,6,15,0,1,0,2,0,5,0,0,0,0,1,72000
"345",0,1,1,0,0,0,0,0,0,21,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,10,0,1,11,0,0,0,0,1,0,0,0,14,0,0,2,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,7,0,0,0,0,0,0,0,0,0,2,0,3,0,2,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,8,0,0,0,0,0,1,0,5,0,4,40,39,15,5,12,0,0,0,2,0,6,0,0,3,0,0,73272.7265625
"355",0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,54,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,78,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,1,0,2,0,1,23,40,4,3,10,0,0,0,1,0,2,2,0,1,0,0,74545.453125
"363",0,1,1,0,0,0,0,0,1,14,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6,0,1,6,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,1,0,1,35,0,0,1,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,0,0,0,0,0,0,1,0,1,0,1,50,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,10,0,0,0,0,0,0,1,6,0,1,31,47,3,9,15,0,2,0,0,0,5,0,0,0,0,0,75563.6328125
"375",0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,1,0,0,7,0,2,3,0,1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,7,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,87,0,0,0,0,0,0,2,0,0,1,0,1,0,1,96,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,4,0,0,1,0,0,4,0,0,0,0,0,1,0,2,0,10,7,53,1,9,16,0,0,3,1,0,0,0,0,0,0,1,77090.90625
"385",0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,12,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,19,1,0,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,1,3,0,8,7,43,5,5,13,0,1,2,4,1,10,0,0,0,0,0,78363.6328125
"395",0,0,0,0,0,1,0,0,1,30,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0,43,0,0,0,0,0,0,5,0,1,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,108,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,2,0,4,12,39,9,8,18,0,0,1,3,0,14,0,0,0,0,0,79850
"405",0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,7,1,0,0,0,0,0,0,0,1,1,0,5,0,0,8,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,65,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,103,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,11,0,0,0,0,0,0,0,3,0,8,5,34,3,10,8,2,0,0,3,0,2,6,0,0,0,0,81550
"415",0,0,0,0,0,1,0,0,1,16,0,0,3,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,94,1,0,0,0,0,0,4,0,0,0,6,1,0,0,0,5,1,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,124,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,18,0,0,0,0,0,0,0,10,0,3,35,117,15,18,22,1,0,1,1,0,23,0,0,0,0,1,83250
"425",0,0,0,0,0,1,0,0,0,19,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,64,2,0,0,0,0,0,4,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,3,0,0,0,0,1,0,0,8,0,6,43,107,23,19,16,1,0,0,1,0,11,0,0,1,0,1,84950
"435",0,0,0,0,0,0,0,0,0,15,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,2,0,1,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,75,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,14,36,0,0,0,0,0,0,0,0,0,0,0,1,0,1,77,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,8,0,0,0,0,0,0,1,2,0,0,6,35,4,8,3,0,1,0,1,0,5,1,0,0,0,1,86650
"445",0,0,1,0,0,0,0,0,1,11,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0,9,0,0,6,0,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,6,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,2,21,47,4,13,11,0,1,0,0,0,8,0,0,1,0,1,88350
