,Rhizopho,Acrostic,Syzygium,Tabernae,Hollarrh,Strophan,Landolph,Uapaca,Alchorne,Mallotus,Tetrorch,Spondian,Phyllant,Celtis,Chaetacm,Anthocle,Sapotace,Carapa.t,Combreta,Arecacea,Elaeis.g,Borassus,Raphia.s,Phoenix,Ancistro,Symphoni,Pentades,Ceiba.pe,Deinboll,Cissus,Pentachl,Entada.a,Piptaden,Dichrost,Acacia,Mimosa.p,Triploch,Sterculi,Hildegar,Mansonia,Cola.typ,Berlinia,Cassia.t,Caesalpi,Nauclea.,Canthium,Scherbou,Ixora.sp,Chassali,Morelia.,Cuviera,Sabicea,Pavetta.,Psychotr,Gardenia,Rubiacea,Spathode,Grewia.t,Drepanoc,Lonchoca,Dalbergi,Aechynom,Sesbania,Lannea.t,Spondias,Diospyro,Cleistop,Monodora,Annona.s,Bosqueia,Milicia.,Adenia.l,Cleroden,Irvingia,Avicenni,Cnestis.,Allophyl,Blighia.,Paullini,Jasminum,Flabella,Musanga.,Pycnanth,Parinari,Lophira,Fabaceae,Secamone,Poaceae,Cyperace,Asterace,Amaranth,Nymphea,Cyrtospe,Polygonu,Dracaena,Cleome,Ludwigia,Croton.t,Borreria,Triumfet,Indigofe,Crotalar,Desmodiu,Tetracer,Justicia,Scoparia,Leonotis,Polygala,Ipomoea.,Typha,Other,Spores.m,Spores.t,Indeterm,Indeterm.1,Chron1,Chron10,Chron20
115,181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,1,0,3722.368408,4056.578857,4106.315918
125,3331,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,2,0,3918.421143,4293.947266,4345.289551
132,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,0,4055.657959,4460.105469,4512.571289
142,490,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,2,1,0,4251.710449,4697.473633,4751.544922
152,1100,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,4447.763184,4934.842285,4990.518555
162,1182,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,1,0,4643.815918,5172.210449,5229.492188
172,475,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,0,4839.868652,5409.579102,5468.46582
182,550,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,1,0,5035.920898,5646.947266,5707.439453
192,918,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,0,0,5231.973633,5884.315918,5946.413086
202,1000,4,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,5428.026367,6121.684082,6185.386719
