,Acacia,hcanthac,Adenia,Adiantum,Afraegle,Afzelia,Aiz.Verb,Albizia,Alchorne,Burnatia,Allophyl,Alstonia,Alternat,Amarant,Anacard,Annona,Anthocl,Antiaris,Antidesm,Aphania,Landolph,Apocynaceae,Arecace,Tub,Baissea,Balanite,Berlinia,Blighia,Bombax,Borass,Borreri,Crucifer,Bridelia,Bursera,Caesalp,Calamus,Canarium,Canthium,Capparis,Cardio,Cassia,Ceiba,Celtis,Ceratopt,Cissus,Clematis,Cnestis,Cola,Combreta,Commelin,Convolvu,Cordia,Croton,Crudia,Cucurund,Cussonia,Cycloso,Cynometr,Cyp,Dalber,Danielli,Desmodiu,Dialium,Diospyr,Dolichos,Drepano,Drypetes,Eichhorn,Elaeis,Erica,Erythro,Eugenia,Euphorbi,Fabac,Fagara,Ficus,Malphigi,Flacourt,Cucurb1,Glyphaea,Holoptel,Hymenoca,indet.,Ipomoea,Irvingia,Ixora,Justicia,Khaya,Labiatae,Leonotis,Lactucea,Lannea,Lasiod,Lauremb,Loranth,Ludwig,Macaran,Mallotus,Malvacea,Apocyn1,Menisper,Mimosa,Mimosac,Mitracar,Mitragy,Monocot,Moracea,Morelia,Morinda,Mussaend,Musanga,Nauclea,Neptunia,Nesogord,Nymphaea,Olea,Ouratea,tarinari,Passif,Paullini,Pentades,Pentodon,Tacazzea,Phoenix,Phyllant,Piptade,Poa,Podocarp,Polyga,Polyg,Portulac,Protea,Pteroc,Pteropsi,Pteropsi.1,Pycnant,Raphia,Rhizopho,Rothman,Rubiacea,Rutaceae,Saba,Salvinia,Sapinda,Sapotac,Securine,Solanum,Sterculi,Syzgi,Tetraple,Triploch,Typha,Uapaca,unknown,Urticace,Verbena,Celastra,Vitex
952,1,0,3,0,0,0,2,0,6,0,0,0,0,1,1,0,0,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,49,0,1,0,0,5,18,0,0,2,0,0,0,0,2,1,16,0,2,0,4,2,0,0,0,0,2,0,0,0,1,3,5,45,0,6,0,0,10,0,15,0,2,0,0,1,1,0,0,7,0,0,0,0,8,0,0,6,0,0,0,0,0,2,0,11,0,0,1,25,0,3,0,0,2,5,2,0,0,0,0,0,2,0,10,0,0,0,0,0,0,4,0,2,0,68,0,0,0,0,0,1,16,0,0,7,1,3,2,1,28,6,0,0,0,0
972,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,2,1,49,0,0,4,0,2,11,0,0,0,0,0,0,0,6,2,8,0,0,0,5,1,0,0,0,0,0,0,0,0,2,4,2,21,0,10,0,5,8,0,19,0,3,0,0,0,0,0,0,5,0,0,0,0,8,1,0,3,0,0,0,0,0,0,0,18,0,0,4,16,0,1,1,2,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,2,0,0,64,0,0,1,0,0,2,17,0,0,4,0,1,1,0,19,10,0,0,1,0
1002,3,0,2,0,0,0,3,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,60,0,3,1,0,5,10,0,0,2,0,0,0,0,5,5,33,0,2,0,8,1,0,0,0,0,4,0,0,0,1,4,4,16,3,7,0,0,22,0,16,0,0,2,0,0,2,1,0,7,1,0,0,0,8,0,0,9,0,0,0,0,0,2,0,5,0,0,2,37,0,0,0,1,4,12,0,0,0,0,0,0,2,0,16,0,0,0,1,0,0,11,0,3,0,75,0,0,0,0,0,2,12,0,0,4,2,1,1,0,16,7,0,0,0,0
1022,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,1,1,1,2,61,0,0,0,0,2,13,0,0,0,0,0,0,0,8,7,21,0,0,0,4,2,0,0,0,0,3,0,0,0,0,4,2,30,0,5,0,4,9,0,10,0,1,0,0,0,0,1,0,2,1,1,0,0,3,0,0,3,0,0,0,0,0,0,0,18,0,0,9,59,0,1,0,1,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,68,0,0,0,0,0,0,13,0,0,2,0,2,1,0,23,8,0,0,0,1
1058,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,3,1,0,1,2,0,0,0,78,0,0,0,0,0,11,0,0,1,0,0,0,0,6,7,5,0,0,0,1,2,0,0,0,0,0,0,0,0,3,7,3,16,0,4,0,0,7,0,17,0,1,0,0,0,1,0,0,3,0,0,0,0,2,0,1,3,0,0,0,0,0,1,0,12,0,0,2,99,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,83,0,0,0,0,0,0,13,0,0,2,0,0,0,0,17,11,0,0,0,0
1073,0,0,1,0,0,0,3,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,4,0,0,5,49,0,1,0,0,4,6,0,0,0,0,0,0,0,6,0,1,0,1,0,4,5,0,0,0,0,0,0,0,0,0,6,2,15,0,7,0,1,4,1,17,0,5,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,8,1,0,5,72,1,1,0,0,2,5,4,0,0,0,0,0,2,0,7,0,0,0,0,0,0,3,2,2,0,119,0,0,0,1,0,2,16,0,0,2,0,0,0,0,19,11,0,0,0,0
1101,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,74,0,0,1,0,3,5,0,0,0,0,0,0,0,14,9,4,0,0,0,1,2,0,0,0,0,1,0,0,0,2,3,1,15,1,4,1,1,3,0,6,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,10,0,0,3,74,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,131,0,0,0,0,0,0,14,0,0,4,2,0,0,0,25,4,0,0,0,2
1129,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,1,1,0,2,3,62,0,0,0,0,1,9,0,0,1,0,0,0,0,3,6,2,0,1,0,2,5,0,0,0,0,0,0,0,1,0,2,2,20,0,2,0,0,4,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,11,0,0,2,105,0,1,0,0,1,1,0,1,0,0,0,0,2,0,3,1,0,0,0,0,0,4,2,2,1,85,0,0,0,0,0,0,17,0,0,2,0,0,0,0,16,6,0,0,0,0
1156,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,75,0,0,2,0,1,17,0,0,0,0,0,0,0,14,4,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,3,1,19,1,1,2,0,1,0,11,0,1,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,7,64,0,0,0,0,2,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,110,0,0,0,0,0,0,16,0,0,0,0,1,0,0,38,6,0,0,0,0
1182,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,6,2,46,0,0,3,1,1,21,0,0,0,0,0,0,0,9,8,6,1,0,0,1,4,0,0,0,0,0,0,0,0,0,7,1,13,1,2,3,2,2,0,16,0,6,0,0,0,0,1,0,1,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,6,0,0,3,59,0,0,0,0,0,2,0,0,0,0,1,0,1,0,5,0,1,0,0,0,0,6,3,0,0,93,0,0,0,0,0,0,9,0,0,4,0,1,0,1,45,10,0,0,0,0
1200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,0,0,2,1,46,1,0,1,0,1,5,0,0,0,0,0,0,0,33,3,5,0,0,0,0,4,0,0,1,0,1,0,0,0,0,3,0,11,2,2,0,0,4,0,14,0,1,0,0,1,0,0,0,7,0,0,0,0,18,0,0,3,0,0,0,0,0,1,0,7,0,0,0,42,0,0,0,1,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,1,1,0,104,0,0,0,0,0,2,10,0,0,2,0,2,0,0,78,4,0,0,0,0
1227,0,0,1,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,1,0,46,0,0,2,1,1,9,1,0,1,0,0,0,0,14,3,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,10,0,12,2,1,0,1,8,0,12,0,2,0,0,0,0,0,0,1,0,0,0,0,14,0,0,2,0,0,0,0,0,7,0,5,0,0,2,37,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,7,3,1,0,149,0,1,0,0,0,0,16,0,0,0,0,0,0,0,41,2,0,0,0,0
1255,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,3,63,0,0,6,0,0,14,0,0,0,0,0,0,0,48,1,6,0,0,0,0,1,2,0,1,0,0,0,0,0,0,3,0,14,0,0,0,0,5,0,26,0,3,0,0,1,0,0,0,4,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,4,0,0,3,26,0,1,0,0,3,3,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,3,0,0,0,96,0,0,1,0,0,2,14,0,0,4,0,0,0,0,38,7,0,0,0,0
1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,4,0,2,0,0,0,3,72,0,0,2,0,0,15,0,0,0,0,0,0,0,42,3,5,1,0,1,0,1,0,0,0,0,0,0,0,1,0,4,0,7,1,0,1,4,1,0,19,0,6,0,0,0,0,1,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,4,0,0,1,25,0,0,0,1,0,3,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,4,2,1,0,132,0,0,0,0,0,0,24,0,0,0,0,0,0,0,19,3,0,0,0,0
1299,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,0,2,60,0,0,1,0,1,9,0,0,1,0,0,0,0,95,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,9,0,0,2,0,4,0,30,0,0,0,0,0,0,0,1,1,0,0,0,0,11,1,0,3,0,0,1,0,0,0,0,2,0,0,0,23,0,0,0,0,0,10,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,2,1,0,107,0,0,0,0,0,2,20,0,0,1,0,2,0,1,8,6,0,0,1,0
1326,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,57,0,0,2,0,0,10,1,1,0,0,0,0,0,94,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,2,2,0,0,0,0,39,0,2,0,0,1,0,0,0,0,2,0,0,0,12,0,0,1,0,0,0,0,0,4,0,1,0,0,1,24,0,0,0,0,5,6,0,0,0,0,1,0,0,0,13,1,0,0,0,0,0,10,3,4,0,113,0,1,0,0,1,0,15,0,0,0,0,1,0,0,7,6,0,0,0,1
1354,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,6,1,0,0,0,1,3,48,0,0,0,0,4,13,0,0,1,0,0,0,0,88,7,7,0,0,0,1,4,0,0,0,0,0,0,0,0,0,11,1,9,0,1,10,0,5,0,24,0,4,0,0,0,0,0,0,6,0,0,0,0,13,0,0,3,0,0,0,0,0,2,0,16,0,0,2,25,1,0,0,0,0,17,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,8,0,9,0,82,0,0,0,0,0,2,16,0,0,3,0,0,0,0,23,10,0,0,1,1
1371,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,44,0,0,0,0,2,16,0,0,0,0,0,0,0,12,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,4,0,1,1,0,4,0,23,0,2,0,0,0,0,0,0,1,0,0,0,0,11,0,0,4,0,0,0,0,2,0,0,172,0,0,0,48,0,0,0,1,0,8,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,33,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,13,0,0,0,0
1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,18,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,1,31,0,1,0,65,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,62,0,0,2,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,12,4,0,1,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,4,0,0,0,0
