,Acacia,hcanthac,Adenia,Adiantum,Afraegle,Afzelia,Aiz.Verb,Albizia,Alchorne,Burnatia,Allophyl,Alstonia,Alternat,Amarant,Anacard,Annona,Anthocl,Antiaris,Antidesm,Aphania,Landolph,Apocynaceae,Arecace,Tub,Baissea,Balanite,Berlinia,Blighia,Bombax,Borass,Borreri,Crucifer,Bridelia,Bursera,Caesalp,Calamus,Canarium,Canthium,Capparis,Cardio,Cassia,Ceiba,Celtis,Ceratopt,Cissus,Clematis,Cnestis,Cola,Combreta,Commelin,Convolvu,Cordia,Croton,Crudia,Cucurund,Cussonia,Cycloso,Cynometr,Cyp,Dalber,Danielli,Desmodiu,Dialium,Diospyr,Dolichos,Drepano,Drypetes,Eichhorn,Elaeis,Erica,Erythro,Eugenia,Euphorbi,Fabac,Fagara,Ficus,Malphigi,Flacourt,Cucurb1,Glyphaea,Holoptel,Hymenoca,indet.,Ipomoea,Irvingia,Ixora,Justicia,Khaya,Labiatae,Leonotis,Lactucea,Lannea,Lasiod,Lauremb,Loranth,Ludwig,Macaran,Mallotus,Malvacea,Apocyn1,Menisper,Mimosa,Mimosac,Mitracar,Mitragy,Monocot,Moracea,Morelia,Morinda,Mussaend,Musanga,Nauclea,Neptunia,Nesogord,Nymphaea,Olea,Ouratea,tarinari,Passif,Paullini,Pentades,Pentodon,Tacazzea,Phoenix,Phyllant,Piptade,Poa,Podocarp,Polyga,Polyg,Portulac,Protea,Pteroc,Pteropsi,Pteropsi.1,Pycnant,Raphia,Rhizopho,Rothman,Rubiacea,Rutaceae,Saba,Salvinia,Sapinda,Sapotac,Securine,Solanum,Sterculi,Syzgi,Tetraple,Triploch,Typha,Uapaca,unknown,Urticace,Verbena,Celastra,Vitex
443,0,0,5,0,0,1,0,0,3,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,2,2,36,0,1,1,0,1,9,1,0,0,0,0,0,0,0,2,32,0,2,0,1,0,0,0,0,0,3,0,0,2,3,14,1,11,0,18,1,1,26,0,18,0,1,1,0,0,3,0,0,8,1,0,0,0,6,0,0,0,0,0,0,0,0,3,0,12,0,0,3,17,0,1,0,0,0,2,0,0,0,1,0,0,3,0,42,1,0,0,1,0,0,2,1,0,0,18,0,1,0,0,0,0,59,0,0,3,2,0,0,0,3,13,0,0,0,0
462,0,0,7,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,36,0,0,2,0,2,9,0,0,0,0,0,1,0,4,1,40,0,9,1,0,0,0,0,0,0,0,0,1,0,1,9,4,13,0,21,0,0,50,0,20,0,1,0,0,0,4,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,9,0,0,1,16,0,1,0,5,1,0,0,0,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,1,0,17,0,3,0,0,1,1,51,0,1,3,0,0,0,0,1,9,0,1,0,0
492,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,2,52,0,0,1,0,1,4,1,0,2,0,0,0,0,2,1,25,0,22,0,0,4,0,0,0,0,0,0,0,0,0,7,2,8,0,1,0,0,38,0,14,0,0,1,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,17,0,0,2,11,0,3,6,0,0,1,0,0,0,5,0,0,0,0,49,0,0,0,0,0,0,5,1,0,0,16,0,0,0,0,0,1,72,0,0,1,0,0,0,0,4,17,0,1,0,0
523,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,5,0,68,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,21,0,37,0,0,0,0,1,0,0,3,0,0,0,1,5,0,25,0,9,0,0,27,0,16,0,2,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,8,0,0,2,10,0,0,0,1,1,0,0,0,0,0,1,1,1,0,12,1,0,0,0,0,0,3,1,0,0,7,0,0,0,0,0,0,75,0,1,0,0,1,5,0,3,5,1,0,0,2
552,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,147,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,27,0,46,0,2,0,0,0,0,0,0,0,0,0,0,3,0,16,1,5,0,2,18,0,8,0,2,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,21,0,0,1,8,0,3,0,1,0,4,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,6,0,0,0,13,0,1,0,0,0,2,70,0,0,0,0,0,0,0,1,10,0,0,2,1
572,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,0,0,0,2,2,103,0,0,4,0,1,7,0,0,0,0,0,0,0,0,2,15,0,27,0,1,0,0,0,0,0,1,0,0,0,2,4,2,27,0,6,0,0,14,0,15,0,2,0,0,0,1,0,0,4,2,0,0,0,1,1,0,5,0,0,0,0,0,1,0,5,0,0,2,17,0,0,0,1,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,2,0,1,0,15,0,0,0,0,0,2,90,0,1,0,0,1,3,0,0,9,2,0,1,0
592,1,0,2,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,83,0,1,3,0,0,7,0,0,2,0,0,0,0,1,4,35,0,35,0,0,1,0,0,0,0,1,0,0,0,0,4,3,14,0,1,0,1,8,0,11,0,2,1,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,0,0,1,4,0,0,1,1,0,3,3,0,0,0,0,0,0,0,15,0,0,0,1,0,0,7,0,0,0,15,0,2,0,0,0,2,103,0,0,0,1,0,4,0,1,11,0,0,0,0
622,0,1,1,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,3,0,71,0,1,5,0,1,10,0,0,0,0,0,0,0,0,5,13,0,35,0,0,0,0,0,0,0,1,0,0,0,1,2,0,37,0,2,0,0,16,0,16,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,5,0,0,4,13,0,1,0,0,2,1,0,0,0,1,0,1,0,0,13,0,0,0,0,0,0,6,0,0,0,11,0,2,0,0,0,1,79,0,3,2,0,1,1,0,3,6,0,0,0,0
652,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,65,0,2,2,0,1,12,0,0,0,0,0,0,0,1,3,7,0,17,0,3,0,0,0,0,0,2,0,0,0,0,4,1,16,0,8,0,1,7,1,9,0,1,1,0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,6,0,0,4,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,1,0,0,5,0,1,2,25,0,0,0,0,0,0,134,0,0,1,0,0,1,0,7,10,0,0,0,0
673,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,4,0,1,0,56,0,0,3,0,1,5,0,0,1,0,0,0,0,5,5,12,0,12,0,1,3,0,0,0,0,1,0,0,1,2,2,1,31,0,1,0,0,12,2,17,0,2,0,0,0,1,0,0,3,3,0,1,0,0,2,0,0,0,0,0,0,1,0,1,2,1,0,7,14,0,1,1,0,0,1,0,0,0,0,0,0,1,1,9,0,0,0,1,0,0,7,1,0,0,25,0,2,0,0,0,0,97,0,2,1,1,2,1,0,6,8,0,0,0,1
