"","Rhizopho","Acrostic","Avicenni","Syzygium","Alafia.t","Hollarhe","Alstonia","Strophan","Nelsonia","Tabernae","Landolph","Euphorbi","Uapaca","Alchorne","Antidesm","Maproune","Macarang","Mallotus","Euphorbi.1","Securine","Celtis","Chaetacm","Trema.ty","Anthocle","Sapotace","Carapa.p","Bequaert","Combreta","Laguncul","Terminal","Arecacea","Cocos.nu","Raphia","Elaeis.g","Calamus.","Phoenix","Symphoni","Pentades","Ceiba.pe","Cissus","Leea.gui","Pentachl","Piptaden","Entada.t","Acacia","Aubrevil","Albizia","Fabaceae","Drepanoc","Lonchoca","Pterocar","Milletia","Caesalpi","Berlinia","Dialium","Cassia.t","Detarium","Cordia","Brachyst","Afzelia.","Erythrox","Mezoneur","Triploch","Cola.typ","Sterculi","Mansonia","Oldenlad","Canthium","Cuviera","Mitragyn","Oxyanthu","Gardenia","Morelia.","Sabicea","Chassali","Macrosph","Fadogia.","Psychotr","Pavetta.","Gartnera","Spathode","Newbould","Grewia.t","Clappert","Triumfet","Lannea.t","Spondias","Anthroca","Diospyro","Annonace","Annona.s","Bosqueia","Adenia.l","Vitex.ty","Cleroden","Stachyta","Irvingia","Cnestis.","Tetracer","Deinboll","Allophyl","Pancovia","Blighia.","Lecaniod","Cardiosp","Paullini","Dodonaea","Jasminum","Flabella","Parinari","Cassipou","Merremia","Ipomoea.","Secamone","Pycnanth","Zanthoxy","Clausena","Lophira","Burserac","Canarium","Napoleon","Podocarp","Polycarp","Pandanus","Luffa.ty","Momordic","Icacinac","Sesamum","Talinum.","Cleome","Acanthac","Hyptis.t","Hippocra","Mitragyn.1","Borreria","Nauclea.","Vigna.ty","Crotalar","Canavali","Desmodiu","Tephrosi","Aechynom","Croton.t","Cucurlig","Poaceae","Cyperace","Asterace","Asterace.1","Amaranth","Polygonu","Ludwigia","Crinum.t","Araceae","Typha","Nymphea","Dinoflag","Spores.m","Spores.t","Selagine","Cyclosor","Pteris.t","Ceratopt","Indeterm","Indeterm.1","Chron1","Chron10","Chron20"
"100",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,40,3,0,0,2,1,0,0,952.177185058594,887.430358886719,870.996826171875
"110",38,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1273.94934082031,1266.73413085938,1250.96520996094
"120",1403,0,1,0,0,4,1,0,0,0,0,0,0,17,0,0,0,0,0,0,8,0,1,1,2,0,0,11,0,0,0,3,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,2,1,0,937,46,0,0,0,0,5,1,1595.72155761719,1646.03796386719,1630.93359375
"130",1772,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1917.49365234375,2025.341796875,2010.90185546875
"140",2651,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,2239.26586914062,2404.6455078125,2390.87036132812
"150",6757,2,1,1,0,6,0,0,0,0,0,0,12,5,0,0,0,0,0,0,11,0,1,1,1,0,0,6,1,0,1,2,0,0,0,0,1,0,0,0,19,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,3,2,2561.0380859375,2783.94946289062,2770.83862304688
"160",2847,2,0,0,1,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2882.81005859375,3163.25317382812,3150.80688476562
"170",2031,0,1,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,3204.58227539062,3542.55688476562,3530.775390625
"180",2216,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,3526.3544921875,3921.86083984375,3910.74365234375
"195",2695,0,0,1,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4009.0126953125,4490.81640625,4480.6962890625
