"","Pseudosp","Berlinia","Diospyro","Anthoste","Alchorne","Irvingia","Meliacea","Pycnanth","Syzygium","Heisteri","Strombos","Cassia.t","Fagara","Eriocoel","Commelin","Sapotace","Graminea","Elaeis.g","Acridoca","Bridelia","Indeterm","Indeterm.1","Calpocal","Polygonu","Croton.t","Tetrorch","Cyperace","Monocoty","Amaranth","Composit","Dodonaea","Martreti","Phyllant","Anthocle","Tapinant","Moraceae","Canthium","Allophyl","Typha","Monolete","Triletes","Convolvu","Euphorbi","Hymenoca","Raphiost","Abutilon","Myrica","Jasminum","Olea.cap","Baphia.t","Polygala","Oldenlan","Solanum.","Sterculi","Holoptel","Cleroden","Pinus","Lepidaga","Coula.ed","Ganophyl","Grewia","Papilion","Desmodiu","Adenia","Bertiera","Triploch","Araliace","Celtis","Combreta","Cupressa","Lannea.t","Sapindac","Pancovia","Rauvolfi","Margarit","Symphoni","Aeschyno","Protea","Clematis","Parinari","Hymenodi","Teclea","Trema","Mallotus","Mitracar","Alstonia","Tabernae","Ceiba.pe","Cordia","Cynometr","Calycobo","Amanoa.t","Drypetes","Guttifer","Sacoglot","Malpighi","Bosqueia","Treculia","Lophira.","Pterocar","Ziziphus","Gardenia","Dialium","Blighia","Ranuncul","Ouratea.","Morelia.","Abrus","Aidia","Aporrhiz","Bauhinia","Bersama.","Campanul","Canarium","Cissus","Cylicodi","Diodia","Erythrop","Eugenia.","Flabella","Funtumia","Heteropt","Hevea.br","Hugonia","Icacinac","Indigofe","Ixora.ty","Jatropha","Klainean","Lamiacea","Leonardo","Leptaulu","Lippia.t","Loesener","Macarang","Maproune","Milletia","Nesogord","Nuxia.ty","Ochthoco","Olax","Oncoba.t","Pandanus","Penianth","Pentacle","Periploc","Piptaden","Podocarp","Prosopis","Protomeg","Psychotr","Rhus.lon","Rinorea","Rytigini","Sabicea","Salacia.","Santiria","Sapium.t","Sesbania","Sherbour","Sorindei","Stachyot","Stephani","Trichocl","Trichosc","Triumfet","Uapaca.s","Vernonia","Vismia","Voacanga","Waltheri","Selagine","Chron1","Chron10","Chron20"
"219.6",0,8,1,0,16,1,1,1,0,0,3,2,1,0,1,18,28,0,1,3,9,13,1,0,1,1,160,0,0,0,0,41,8,1,0,0,1,0,0,4,5,0,2,27,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,11,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,5,0,4,42,0,0,0,0,0,3,0,0,2,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,18,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,3020.46875,3196.10009765625,3196.2373046875
"264.3",0,13,0,0,13,0,0,1,0,0,3,1,0,0,0,32,30,1,2,2,8,19,0,0,1,2,168,0,0,0,0,56,5,0,0,0,2,0,0,14,4,0,1,55,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,23,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,0,5,44,0,0,0,0,0,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,29,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,2,1,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,3426.25,3690.83740234375,3683.9873046875
"286.7",0,2,0,0,24,2,1,0,0,0,0,11,1,0,0,45,26,0,3,6,11,12,1,0,0,2,143,0,1,0,0,61,0,0,1,0,4,0,0,5,4,1,0,46,0,0,0,0,5,1,0,0,1,0,1,0,0,0,4,0,0,3,0,1,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,1,0,1,0,14,0,11,56,0,1,0,1,0,7,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,33,4,2,0,0,0,0,0,0,0,0,0,0,5,12,0,0,3,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,7,0,0,1,0,0,3532.45703125,3839.62377929688,3828.525390625
"310.5",0,5,0,0,14,0,1,0,0,0,3,0,0,0,0,17,13,1,3,7,5,13,2,0,0,1,64,0,0,0,0,26,2,0,0,1,0,0,0,6,7,0,2,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,5,20,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,5,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3645.3017578125,3997.708984375,3982.09692382812
"333",0,4,0,0,11,0,0,0,0,0,3,0,0,0,0,15,13,0,2,5,3,8,0,0,1,5,97,0,0,1,0,18,3,1,0,0,3,0,0,5,5,0,0,39,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,27,0,0,0,1,0,2,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,0,3751.98266601562,4147.15966796875,4127.2802734375
"355.5",0,2,1,0,16,2,0,0,1,0,3,0,0,0,0,16,18,0,2,4,9,7,0,0,0,1,128,0,1,0,0,27,3,0,0,0,2,0,0,11,5,0,1,18,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,6,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,9,30,0,0,0,1,0,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,3858.66381835938,4296.60986328125,4272.46337890625
"377.8",0,12,0,0,23,0,0,0,0,0,4,2,1,0,0,25,26,0,1,5,5,15,1,0,0,1,126,0,2,0,0,44,2,2,0,0,1,0,0,5,4,0,0,27,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,6,0,6,52,0,1,0,0,0,6,0,0,1,2,0,0,0,9,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,3955.51513671875,4426.71923828125,4404.3623046875
"401.6",0,3,0,0,13,2,1,2,0,0,1,0,0,0,0,13,27,1,5,6,7,13,0,0,0,2,115,0,0,1,0,24,7,0,0,0,1,0,0,15,6,0,1,56,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,2,0,1,0,0,0,8,5,0,6,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,7,0,5,41,0,1,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22,6,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,4056.48486328125,4560.720703125,4541.8974609375
"424",0,10,0,0,22,0,0,0,1,0,9,2,0,0,0,27,27,0,3,12,13,13,0,0,0,10,178,0,1,0,0,41,6,1,0,0,0,0,1,2,5,0,2,33,0,0,0,0,7,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,19,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,11,0,7,53,0,1,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1,2,0,0,1,2,0,0,0,0,1,3,0,0,0,0,17,0,0,0,0,0,4151.51513671875,4686.83935546875,4671.34228515625
"446.3",0,4,0,1,18,2,0,1,0,0,2,5,0,0,0,10,21,0,2,9,10,13,1,0,1,3,136,0,2,0,0,18,1,0,0,0,3,0,0,6,6,0,3,41,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,1,1,4,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,35,0,0,0,0,0,4,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,4246.12109375,4812.39501953125,4800.20947265625
"468.7",0,15,1,0,46,1,0,0,0,0,4,2,1,0,0,41,56,0,3,18,22,13,0,0,0,9,223,1,3,0,0,69,5,1,0,0,5,0,0,7,5,0,3,66,0,0,0,0,19,0,0,0,1,0,8,0,0,1,0,0,0,6,2,2,0,1,0,21,7,0,0,0,1,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,6,99,0,2,0,4,0,7,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,5,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,1,2,2,0,1,0,1,4,0,0,0,0,21,0,1,0,0,0,4341.1513671875,4938.51416015625,4929.654296875
"491.1",0,9,0,1,154,3,0,0,0,0,14,8,2,0,0,97,130,0,4,15,48,51,4,0,0,49,455,1,18,2,0,170,13,0,1,4,5,0,0,17,28,1,9,162,0,0,0,0,44,1,3,0,22,1,5,1,0,0,0,1,4,7,1,3,0,4,1,80,19,0,5,0,0,0,2,0,1,0,3,3,18,0,0,19,2,0,1,3,0,22,1,30,149,0,10,0,2,0,10,0,0,0,4,0,0,0,25,0,1,0,3,6,0,3,3,0,0,14,0,0,1,0,0,0,0,0,1,2,6,0,0,4,1,88,6,0,1,2,0,1,0,0,4,0,0,0,7,21,0,0,0,7,0,1,0,12,4,4,0,0,2,17,1,0,1,0,95,0,0,0,0,0,4436.181640625,5064.6328125,5059.09912109375
"513.5",0,14,0,0,67,0,1,3,1,0,2,0,1,0,3,31,46,0,3,11,14,17,0,0,0,15,92,0,7,1,0,45,3,1,0,1,2,0,0,20,14,1,3,56,0,0,0,0,13,2,0,0,0,1,8,0,0,0,1,0,0,4,0,2,2,5,0,36,9,0,0,0,0,1,0,0,0,0,0,3,8,0,0,10,0,0,0,0,0,5,0,7,42,0,2,0,1,0,7,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,0,0,0,2,0,1,0,0,0,3,0,0,1,23,0,0,0,2,0,0,2,3,2,0,0,0,0,3,0,0,0,0,45,0,0,0,0,0,4531.2119140625,5190.75146484375,5188.5439453125
"527",0,10,0,0,80,1,0,3,2,0,2,0,1,1,0,38,42,0,3,6,24,25,0,0,0,19,98,0,9,2,0,62,2,0,0,2,3,1,0,0,9,1,1,55,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,3,2,5,0,3,0,3,0,14,6,0,2,1,0,0,6,0,0,0,0,1,14,0,0,11,0,1,0,0,0,6,1,20,45,1,1,0,3,0,7,0,0,0,1,0,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,21,5,9,0,0,0,0,0,0,0,0,0,0,5,16,0,0,2,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,36,0,0,0,1,0,4595.83349609375,5272.70849609375,5272.33349609375
"542.6",0,3,1,0,76,2,0,3,0,0,0,0,2,0,0,15,31,0,3,8,22,16,0,0,0,12,87,0,8,1,0,42,6,0,0,0,4,0,0,11,9,2,0,46,0,0,0,0,31,1,1,0,2,0,6,0,0,0,5,1,0,8,0,0,0,1,0,36,6,0,1,1,0,0,5,0,0,0,0,1,8,1,0,6,0,0,2,1,0,15,1,19,60,0,3,0,2,0,9,0,0,1,2,0,0,0,18,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,29,9,2,0,0,0,1,0,0,1,0,0,0,4,11,0,1,0,0,0,0,0,3,2,0,0,0,0,4,0,0,0,0,53,0,0,0,0,0,4719.3330078125,5406.93310546875,5407.533203125
