"","Acalypha","Acanthac","Acanthac.1","Aizoacea","Alchorne","Ambrosii","Antidesm","Artemisi","Bauhinia","Brachyla","Cadaba","Caesalpi","Capparis","Celtis","Combreta","Commipho","Cyperace","Dorsteni","Elaeis.g","Equisetu","Ericacea","Euphorbi","Fagara","Faurea","Ficus","Graminea","Helichry","Hippocra","Holoptel","Hymenoca","Julberna","Liliacea","Lycopodi","Maesa","Malvacea","Meliacea","Monolete","Myrica","Olea","Palmae","Pandanus","Phyllant","Pinus","Podocarp","Polypodi","Pteridiu","Salix","Salvador","Selagine","Syzygium","Tapinant","Taxodiac","Trilete.","Trilete..1","Trilete..2","Trilete..3","Typha","Urticace","Indeterm","Indeterm.1","Chron1","Chron10"
"16",26,1,0,1,5,0,3,0,1,0,1,2,0,15,5,1,12,1,1,1,1,0,1,0,6,32,0,1,3,1,1,1,0,5,2,12,32,0,10,2,1,2,2,0,3,0,1,1,7,0,1,1,0,1,1,1,0,44,20,131,0,0
"23",0,0,2,0,0,1,0,0,0,2,0,0,2,0,5,0,27,0,0,0,8,2,0,2,0,178,1,0,2,0,0,0,3,2,1,0,2,1,2,0,0,2,0,3,0,2,0,0,0,2,0,0,1,1,0,1,1,2,3,104,14820,17844.5
