"","Antrocar","Picralim","Balanite","Berlinia","Diospyro","Anthoste","Alchorne","Irvingia","Meliacea","Pentacle","Pycnanth","Syzygium","Heisteri","Strombos","Cassia.t","Fagara","Commelin","Sapotace","Graminea","Elaeis.g","Cardiosp","Acridoca","Bridelia","Celastra","Indeterm","Rhizopho","Calpocal","Polygonu","Myrianth","Croton.t","Tetrorch","Landolph","Sterculi","Cyperace","Monocoty","Amaranth","Composit","Dodonaea","Martreti","Phyllant","Anthocle","Moraceae","Campylos","Raphia","Rubiacea","Canthium","Allophyl","Typha","Monolete","Triletes","Convolvu","Euphorbi","Hymenoca","Raphiost","Utricula","Entada.t","Antiaris","Myrica","Eucalypt","Ximenia","Baphia.t","Desmodiu","Mussaend","Oldenlan","Solanum.","Sterculi.1","Holoptel","Anthocer","Pinus","Stereosp","Grewia","Papilion","Adenia","Portulac","Portulac.1","Borreria","Crossopt","Oricia","Triploch","Urticace","Anacardi","Celtis","Combreta","Lannea.t","Malvacea","Rutaceae","Apocynac","Rauvolfi","Harungan","Aeschyno","Clematis","Parinari","Hymenodi","Teclea","Trema","Mallotus","Mitracar","Ceiba.pe","Cordia","Cynometr","Danielli","Erythrop","Calycobo","Amanoa.t","Drypetes","Sacoglot","Malpighi","Mimosoid","Mimosa.p","Bosqueia","Musanga","Treculia","Lophira.","Oleaceae","Pterocar","Gardenia","Rothmann","Dialium","Maytenus","Aphania","Blighia","Avicenni","Spondian","Morelia.","Aidia","Canarium","Cissus","Cylicodi","Diodia","Erythrop.1","Flabella","Funtumia","Heteropt","Hevea.br","Hugonia","Icacinac","Indigofe","Klainean","Loesener","Macarang","Maproune","Nesogord","Pandanus","Periploc","Psychotr","Rinorea","Rytigini","Sabicea","Salacia.","Santiria","Sherbour","Sorindei","Stachyot","Trichosc","Triumfet","Uapaca.s","Vernonia","Vismia","Selagine","Adina","Afraegle","Anthonot","Baissea","Borassus","Burserac","Cassine.","Casuarin","Celastru","Cnestis.","Cocos.nu","Coffea","Copaifer","Corchoru","Cressa.t","Cryptose","Desplats","Dichoste","Dideloti","Distemon","Entada.g","Erythrox","Hippocra","Leptonyc","Limonias","Morinda.","Nypa","Ochnacea","Octolobu","Oxystigm","Pentabra","Piptaden","Plagiost","Pleiocar","Pleurost","Pseudosp","Rhus.lon","Rhynchos","Ricinus.","Talinum","Tarenna","Theccaco","Chron1","Chron10"
"19.5",0,0,0,0,0,0,52,3,5,0,0,0,0,0,3,0,0,14,134,22,0,0,0,0,7,0,0,0,0,4,3,0,0,79,0,3,1,2,32,2,3,0,0,0,5,2,0,0,98,32,0,0,57,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,6,5,5,0,0,0,1,0,0,0,1,11,0,0,3,0,2,0,10,0,0,0,0,23,0,0,0,0,1,0,0,6,0,2,0,1,8,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,16,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,218.135589599609,203.262710571289
"21.5",0,0,0,11,0,0,84,9,3,0,1,0,0,0,5,2,1,18,181,5,0,1,3,0,13,0,1,0,0,2,9,0,0,105,3,1,11,0,40,9,4,0,0,0,0,5,1,2,129,28,0,2,72,0,0,1,0,0,0,0,0,0,0,0,6,7,0,12,0,0,0,4,1,0,0,0,1,0,0,0,2,15,6,6,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,16,0,0,0,0,24,2,0,0,0,1,0,1,10,0,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,1,0,1,0,6,10,3,0,3,1,1,0,0,0,0,3,1,1,7,0,0,30,0,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,240.50846862793,224.110168457031
"25.5",0,0,0,7,0,1,73,3,6,0,2,0,2,0,12,2,0,12,181,9,0,0,3,0,15,0,0,0,0,0,5,0,0,89,4,1,5,1,22,9,0,0,0,0,1,3,0,0,110,12,0,0,60,0,0,2,0,0,0,1,3,0,0,1,7,17,0,6,2,0,0,2,1,3,0,0,0,0,0,0,0,21,2,6,0,0,0,0,0,0,0,1,6,0,4,0,0,0,0,8,0,0,0,0,32,2,1,1,1,0,0,1,15,0,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,5,3,0,1,0,1,1,0,0,2,0,0,1,7,0,0,24,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.254241943359,265.805084228516
"29.5",0,0,0,6,1,0,33,1,2,0,1,0,0,0,4,2,1,9,98,8,0,0,7,0,4,0,0,0,0,1,6,0,0,43,1,2,8,0,14,4,0,0,0,0,1,2,0,1,46,4,0,0,30,0,0,0,0,0,0,0,1,0,0,0,5,7,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,8,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,4,0,0,0,0,12,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,3,2,0,0,0,2,0,0,0,0,1,0,0,2,0,1,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,330,307.5
"31",0,0,0,3,0,0,116,10,1,0,1,0,0,0,5,7,0,21,238,24,0,2,14,0,19,0,0,0,0,0,20,0,0,146,0,0,16,1,18,11,1,0,0,0,8,3,0,0,90,29,0,0,94,0,0,6,0,0,0,0,0,0,0,0,8,3,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,17,9,1,1,0,0,0,0,0,0,3,7,0,1,1,1,0,1,7,0,0,0,0,32,0,0,0,0,1,0,1,9,0,2,0,0,11,0,1,0,0,0,0,0,0,11,0,0,0,2,2,0,1,0,0,1,1,6,8,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,38,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,346.779663085938,323.135589599609
"35",0,0,0,10,0,2,60,3,9,1,3,0,0,0,9,2,0,17,166,5,0,2,2,1,18,0,1,0,0,0,11,0,0,39,2,2,12,1,19,9,0,0,0,0,1,3,0,0,101,26,0,0,68,0,0,1,0,0,0,0,1,0,0,0,8,8,0,8,0,0,0,7,3,0,0,0,0,0,0,0,0,16,1,1,0,0,1,0,0,0,0,0,3,0,1,1,0,2,0,8,0,0,3,1,30,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,4,1,2,4,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,22,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,391.525421142578,364.830505371094
"39",0,0,2,17,1,0,125,2,11,1,3,0,0,0,10,7,1,39,215,24,0,0,3,0,35,3,0,0,0,4,19,0,21,145,6,8,16,0,36,9,1,0,0,0,1,3,1,2,209,53,0,0,100,0,0,0,0,0,0,0,0,0,0,0,12,0,1,31,1,1,0,4,3,0,0,0,0,1,0,0,1,21,8,4,0,0,2,0,0,0,0,1,8,1,2,1,1,2,0,13,1,0,3,0,51,0,0,0,0,0,0,0,8,0,1,0,0,2,0,2,0,0,0,13,6,0,1,0,1,2,2,1,0,0,2,1,5,0,11,3,7,0,0,0,2,1,0,0,0,3,0,0,9,0,0,41,1,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,436.271179199219,406.525421142578
"43",0,0,0,11,1,1,117,5,11,1,6,0,0,0,4,9,0,25,180,14,0,0,5,0,14,0,0,0,0,1,12,0,0,111,4,0,12,0,26,10,1,0,0,0,1,7,0,1,140,37,0,1,96,0,0,2,0,0,0,0,2,0,0,0,11,7,1,15,0,0,0,3,3,0,0,0,1,0,0,0,0,12,10,1,0,0,0,0,1,0,0,0,1,0,4,4,0,0,0,12,3,0,0,0,29,1,0,0,0,1,0,0,7,0,1,0,0,8,0,0,0,0,0,4,4,2,3,1,1,2,0,2,1,0,0,0,2,0,17,5,6,1,0,1,2,0,0,3,2,3,0,0,6,0,0,34,1,0,11,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,481.016937255859,448.220336914062
"47",1,0,0,9,1,0,27,2,4,1,1,0,0,0,1,3,0,5,81,9,0,0,0,0,12,0,0,0,0,2,5,1,0,74,0,2,2,0,14,2,1,0,0,0,0,6,0,0,59,19,0,0,42,0,0,0,0,0,0,1,0,0,0,0,10,2,0,11,0,0,0,1,0,0,0,0,0,2,0,0,0,11,7,0,0,0,0,0,0,0,0,0,6,0,1,4,0,0,0,7,0,0,0,0,19,1,0,0,0,1,0,0,4,0,0,0,0,7,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,1,0,2,4,1,1,0,0,1,1,0,2,0,0,0,0,1,0,0,21,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,525.7626953125,489.915252685547
"51",0,0,0,7,0,0,10,4,6,0,6,0,0,0,3,20,0,13,190,34,0,0,6,0,6,3,0,0,0,4,10,0,0,182,0,1,13,2,17,5,1,0,1,0,1,5,0,1,82,35,0,0,88,6,0,0,0,0,0,0,3,0,0,0,16,1,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,0,4,0,3,1,0,1,0,7,0,0,0,0,36,1,2,0,0,1,0,0,5,0,3,0,1,4,2,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,2,1,2,0,0,0,0,0,0,0,6,1,2,25,0,0,9,9,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,570.508483886719,531.610168457031
"55",0,0,0,7,0,1,82,4,8,4,4,0,0,0,3,9,0,23,147,16,0,1,3,0,16,0,0,0,0,1,6,0,1,129,2,1,12,0,28,10,1,0,0,0,1,4,1,0,107,32,0,0,90,0,0,2,0,1,0,0,2,0,0,0,11,10,3,20,1,0,0,6,3,0,0,1,0,1,0,0,1,28,7,3,0,0,1,0,0,0,0,0,5,0,4,1,0,1,0,11,0,0,0,0,33,0,2,1,0,0,2,1,13,0,1,0,0,4,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1,0,2,0,2,7,5,1,0,1,0,0,0,1,3,5,0,0,6,1,0,31,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,615.254211425781,573.305114746094
"61",0,0,0,7,0,0,68,3,1,4,5,0,0,1,4,4,2,13,158,29,0,3,2,0,12,0,3,0,0,4,8,0,0,209,0,1,6,1,12,6,1,0,0,0,0,17,0,1,108,22,0,1,82,0,0,3,0,0,0,0,1,1,0,0,3,1,0,4,0,0,0,5,1,0,0,0,0,0,0,0,2,16,5,3,0,0,2,0,0,0,0,1,9,0,2,16,0,1,0,2,0,0,0,0,33,0,0,0,0,0,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,3,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,1,4,9,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,682.372863769531,635.847473144531
