,Alchorne,Caesalpi,Cassia.t,Celtis..,Combreta,Cyperace,Euphorbi,Nauclea.,Poaceae,Podocarp,Rhizopho,Sapotace,Tetrorch,Uapaca,Indeterm,Monolete,Monolete.1,Trilete.,Trilete..1,Fern.spo,Chron1
1,1,0,0,0,0,6,0,1,0,0,0,0,1,0,3,24,1,6,4,35,330
5,1,0,0,0,0,5,0,0,0,0,1,0,0,0,1,9,8,11,5,33,1650
10,6,1,3,4,2,9,1,0,35,6,0,0,1,0,6,42,20,26,6,94,3300
15,9,0,2,4,3,10,1,0,23,0,2,1,3,1,15,17,14,17,5,53,4950
