depth	min	max	median	mean
1	-139	974	671	614
22	179	1066	800	764
41	544	1152	925	910
61	913	1260	1058	1069
92	1136	1518	1324	1324
113	1336	1661	1501	1498
145	1543	1973	1742	1745
167	1674	2183	1908	1914
192	1833	2404	2102	2108
212	1974	2571	2256	2261
242	2189	2796	2494	2495
262	2349	2935	2649	2648
293	2603	3137	2884	2881
315	2816	3262	3052	3050
347	3000	3420	3218	3217
372	3139	3531	3336	3334
392	3252	3617	3426	3427
413	3391	3708	3523	3526
443	3570	3974	3742	3749
462	3666	4154	3877	3885
492	3845	4396	4094	4102
523	4038	4630	4320	4324
552	4231	4835	4529	4531
572	4378	4974	4673	4674
592	4522	5105	4824	4818
622	4741	5291	5040	5033
652	4984	5464	5256	5251
673	5131	5565	5378	5396
694	5251	5693	5502	5504
722	5426	5858	5648	5646
752	5571	6012	5800	5797
772	5666	6116	5901	5898
802	5821	6253	6051	6048
822	5929	6347	6151	6148
852	6104	6479	6303	6302
872	6231	6557	6406	6402
898	6342	6673	6508	6506
922	6417	6773	6595	6596
952	6521	6885	6707	6708
972	6597	6960	6784	6784
1002	6715	7063	6896	6895
1022	6797	7136	6970	6970
1058	6949	7248	7105	7105
1073	7014	7302	7160	7163
1101	7121	7458	7292	7291
1129	7249	7595	7421	7421
1156	7377	7711	7546	7546
1182	7510	7825	7664	7665
1200	7605	7902	7743	7746
1227	7699	8022	7849	7852
1255	7795	8146	7956	7959
1272	7852	8221	8020	8025
1299	7951	8339	8124	8130
1326	8053	8452	8226	8234
1354	8167	8570	8331	8343
1371	8230	8647	8391	8407
1390	8310	8762	8476	8493
