FAMILIES, ORIGINAL NAMES,PLANT HABIT,POLLEN HABIT,PROPOSED NAMES,HABIT,Nb of sp. (g.) in tropical Africa,SAME TYPES,REMARKS,REVISED NOMENCLATURE 2019
*AZOLLACEAE,Azolla,Fa,Sp,Azolla,floating plants, ? (1 g.),(1 sp. in FG; 2 sp. FCBBR),not in Lebrun & Stork,Azolla
*GLEICHENIACEAE,T. Gleichenia linearis,F,Sp,Gleichenia linearis,terrestrial fern, ? (1 g.),(1 sp. FG) syn. Dicranopteris linearis FTEA ?,not in Lebrun & Stork,Gleichenia linearis
*GLEICHENIACEAE,Type Gleichenia linearis,F,Sp,Gleichenia linearis,terrestrial fern, ? (1 g.),(1 sp. FG) syn. Dicranopteris linearis FTEA ?,not in Lebrun & Stork,Gleichenia linearis
BEGONIACEAE,Begoniaceae,Hep(L),NL,Begonia,"herbs or undershrubs, mostly succulent and epiphytic, sometimes climbing ",( 1 g.),,,Begonia
**LYCOPODIACEAE,Lycopodiaceae,F(ep),Sp,Lycopodiaceae undiff.,terrestrial or epiphytic herbaceous ferns,(1 g. ?),"(3 g. FCBBR, probably syn. ?)",not in Lebrun & Stork,Lycopodiaceae undiff.
**LYCOPODIACEAE,Lycopodiaceae undiff.,F(ep),Sp,Lycopodiaceae undiff.,terrestrial or epiphytic herbaceous ferns,(1 g. ?),"(3 g. FCBBR, probably syn. ?)",not in Lebrun & Stork,Lycopodiaceae undiff.
ASPARAGACEAE,Asparagaceae,S(L),AL,Asparagus,erected or scandent branching shrubs or subshrubs,(1 g.),,"not covered by FTEA, FCBBR, FZ",Asparagus
CISTACEAE,Cistaceae,HS,I,Cistaceae undiff.,"shrubs, shrubby trees, subshrubs or herbs",(1 g.),,1 genus in Tropical Africa (Helianthemum),Cistaceae undiff.
*ACTINIOPTERIDACEAE,Actiniopetris radiata,F,Sp,Actiniopteris radiata-type,terrestrial fern,(1 g.),(4 sp. FTEA),mis-spelling; not in Lebrun & Stork,Actiniopteris radiata-type
*CYATHEACEAE,Cf Cyathea,FT,Sp,Cyathea,tree-like ferns,(1 g.),(1 g. and 2 sp. FG) (10 sp. FTEA),not in Lebrun & Stork,Cyathea
**ISOETACEAE,Isoetes,,Ss,Isoetes,aquatic plants,(1 g.),(5 sp. FTEA),not in Lebrun & Stork,Isoetes
**SELAGINELLACEAE,Selaginella,,St,Selaginella,"perennial, or rarely annual, herbaceous plants closely related to Pteridophyta",(1 g.),(8 sp.FG; 26 sp. FCBBR; 21 sp. FTEA),not in Lebrun & Stork,Selaginella
APOCYNACEAE,Nerium cf.,ST,A,Nerium oleander,"shrubs, or small trees 1-6 m tall",(1 sp. int),,"introduced (Mediterranean region), cultivated as ornamental plant",Nerium oleander
MUSACEAE,Musa,HT,NG,Musa,"robust, tree-like, perennial monocarpic herbs with a peudo-trunk",(1+1 g.),,"introduced (Indomalayan area), cultivated for its fruits (Banana, Plantain); difference with Ensete ?",Musa
CONNARACEAE,Connaraceae,STL,AL,Connaraceae undiff.,"erect or scandent shrubs, small trees or lianes",(10 g.),,,Connaraceae undiff.
OCHNACEAE,Cf Ochnaceae,HST,I,Ochnaceae undiff.,"trees, shrubs, suffrutex or herbs",(10 g.),,,Ochnaceae undiff.
THYMELAEACEAE,Thymelaeaceae,ST(LH),I,Thymelaeaceae undiff.,"trees or shrubs, sometimes lianas (rarely perennial herbs)",(10 g.),,not covered by FZ,Thymelaeaceae undiff.
SIMAROUBACEAE,Simaroubaceae,ST,A,Simaroubaceae undiff.,trees or shrubs,(11 g.),,,Simaroubaceae undiff.
COMBRETACEAE,Cf Combretaceae,STL,AL,Combretaceae undiff.,"trees, shrubs, shrublets or climbers",(11 g.),some MELASTOMATACEAE (H(STL)),,Combretaceae undiff.
PASSIFLORACEAE,Passifloraceae,STL(H),I,Passifloraceae undiff.,"climbers, shrubs or small trees, or sometimes erect herbs",(11 g.),,,Passifloraceae undiff.
TILIACEAE,Cf Tiliaceae,ST(HL),I,Tiliaceae undiff.,"trees, shrubs sometimes scandent, subshrubs or less often annual or perennial herbs",(11 g.),,,Tiliaceae undiff.
COMBRETACEAE/MELASTOMATACEAE,Combretaceae/Melastomataceae,HSTL,I,Combretaceae/Melastomataceae undiff.,"trees, shrubs, climbers, herbs",(11+25 g.),,,Combretaceae/Melastomataceae undiff.
OLACACEAE,Olacaceae,STL,AL,Olacaceae undiff.,"trees, shrubs or woody climbers",(12 g),,,Olacaceae undiff.
ANACARDIACEAE,Anacardiaceae,ST(L),A,Anacardiaceae undiff.,"trees, shrubs (rarely scandent) or suffrutices",(12 g.),,,Anacardiaceae undiff.
BIGNONIACEAE,Bignoniacea,ST(LH),AL,Bignoniaceae undiff.,"trees or shrubs sometimes scandent, rarely herbs",(12 g.),,mis-spelling; not covered by FTEA,Bignoniaceae undiff.
CELASTRACEAE,Celastracea,STL,AL,Celastraceae undiff.,"trees, shrubs, shrublets or woody climbers",(12 g.),some HIPPOCRATEACEAE (STL),mis-spelling,Celastraceae undiff.
RHAMNACEAE,cf. Rhamnaceae,STL,AL,Rhamnaceae undiff.,"trees, shrubs or lianas, often spiny",(12 g.),,,Rhamnaceae undiff.
PEDALIACEAE,Pedaliaceae,H(ST),I,Pedaliaceae undiff.,"annual or perennial herbs, rarely shrubs or trees",(12 g.),,not covered by FCBBR,Pedaliaceae undiff.
ROSACEAE,Rosaceae,HSTL,I,Rosaceae undiff.,"herbs, shrubs, scramblers or trees",(12 g.),,,Rosaceae undiff.
HYACINTHACEAE,Hyacinthaceae,H,N,Hyacinthaceae undiff.,herbs with bulbs,(12 g.),,,Hyacinthaceae undiff.
CELASTRACEAE/HIPPOCRATEACEAE,Celastraceae/Hippocrateaceae,STL,AL,Celastraceae/Hippocrateaceae undiff.,"trees, shrubs, lianes",(12+17 g.),,,Celastraceae undiff.
VERBENACEAE,Verbemaceae,HSTL,I,Verbenaceae undiff.,"herbs, shrubs, trees or woody climbers, sometimes thorny",(13 g.),,"mis-spelling; not covered by FZ, FCBBR",Verbenaceae undiff.
ARECACEAE,Arecaceae,PI,PI,Palmae undiff.,"trees to shrublets, and climbers, armed or unarmed",(13 g.),,"not covered by FZ, FCBBR",Arecaceae undiff.
FABACEAE,Fabaceae,HSTL,I,Fabaceae undiff.,"trees, shrubs, lianes or most often herbs, mostly unarmed",(136 g.),,,Fabaceae undiff.
ICACINACEAE,Cf Icacinaceae,STL,AL,Icacinaceae undiff.,"trees, shrubs or woody (rarely herbaceous) climbers",(14 g.),,,Icacinaceae undiff.
CAPPARACEAE,Capparaceae,HST(L),I,Capparidaceae undiff.,"herbs, shrubs or trees, sometimes scrambling or climbing with or without thorns",(14 g.),,,Capparidaceae undiff.
PODOSTEMACEAE,Podostemonaceae,Ha,Nq,Podostemaceae undiff.,submerged fresh-water herbs,(14 g.),,mis-spelling,Podostemaceae undiff.
MORACEAE,Moraceae,HST,I,Moraceae undiff.,"trees, shrubs or perennial herbs",(15 g.),,,Moraceae undiff.
RUTACEAE,Cf Rutaceae,ST(HL),AL,Rutaceae undiff.,"shrubs or trees, occasionally herbs (Ruta: introduced) or climbers (Toddalia)",(16 g.),,,Rutaceae undiff.
MALVACEAE,Malvaceae,H(ST),I,Malvaceae undiff.,"herbs or suffrutex, sometimes shrubs or trees",(16 g.),,not covered by FTEA,Malvaceae undiff.
COMMELINACEAE,Commelinacea,H,N,Commelinaceae undiff.,"perennials or annual herbs, often succulent",(16 g.),,"mis-spelling; not covered by FTEA, FCBBR, FZ ",Commelinaceae undiff.
RUBIACEAE,Virecta,HSTL,I,Rubiaceae undiff.,"trees, shrubs or annual or perennial herbs or woody or herbaceous climbers",(166 g.),,syn. Virectaria & Pentas; not covered by FCBBR,Rubiaceae undiff.
MELIACEAE,Carapa/Ekebergia,ST,A,Meliaceae undiff.,"trees, shrubs or shrublets",(17 g.),,,Meliaceae undiff.
CELASTRACEAE,Hippocrateaceae,STL,AL,Hippocrateaceae undiff.,"lianes, shrubs or trees",(17 g.),some CELASTRACEAE (STL),,Celastraceae undiff.
IRIDACEAE,Iridaceae,H(S),N,Iridaceae undiff.,"perennial evergreen or seasonal herbs, with rhizomes, bulbs or corms, rarely annuals or shrubs",(17 g.),,,Iridaceae undiff.
LORANTHACEAE,Loranthaceae,S(p),Ap,Loranthaceae undiff.,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",(18 g.),,,Loranthaceae undiff.
GENTIANACEAE,cf. Gentianaceae,H(Sep),I,Gentianaceae undiff.,"annual or perennial herbs, sometimes parasitic, rarery shrubs",(18 g.),,,Gentianaceae undiff.
URTICACEAE,Cf Urticaceae,HSL,I,Urticaceae undiff.,"annual or perennial herbs, shrubs or lianas",(18 g.),,,Urticaceae undiff.
ARACEAE,Araceae,H,N,Araceae undiff.,herbs,(18 g.),,,Araceae undiff.
ASTERACEAE,Asteraceae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",(180 g.),,,Asteraceae undiff.
BOMBACACEAE,Bombacaceae,T,A,Bombacaceae undiff.,trees,(2 + 4 g.),,,Bombacaceae undiff.
DIPTEROCARPACEAE,Dipterocarpaceae,T,A,Dipterocarpaceae undiff.,small or large trees,(2 g.),,,Dipterocarpaceae undiff.
EBENACEAE,Ebenaceae,ST,A,Ebenaceae undiff.,trees or shrubs,(2 g.),,,Ebenaceae undiff.
ERYTHROXYLACEAE,Erythroxylaceae,ST,A,Erythroxylaceae undiff.,"trees, shrubs or subshrubs",(2 g.),,,Erythroxylaceae undiff.
PANDACEAE,Pandaceae,ST,A,Pandaceae undiff.,trees or shrubs,(2 g.),,,Pandaceae undiff.
MONIMIACEAE,Monimiaceae,ST(L),AL,Monimiaceae undiff.,"trees, shrubs or lianes",(2 g.),,,Monimiaceae undiff.
DROSERACEAE,Droseraceae,H,N,Droseraceae undiff.,herbs,(2 g.),,,Droseraceae undiff.
JUNCACEAE,Juncaeae,H(S),N,Juncaceae undiff.,"annual or perennial herbs, rarely shrubs",(2 g.),,mis-spelling,Juncaceae undiff.
LENTIBULARIACEAE,Lentibulariaceae,H(aep),N,Lentibulariaceae undiff.,"terrestrial, epiphytic or aquatic herbs",(2 g.),,,Lentibulariaceae undiff.
OXALIDACEAE,Oxalidaceae,H,N,Oxalidaceae undiff.,herbs or subshrubs,(2 g.),,,Oxalidaceae undiff.
VALERIANACEAE,Valerianaceae,H,N,Valerianaceae undiff.,"annual or perennial herbs, sometimes woody at the base, with strongly scented rhizomes",(2 g.),,,Valerianaceae undiff.
ONAGRACEAE,Cf Onagraceae,Ha,Nq,Onagraceae undiff.,"plants mostly herbaceous, sometimes shrubby, occasionally aquatic",(2 g.+ 1),,,Onagraceae undiff.
AIZOACEAE,Aiozoaceae large,H(S),I,Aizoaceae undiff.,"herbs, rarely shrubs, sometimes slightly succulent",(21 g.),,mis-spelling,Aizoaceae undiff.
STERCULIACEAE,Sterculiaceae,ST(HL),I,Sterculiaceae undiff.,"trees, shrubs, exceptionally lianes or herbs",(23 g),,not covered by FTEA,Sterculiaceae undiff.
BORAGINACEAE,Boraginaceae,HSTL,I,Boraginaceae undiff.,"herbs, often woody at the base, shrubs, trees or woody climbers",(23 g.),,,Boraginaceae undiff.
SAPOTACEAE,Cf Sapotaceae,ST,AL,Sapotaceae undiff.,trees or shrubs,(24 g.),,,Sapotaceae undiff.
AMARANTHACEAE,Chenopodiaceae,H(ST),I,Chenopodiaceae undiff.,"annual or perennial herbs, sometimes shrubs, rarely small trees",(24 g.),some AMARANTHACEAE H(L),,Amaranthaceae undiff.
POACEAE,Gramineae,H(T),N,Poaceae undiff.,annual or perennial herbs (rarely tree-like: bamboo),(243 g.),,not covered by FCBBR,Poaceae undiff.
MELASTOMATACEAE,Melastomaceae,H(STLep),I,Melastomataceae undiff.,"trees, shrubs or more commonly herbs, rarely climbers, sometimes epiphytes",(25 g.),some COMBRETACEAE (STL),mis-spelling; not covered by FCBBR,Melastomataceae undiff.
MELASTOMATACEAE,Melastomacées,H(STLep),I,Melastomataceae undiff.,"trees, shrubs or more commonly herbs, rarely climbers, sometimes epiphytes",(25 g.),some COMBRETACEAE (STL),mis-spelling; not covered by FCBBR,Melastomataceae undiff.
MENISPERMACEAE,Menispermaceae,L(ST),AL,Menispermaceae undiff.,"woody or herbaceous climbers, rarely erect shrubs or trees",(26 g.),,,Menispermaceae undiff.
MIMOSACEAE,Acacia/Albizzia,STL(H),AL,Mimosaceae undiff.,"trees, shrubs, lianes or rarely herbs",(26 g.),,mis-spelling; 2 different genera,Mimosaceae undiff.
CARYOPHYLLACEAE,Caryophillaceae,H(S),I,Caryophyllaceae undiff.,"herbs or subshrubs, sometimes shrubby trees",(26 g.),,mis-spelling,Caryophyllaceae undiff.
CONVOLVULACEAE,Convolvulaceae,HSp(TL),I,Convolvulaceae undiff.,"herbs, shrubs or leafless parasites, rarely small trees, twining or prostrate",(28 g.),,not covered by FCBBR ,Convolvulaceae undiff.
FLACOURTIACEAE,Flacourtiaceae,ST,A,Flacourtiaceae undiff.,trees and shrubs,(29 g.),,,Flacourtiaceae undiff.
BRASSICACEAE,Brassicaceae,H(S),I,Brassicaceae undiff.,"herbs, sometimes shrublets  or shrubs",(29 g.),,,Brassicaceae undiff.
IRVINGIACEAE,Irvingiaceae,T,A,Irvingiaceae undiff.,trees,(3 g.),,,Irvingiaceae undiff.
PROTEACEAE,Protaceae,ST,A,Proteaceae undiff.,"trees, shrubs or suffructices",(3 g.),,mis-spelling,Proteaceae undiff.
SALVADORACEAE,Salvadoraceae,ST,A,Salvadoraceae undiff.,trees or shrubs,(3 g.),,,Salvadoraceae undiff.
THEACEAE,Cf Theaceae,ST,A,Theaceae undiff.,"trees or shrubs, usually evergreen",(3 g.),,,Theaceae undiff.
ARALIACEAE,Araliaceae,STL(ep),AL,Araliaceae undiff.,"trees, shrubs, lianes, sometimes epiphytic",(3 g.),,,Araliaceae undiff.
VISCACEAE,Viscaceae,HS(p),Ap,Viscaceae undiff.,"perennial herbs or shrubs, hemiparasitic on the stems of other woody plants",(3 g.),,,Viscaceae undiff.
LINACEAE,Linaceae,HSTL,I,Linaceae undiff.,"herbs, shrubs, trees and climbers",(3 g.),,,Linaceae undiff.
PHYTOLACCACEAE,Phytolacaceae,HST(L),I,Phytolaccaceae undiff.,"trees, shrubs or herbs, erect or scrambling",(3 g.),,mis-spelling,Phytolaccaceae undiff.
PIPERACEAE,Piperaceae,HepSL,I,Piperaceae undiff.,"herbs, sometimes woody at base, often epiphytic and/or climbing, or  shrubs",(3 g.),,,Piperaceae undiff.
SCROPHULARIACEAE?,Selaginaceae,HS,I,Selaginaceae undiff.,"annual or perennial herbs, subshrubs or shrubs",(3 g.),,,Scrophulariaceae undiff.
ZYGOPHYLLACEAE,Zygophyllaceae,HS,I,Zygophyllaceae undiff.,"herbs or shrubs, rarely annual",(3 g.),,,Zygophyllaceae undiff.
***ANTHOCEROTACEAE,Anthoceroctales,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)",(3 g.) ?,,mis-spelling; not in Lebrun & Stork,Anthocerotaceae undiff.
MYRTACEAE,Myrtacea,ST,A,Myrtaceae undiff.,"trees, shrubs or occasionally subshrubs",(3 g.+ 9 cult.),,mis-spelling,Myrtaceae undiff.
CUCURBITACEAE,Cucurbitaceae,H(L),NL,Cucurbitaceae undiff.,"prostrate or climbing herbs with tendrils, rarely rather woody",(32 g.),,,Cucurbitaceae undiff.
SAPINDACEAE,Sapinaceae,STL,AL,Sapindaceae undiff.,"trees, shrubs or woody (rarely herbaceous) climbers",(34 g.),,mis-spelling,Sapindaceae undiff.
AMARANTHACEAE,Amaranthaceae,H(L),I,Amaranthaceae undiff.,"annual or perennial herbs or subshrubs, rarely lianes",(36 g.),some CHENOPODIACEAE (H(ST)),,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Amarantaceae/Chenopodiaceae,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",(36+24 g.),,mis-spelling,Amaranthaceae undiff.
ANNONACEAE,Annona,STL,AL,Annonaceae undiff.,"trees, shrubs or lianes, less often small shrublets",(39 g.),,,Annonaceae undiff.
OLEACEAE/CRUCIFERAE,Oleaceae/Cruciferae comp.,HSTL,I,Oleaceae/Brassicaceae undiff.,"herbs, shrubs, trees or lianas",(4 + 29 g.),,,Oleaceae/Brassicaceae undiff.
RHIZOPHORACEAE,Rhizophoraceae,ST,A,Rhizophoraceae undiff.,shrubs and trees,(4 g.),,,Rhizophoraceae undiff.
ULMACEAE,Celtis Holoptelea,ST,A,Ulmaceae undiff.,"trees or shrubs, sometimes armed",(4 g.),,,Ulmaceae undiff.
OLEACEAE,Cf Oleaceae,STL,AL,Oleaceae undiff.,"trees, shrubs or woody climbers",(4 g.),,,Oleaceae undiff.
OPILIACEAE,Opiliaceae,STL,AL,Opiliaceae undiff.,"trees, shrubs or woody climbers",(4 g.),,,Opiliaceae undiff.
AGAVACEAE,Agavaceae,HT,I,Agavaceae undiff.,large herbs or trees,(4 g.),,all introduced and cultivated (ex. Sisal),Agavaceae undiff.
LOBELIACEAE,Lobeliaceae type 1,HST,I,Lobeliaceae undiff.,"annual or perennial herbs, subshrubs, shrubs or trees",(4 g.),,,Lobeliaceae undiff.
NYCTAGINACEAE,Nyctaginaceae,HSTL,I,Nyctaginaceae undiff.,"herbs, shrubs, trees and woody climbers",(4 g.),,,Nyctaginaceae undiff.
PLUMBAGINACEAE,Plumbaginaceae,HS,I,Plumbaginaceae undiff.,"perennial, rarely annual, herbs or small shrubs",(4 g.),,not covered by FCBBR,Plumbaginaceae undiff.
SANTALACEAE,Santalaceae,HST(p),I,Santalaceae undiff.,"herbs, trees or shrubs, often root hemiparasitic",(4 g.),,,Santalaceae undiff.
BURMANNIACEAE,Burmaniaceae,H,N,Burmanniaceae undiff.,"small herbs, usually saprophytic and lacking chlorophyll",(4 g.),,mis-spelling,Burmanniaceae undiff.
HALORRHAGACEAE,Halloragaceae,H,N,Halorrhagaceae undiff.,"aquatic or terrestrial herbs, or subshrubs",(4 g.),,mis-spelling,Halorrhagaceae undiff.
PAPAVERACEAE,Papaveraceae,H(S),N,Papaveraceae undiff.,"herbs, rarely subshrubs or shrubs",(4 g.),,introduced,Papaveraceae undiff.
ERIOCAULACEAE,Eriocaulaceae,Ha,Nq,Eriocaulaceae undiff.,perennial or annual herbs growing in seasonally wet places or in shallow water,(4 g.),,"4 genera are of same type; not covered by FZ, FCBBR",Eriocaulaceae undiff.
LEMNACEAE,Lemnaceae,Ha,Nq,Lemnaceae undiff.,aquatic herbs,(4 g.),,,Lemnaceae undiff.
PONTEDERIACEAE,Pontederiaceae,Ha,Nq,Pontederiaceae undiff.,"herbs, floating on or growing in fresh water",(4 g.),,,Pontederiaceae undiff.
*SCHIZAEACEAE,Schizeaceae undiff.,F,Sp,Schizaeaceae undiff.,terrestrial ferns,(4 g.),,mis-spelling; not in Lebrun & Stork,Schizaeaceae undiff.
APOCYNACEAE,Apocynaceae,STL(H),I,Apocynaceae undiff.,"trees, shrubs or climbers, rarely herbs",(43 g.),,,Apocynaceae undiff.
CYPERACEAE,Cyperacaea,H(L),NL,Cyperaceae undiff.,"annual or perennial herbs, sometimes climbing",(43 g.),,mis-spelling,Cyperaceae undiff.
APIACEAE,Apiaceae,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",(44 g.),,not covered by FCBBR,Apiaceae undiff.
DIPSACACEAE,Dipsacaceae,H,N,Dipsacaceae undiff.,"annual or perennial herbs, sometimes suffructescent",(5 g).,,,Dipsacaceae undiff.
ERICACEAE,Ericaceae,ST,A,Ericaceae undiff.,"small trees, shrubs or subshrubs",(5 g.),,,Ericaceae undiff.
LAURACEAE,Lauraceae,T(S),A,Lauraceae undiff.,"mostly evergreen trees, shrubs",(5 g.),,,Lauraceae undiff.
CAMPANULACEAE,Campanulacea,H(S),I,Campanulaceae undiff.,"herbs, subshrubs, rarely small shrubs",(5 g.),,mis-spelling,Campanulaceae undiff.
GERANIACEAE,Geraniaceae,HS,I,Geraniaceae undiff.,annual or perennial herbs or small shrubs,(5 g.),,,Geraniaceae undiff.
MYRSINACEAE,Myrsinaceae,HST,I,Myrsinaceae undiff.,"shrubs or trees, woody herbs",(5 g.),,,Myrsinaceae undiff.
POLYGALACEAE,Polygalaceae,HS(TL),I,Polygalaceae undiff.,"herbs, shrubs and subshrubs, rarely woody climbers or small trees",(5 g.),,not covered by FTEA,Polygalaceae undiff.
RESEDACEAE,cf. Resedaceae,H(S),I,Resedaceae undiff.,"herbs, rarely small shrubs",(5 g.),,,Resedaceae undiff.
VIOLACEAE,Violaceae,HST,I,Violaceae undiff.,"annual or perennial herbs, shrubs or trees",(5 g.),,,Violaceae undiff.
VITACEAE,Ampelidaceae,HSL,I,Vitaceae undiff.,"erect, trailing or climbing perennial herbs or shrubs, or woody climbers",(5 g.),,,Vitaceae undiff.
ASPHODELACEAE,Asphodelaceae,H,N,Asphodelaceae undiff.,annual or perennial herbs,(5 g.),,,Asphodelaceae undiff.
LAMIACEAE,Labiae,HS,I,Lamiaceae undiff.,"shrubs, subshrubs, suffrutex or herbs",(53 g.),,"mis-spelling; syn. Not recovered by FTEA,FCBBR,FZ",Lamiaceae undiff.
BURSERACEAE,Burseraceae,ST,A,Burseraceae undiff.,"trees and shrubs, often spiny",(6 g.),,probably not Commiphora,Burseraceae undiff.
CLUSIACEAE,Clusiaceae undiff.,ST(H),A,Clusiaceae undiff.,"trees or shrubs, rarely subshrubs",(6 g.),,,Clusiaceae undiff.
HYPERICACEAE,Hypericaceae,HST(L),I,Hypericaceae undiff.,"herbs, suffrutices, shrubs or trees rarely climbers",(6 g.),,,Hypericaceae undiff.
SOLANACEAE,Cf Solanaceae,HSTL,I,Solanaceae undiff.,"erect shrubs, small trees or sarmentous, lianes or herbs",(6 g.),,"not covered by FTEA, FCBBR, FZ",Solanaceae undiff.
RANUNCULACEAE,Ranonculaceae,HSL(a),I,Ranunculaceae undiff.,"aquatic or terrestrial herbs, climbing or trailing shrubs, or woody climbers",(7 g.),,mis-spelling,Ranunculaceae undiff.
TURNERACEAE,Turneraceae,HS(T),I,Turneraceae undiff.,"herbs and shrubs, rarely trees",(7 g.),,,Turneraceae undiff.
ALISMATACEAE,Alismataceae,Ha,Nq,Alismataceae undiff.,"perennial, rarely annual, aquatic or marsh herbs",(7 g.),,,Alismataceae undiff.
SCROPHULARIACEAE,Cf Scrophulariaceae,HS(T),I,Scrophulariaceae undiff.,"herbs or shrubs, rarely small trees",(70 g.),,"not covered by FTEA, partly in FCBBR",Scrophulariaceae undiff.
ACANTHACEAE,Acanthaceae,HS(TL),I,Acanthaceae undiff.,"herbs or suffrutices, shrubs, more rarely small trees or lianes",(74 g.),,"not covered by FTEA, FCBBR, FZ",Acanthaceae undiff.
BUDDLEJACEAE,Loganiaceae,ST(L),AL,Loganiaceae undiff.,"shrubs or trees, sometimes climbing",(8 g.),,,Buddlejaceae undiff.
GESNERIACEAE,Gesneriaceae,H(STLep),I,Gesneriaceae undiff.,"herbs, less often shrubs, climbers or rarely trees, sometimes epiphytic",(8 g.),,,Gesneriaceae undiff.
AMARYLLIDACEAE,Amaryllidaceae,H(a),N,Amaryllidaceae undiff.,perennial herbs with bulbs,(8 g.),,,Amaryllidaceae undiff.
COLCHICACEAE,Colchicaceae,H,N,Colchicaceae undiff.,perennial herbs,(8 g.),,,Colchicaceae undiff.
CRASSULACEAE,Crassulaceae,H,N,Crassulaceae undiff.,succulent herbs or subshrubs,(8 g.),,,Crassulaceae undiff.
CRASSULACEAE,Crassulaceae (Africa),H,N,Crassulaceae undiff.,succulent herbs or subshrubs,(8 g.),,,Crassulaceae undiff.
PRIMULACEAE,Cf Primulaceae,H(S),N,Primulaceae undiff.,"annual or perennial herbs, or rarely shrubs",(8 g.),,,Primulaceae undiff.
BUDDLEJACEAE/SALVADORACEAE,Loganiaceae/Salvadoraceae,STL,AL,Loganiaceae/Salvadoraceae undiff.,"shrubs, trees and lianas",(8+3 g.),Theaceae (ST),,Buddlejaceae/Salvadoraceae undiff.
CAESALPINIACEAE,Caesalpinaceae,STL(H),I,Caesalpiniaceae undiff.,"trees, shrubs or lianes, less often herbs, sometimes armed",(84 g.),,mis-spelling; not covered by FZ,Caesalpiniaceae undiff.
ASCLEPIADACEAE,Asclepiadaceae,HL(S),I,Asclepiadaceae undiff.,"herbs, lianes or stem-succulents, rarely shrublets or shrubs",(86 g.),,"not covered by FTEA, FCBBR, FZ",Asclepiadaceae undiff.
CHRYSOBALANACEAE,Acioa,ST,A,Chrysobalanaceae undiff.,trees or shrubs,(9 g.),,syn. Dactyladenia & Hirtella,Chrysobalanaceae undiff.
MALPIGHIACEAE,Malpighiaceae,L(ST),AL,Malpighiaceae undiff.,"mostly woody climbers, sometimes shrubs or small trees",(9 g.),,,Malpighiaceae undiff.
LYTHRACEAE,Lythraceae,HST,I,Lythraceae undiff.,"herbs (often in or near water), shrubs and trees",(9 g.),,,Lythraceae undiff.
POLYGONACEAE,Cf Polygonaceae,H(SL),I,Polygonaceae undiff.,herbs or sometimes shrubs or lianes,(9 g.),,,Polygonaceae undiff.
PORTULACACEAE,Portulacaceae,H(ST),I,Portulacaceae undiff.,"annual or perennial herbs, occasionally soft-wooded shrubs or small trees",(9 g.),,,Portulacaceae undiff.
HYDROCHARITACEAE,Hydrocharitaceae,H,Nq,Hydrocharitaceae undiff.,"herbs perennial, rarely annual, of fresh water or marine",(9 g.),,"not covered by FCBBR, FZ",Hydrocharitaceae undiff.
ORCHIDACEAE,Orchidaceae (Africa),H,N,Orchidaceae undiff.,"perennial, terrestrial, saprophytic, epiphytic or very rarely aquatic herbs",(90 g.),,,Orchidaceae undiff.
EUPHORBIACEAE,Cf Euphorbiaceae,HST(L),I,Euphorbiaceae undiff.,"herbs, shrubs or trees, with the stems succulent or not, spiny or unarmed, sometimes climbing",(98 g.),,,Euphorbiaceae undiff.
ABIETACEAE,Abies,T,A,Abies,trees up to 20 m high,?,,not in Lebrun & Stork (N. Africa),Abies
ABIETACEAE,Abies undiff.,T,A,Abies,trees up to 20 m high,?,,not in Lebrun & Stork (N. Africa),Abies
ABIETACEAE,Picea,T,A,Picea,tree,?,,not in Lebrun & Stork,Picea
ACERACEAE,Acer,T,A,Acer,trees,?,,not in Lebrun & Stork (N. Africa),Acer
ANACARDIACEAE,Cotinus,ST,A,Cotinus,shrubs or trees,?,,not in Lebrun & Stork,Cotinus
ANACARDIACEAE,Poupartia,T,A,Poupartia-type,trees,?,some Operculicarya,not in Lebrun & Stork (Madagascar),Poupartia-type
ASTERACEAE,Warionia,S,A,Warionia-type,shrubs (MUTISIEAE),?,,not in Lebrun & Stork (Sahara),Warionia-type
ASTERACEAE,Warionia-type,S,A,Warionia-type,shrubs (MUTISIEAE),?,,not in Lebrun & Stork (Sahara),Warionia-type
BETULACEAE,Alnus,T,A,Alnus,trees,?,,not in Lebrun & Stork,Alnus
BETULACEAE,cf. Betula,T,A,Betula,trees,?,,not in Lebrun & Stork,Betula
BETULACEAE,Betulaceae,T,A,Betulaceae undiff.,trees,?,,not in Lebrun & Stork,Betulaceae undiff.
BRUNIACEAE,Bruniaceae,S,A,Bruniaceae undiff.,heath-like shrubs,?,,not in Lebrun & Stork (South Africa),Bruniaceae undiff.
CAPRIFOLIACEAE,Abelia,S,A,Abelia,shrubs,?,,not in Lebrun & Stork ,Abelia
CORYLACEAE,Carpinus,T,A,Carpinus,trees,?,,not in Lebrun & Stork,Carpinus
