FAMILIES, ORIGINAL NAMES,PLANT HABIT,POLLEN HABIT,PROPOSED NAMES,HABIT
**** MARINE PALYNOMORPHS,Dinocystes,,Other,Other,
**** MARINE PALYNOMORPHS,Dinoflagelle,,Other,Other,
**** MARINE PALYNOMORPHS,Dinoflagelles,,Other,Other,
**** MARINE PALYNOMORPHS,Dinoflagellés,,Other,Other,
*****DICTYOSPHAERIACEAE,Botryo,,Other,Other,
*****DICTYOSPHAERIACEAE,Botryococcus,,Other,Other,
*****DICTYOSPHAERIACEAE,Botryococcus braunii,,Other,Other,
*****HYDRODICTYACEAE,Pediastrum boryanum,,Other,Other,
*****HYDRODICTYACEAE,Pediastrum duplex,,Other,Other,
*****HYDRODICTYACEAE,Pediastrum type 1,,Other,Other,
*****SCENEDESMACEAE,Coelastrum,,Other,Other,
*****ZOSTERACEAE,Zostera,,Other,Other,
****OTHER PALYNOMORPHS,Fungal spores,,Other,Other,
****OTHER PALYNOMORPHS,Sporomorphes reworked,,Other,Other,
****OTHER PALYNOMORPHS,"Sporomorphes, reworked",,Other,Other,
****OTHER PALYNOMORPHS,Ferns & moss spores,,S,Spores undiff.,
****OTHER PALYNOMORPHS,"H,patiques",B,S,Spores undiff.,
****OTHER PALYNOMORPHS,Hépatiques,B,S,Spores undiff.,
****OTHER PALYNOMORPHS,Mousses,B,S,Spores undiff.,
****OTHER PALYNOMORPHS,Other spores,,S,Spores undiff.,
****OTHER PALYNOMORPHS,Perine spore,,S,Spores undiff.,
****OTHER PALYNOMORPHS,Pteridium/Selaginella,,S,Spores undiff.,
****OTHER PALYNOMORPHS,Spores,,S,Spores undiff.,
****OTHER PALYNOMORPHS,Spores indeterminees,,S,Spores undiff.,
****OTHER PALYNOMORPHS,spores indeterminees,,S,Spores undiff.,
****OTHER PALYNOMORPHS,Spores undiff.,,S,Spores undiff.,
***ANTHOCEROTACEAE,Anthoceras,B,Sb,Anthoceros,thallose hornrworts
***ANTHOCEROTACEAE,Anthoceros,B,Sb,Anthoceros,thallose hornrworts
***ANTHOCEROTACEAE,Anthoceros (Xn),B,Sb,Anthoceros,thallose hornrworts
***ANTHOCEROTACEAE,SpAnthoceros,B,Sb,Anthoceros,thallose hornrworts
***ANTHOCEROTACEAE,Anthoceroctales,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerotaceae,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerotaceae undiff.,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerotae,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerotales,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerothaceae,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Anthocerothales,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***ANTHOCEROTACEAE,Bryophyta anthocerotaceae,B(ep),Sb,Anthocerotaceae undiff.,"terrestrial or epiphytic plants, thallose, forming rosettes, or dichotomously branching (hornworts)"
***AYTONIACEAE,Asterella,B,Sb,Asterella,tallose liverwort
***AYTONIACEAE,Reboulia,B,Sb,Reboulia,livewort
***BRYOPHYTA,Bryophytes,B,Sb,Bryophyta undiff.,"mosses, liverworts and hornworts"
***BRYOPHYTA,Bryophytes indt,B,Sb,Bryophyta undiff.,"mosses, liverworts and hornworts"
***BRYOPHYTA,Hépathiques,B,Sb,Bryophyta undiff.,"mosses, liverworts and hornworts"
***FOSSOMBRONIACEAE,Fossombronia,B,Sb,Fossombronia,liverwort
***RICCIACEAE,Riccia,Ba,Sb,Riccia,"aquatic liverwort, thallose, dichotomously branching"
***SPHAGNACEAE,Sphagnum,Ba,Sb,Sphagnum,aquatic mosses
***SPHAGNACEAE,Sphagnuum,Ba,Sb,Sphagnum,aquatic mosses
**EQUISETACEAE,Equisetum,,,Equisetum,terrestrial or swampy rhizomatous perennial plants
**EQUISETACEAE,Equisum,,,Equisetum,terrestrial or swampy rhizomatous perennial plants
**EQUISETACEAE,SpEquisetum,,,Equisetum,terrestrial or swampy rhizomatous perennial plants
**ISOETACEAE,Isoetes,,Ss,Isoetes,aquatic plants
**ISOETACEAE,SpIsoetes,,Ss,Isoetes,aquatic plants
**LYCOPODIACEAE,Lycopodiaceae,F(ep),Sp,Lycopodiaceae undiff.,terrestrial or epiphytic herbaceous ferns
**LYCOPODIACEAE,Lycopodiaceae undiff.,F(ep),Sp,Lycopodiaceae undiff.,terrestrial or epiphytic herbaceous ferns
**LYCOPODIACEAE,Lycopodium cernuum,F,Sp,Lycopodiella cernua-type,terrestrial fern
**LYCOPODIACEAE,cf Lycopodiella,F,Sp,Lycopodium,terrestrial herbaceous ferns
**LYCOPODIACEAE,Huperzia,F,Sp,Lycopodium,terrestrial herbaceous ferns
**LYCOPODIACEAE,Lycopodiella,F,Sp,Lycopodium,terrestrial herbaceous ferns
**LYCOPODIACEAE,Lycopodiella-type,F,Sp,Lycopodium,terrestrial herbaceous ferns
**LYCOPODIACEAE,Lycopodium,F,Sp,Lycopodium,terrestrial herbaceous ferns
**LYCOPODIACEAE,Lycopodium (Africa),F,Sp,Lycopodium,terrestrial herbaceous ferns
**LYCOPODIACEAE,Lycopodium sp. 1,F,Sp,Lycopodium,terrestrial herbaceous ferns
**LYCOPODIACEAE,Lycopodium sp. 2,F,Sp,Lycopodium,terrestrial herbaceous ferns
**LYCOPODIACEAE,Lycopodium undiff.type,F,Sp,Lycopodium,terrestrial herbaceous ferns
**LYCOPODIACEAE,SpLycopodium,F,Sp,Lycopodium,terrestrial herbaceous ferns
**LYCOPODIACEAE,Lycopodium clavatum-type,F,Sp,Lycopodium clavatum-type,terrestrial herbaceous fern
**LYCOPODIACEAE,Lycopodium strictum type,F,Sp,Lycopodium strictum-type,terrestrial herbaceous fern
**SELAGINELLACEAE,Selaginella,,,Selaginella,"perennial, or rarely annual, herbaceous plants closely related to Pteridophyta"
**SELAGINELLACEAE,Selaginella microspores,,,Selaginella,"perennial, or rarely annual, herbaceous plants closely related to Pteridophyta"
**SELAGINELLACEAE,Selaginella myos,,,Selaginella,"perennial, or rarely annual, herbaceous plants closely related to Pteridophyta"
**SELAGINELLACEAE,Selaginella sp.,,,Selaginella,"perennial, or rarely annual, herbaceous plants closely related to Pteridophyta"
**SELAGINELLACEAE,Selaginella spp.,,,Selaginella,"perennial, or rarely annual, herbaceous plants closely related to Pteridophyta"
**SELAGINELLACEAE,Selaginella type,,,Selaginella,"perennial, or rarely annual, herbaceous plants closely related to Pteridophyta"
**SELAGINELLACEAE,Seleginella spp.,,,Selaginella,"perennial, or rarely annual, herbaceous plants closely related to Pteridophyta"
*ACTINIOPTERIDACEAE,Actiniopetris radiata,F,Sp,Actiniopteris radiata-type,terrestrial fern
*ACTINIOPTERIDACEAE,Actinopteris radiata,F,Sp,Actiniopteris radiata-type,terrestrial fern
*ADIANTACEAE,Adianthum-type,F,Sp,Adiantum,"terrestrial, small to medium ferns"
*ADIANTACEAE,Adiantum,F,Sp,Adiantum,"terrestrial, small to medium ferns"
*ADIANTACEAE,cf. Adiantum,F,Sp,Adiantum,"terrestrial, small to medium ferns"
*ADIANTACEAE,Annogramma leptophylla,F,Sp,Anogramma leptophylla,"terrestrial fern, 2.5-10(-23) cm tall"
*ADIANTACEAE,Anogramma leptophylla,F,Sp,Anogramma leptophylla,"terrestrial fern, 2.5-10(-23) cm tall"
*ADIANTACEAE,cf. Cheilanthes,F,Sp,Cheilanthes,terrestrial ferns
*ADIANTACEAE,cf. Chleilanthes,F,Sp,Cheilanthes,terrestrial ferns
*ADIANTACEAE,Cheilanthes farinosa,F,Sp,Cheilanthes farinosa-type,terrestrial fern
*ADIANTACEAE,Cheilanthes/Pellaea,F,Sp,Cheilanthes/Pellaea,terrestrial ferns
*ADIANTACEAE,Gymnogramma,F,Sp,Gymnopteris,terrestrial ferns
*ADIANTACEAE,Pellaea,F,Sp,Pellaea,terrestrial ferns
*ADIANTACEAE,Pellaea-type,F,Sp,Pellaea,terrestrial ferns
*ADIANTACEAE,Pityrogramma,F,Sp,Pityrogramma,terrestrial ferns
*ASPIDIACEAE,Dryopteridaceae,F,Sp,Aspidiaceae undiff.,terrestrial ferns
*ASPLENIACEAE,Asplenium-type,F(ep),Sp,Asplenium,terrestrial or epiphytic ferns
*ASPLENIACEAE,Asplenium cf. aethiopicum,F(ep),Sp,Asplenium aethiopicum-type,lithophytic or epiphytic fern
*ASPLENIACEAE,Asplenium africanum,Fep,Sp,Asplenium africanum-type,epiphytic fern (often on Elaeis)
*AZOLLACEAE,Azolla,Fa,Sp,Azolla,floating plants
*AZOLLACEAE,Azolla africana,Fa,Sp,Azolla africana,floating plant
*CYATHEACEAE,Cf Cyathea,FT,Sp,Cyathea,tree-like ferns
*CYATHEACEAE,Cyanthaceae,FT,Sp,Cyathea,tree-like ferns
*CYATHEACEAE,Cyathea,FT,Sp,Cyathea,tree-like ferns
*CYATHEACEAE,Cyatheaceae,FT,Sp,Cyathea,tree-like ferns
*CYATHEACEAE,Cyathea-type,FT,Sp,Cyathea,tree-like ferns
*CYATHEACEAE,T. Cyathea,FT,Sp,Cyathea,tree-like ferns
*CYATHEACEAE,Cyathea-type manniana,FT,Sp,Cyathea manniana-type,tree-like ferns
*DAVALLIACEAE,Davaliaceae,Fep,Sp,Davalliaceae undiff.,epiphitic (rarely terestrial) ferns
*DAVALLIACEAE,Davalliaceae,Fep,Sp,Davalliaceae undiff.,epiphitic (rarely terestrial) ferns
*DAVALLIACEAE,Davallia,Fep,Sp,Davallia-type,epiphytic fern (Elaeis)
*DENNSTAEDTIACEAE,Dennstaedtia,F,Sp,Dennstaedtia,large forest ferns
*DENNSTAEDTIACEAE,Dennstaedtia type,F,Sp,Dennstaedtia,large forest ferns
*DENNSTAEDTIACEAE,Dennstaetia,F,Sp,Dennstaedtia,large forest ferns
*DENNSTAEDTIACEAE,Lonchitis-type,F,Sp,Lonchitis occidentalis,erect terrestrial or epilithic fern
*DENNSTAEDTIACEAE,T. Lonchitis,F,Sp,Lonchitis occidentalis,erect terrestrial or epilithic fern
*DENNSTAEDTIACEAE,Type Lonchitis,F,Sp,Lonchitis occidentalis,erect terrestrial or epilithic fern
*DENNSTAEDTIACEAE,Type Microlepia speluncae,F,Sp,Microlepia speluncae,perennial fern
*GLEICHENIACEAE,T. Gleichenia linearis,F,Sp,Gleichenia linearis,terrestrial fern
*GLEICHENIACEAE,Type Gleichenia linearis,F,Sp,Gleichenia linearis,terrestrial fern
*GRAMMITIDACEAE,Gramatis,Fep,Sp,Grammitis,epiphytic fern
*GRAMMITIDACEAE,Gramitis,Fep,Sp,Grammitis,epiphytic fern
*MARSILEACEAE,Marsilea,Fa,Sp,Marsilea,aquatic or semi-aquatic ferns
*MARSILEACEAE,Marsilea microspores,Fa,Sp,Marsilea,aquatic or semi-aquatic ferns
*MARSILEACEAE,typeMarsilea microspores,Fa,Sp,Marsilea,aquatic or semi-aquatic ferns
*OLEANDRACEAE,Nephrolepis,F(ep),Sp,Nephrolepis-type,terrestrial or epiphytic ferns (Elaeis)
*OLEANDRACEAE,Nephrolepis biserrata,F(ep),Sp,Nephrolepis-type biserrata,terrestrial or epiphytic fern (Elaeis)
*OLEANDRACEAE,Type Nephrolepis biserrata,F(ep),Sp,Nephrolepis-type biserrata,terrestrial or epiphytic fern (Elaeis)
*OLEANDRACEAE/DAVALLIACEAE,Nephrolepsis/Davallia,F(ep),Sp,Nephrolepis/Davallia,terrestrial or epiphytic fern 
*OPHIOGLOSSACEAE,Ophioglossales,F(ep),Sp,Ophioglossaceae undiff.,"terrestrial, raley epiphytic, ferns"
*OPHIOGLOSSACEAE,Ophiglossum,F(ep),Sp,Ophioglossum,"terrestrial, raley epiphytic, ferns"
*OPHIOGLOSSACEAE,Ophioglossum,F(ep),Sp,Ophioglossum,"terrestrial, raley epiphytic, ferns"
*OSMUNDACEAE,Osmunda,F,Sp,Osmunda,terrestrial ferns
*OSMUNDACEAE,SpOsmunda,F,Sp,Osmunda,terrestrial ferns
*OSMUNDACEAE,Osmunda regalis,F,Sp,Osmunda regalis,"terrestrial fern, fronds 0.4-1.8 m"
*OSMUNDACEAE,Osmundaceae,F,Sp,Osmundaceae undiff.,terrestrial ferns
*OSMUNDACEAE,Todea,F,Sp,Todea,terrestrial ferns
*PARKERIACEAE,Ceratopteris,Fa,Sp,Ceratopteris,annual aquatic ferns
*PARKERIACEAE,SpCeratopteris,Fa,Sp,Ceratopteris,annual aquatic ferns
*PARKERIACEAE,Ceratopteris cornuta,Fa,Sp,Ceratopteris cornuta,annual aquatic fern
*POLYPODIACEAE,Microgramma owariensis,Fep,Sp,Microgramma lycopodioides,epiphytic fern (Elaeis)
*POLYPODIACEAE,Microsorium puctatum,Fep,Sp,Microsorium punctatum,epiphytic fern
*POLYPODIACEAE,Microsorium punctatum,Fep,Sp,Microsorium punctatum,epiphytic fern
*POLYPODIACEAE,T. Platycerium,Fep,Sp,Platycerium-type,large epiphytic fern
*POLYPODIACEAE,Type Platycerium,Fep,Sp,Platycerium-type,large epiphytic fern
*POLYPODIACEAE,Cf Polypodiaceae,Fep,Sp,Polypodiaceae undiff.,"epiphytic, more rarely terrestrial ferns"
*POLYPODIACEAE,Polypodiaceae,Fep,Sp,Polypodiaceae undiff.,"epiphytic, more rarely terrestrial ferns"
*POLYPODIACEAE,Polypodiaceae type,Fep,Sp,Polypodiaceae undiff.,"epiphytic, more rarely terrestrial ferns"
*POLYPODIACEAE,Polypodiaceae undiff.,Fep,Sp,Polypodiaceae undiff.,"epiphytic, more rarely terrestrial ferns"
*POLYPODIACEAE,Polypodiaceae-type,Fep,Sp,Polypodiaceae undiff.,"epiphytic, more rarely terrestrial ferns"
*POLYPODIACEAE,Polypodiaciaceae,Fep,Sp,Polypodiaceae undiff.,"epiphytic, more rarely terrestrial ferns"
*POLYPODIACEAE,Polyopodium,Fep,Sp,Polypodium-type polypodioides,epiphytic fern
*POLYPODIACEAE,Polypodium,Fep,Sp,Polypodium-type polypodioides,epiphytic fern
*POLYPODIACEAE,Polypodium polypodioides,Fep,Sp,Polypodium-type polypodioides,epiphytic fern
*POLYPODIACEAE (Kew: DIPTERIDACEAE ?),T. Phymatodes scolopendria,F(ep),Sp,Phymatodes scolopendria,epiphytic (Elaeis) or epilithic fern
*PTERIDACEAE,Acrostichum,F(a),Sp,Acrostichum,terrestrial or swamp-loving fern
*PTERIDACEAE,Achrostichum aureaum,F(a),Sp,Acrostichum aureum,terrestrial or swamp-loving fern (mangrove)
*PTERIDACEAE,Achrostiphum aureaum,F(a),Sp,Acrostichum aureum,terrestrial or swamp-loving fern (mangrove)
*PTERIDACEAE,Acrostichum aureum,F(a),Sp,Acrostichum aureum,terrestrial or swamp-loving fern (mangrove)
*PTERIDACEAE,Acrostychum aureum,F(a),Sp,Acrostichum aureum,terrestrial or swamp-loving fern (mangrove)
*PTERIDACEAE,Pteridaceae undiff.,F(a),Sp,Pteridaceae undiff.,terrestrial or swamp-loving ferns
*PTERIDACEAE,Pteridium,F,Sp,Pteridium-type,terrestrial fern
*PTERIDACEAE,Pteridium aquilinum,F,Sp,Pteridium-type aquilinum,terrestrial fern
*PTERIDACEAE,Pteridium-type aquilinum,F,Sp,Pteridium-type aquilinum,terrestrial fern
*PTERIDACEAE,Pteris,F,Sp,Pteris-type,terrestrial fern
*PTERIDACEAE,Pteris sp.,F,Sp,Pteris-type,terrestrial fern
*PTERIDACEAE,Pteris-type,F,Sp,Pteris-type,terrestrial fern
*PTERIDACEAE,T. Pteris,F,Sp,Pteris-type,terrestrial fern
*PTERIDACEAE,Pteris catoptera,F,Sp,Pteris-type catoptera,fronds tufted 0.25-2.5 m tall
*PTERIDACEAE,Pteris dentata,F(ep),Sp,Pteris-type dentata,"terrestrial fern, rarely epiphytic (Elaeis), fronds 0.15-2.1 m tall"
*PTERIDACEAE,Pteris cf. marginata,F,Sp,Pteris-type marginata,terrestrial fern
*PTERIDACEAE,Pteris vittata,F,Sp,Pteris-type vittata,"terrestrial fern, fronds 0.75-1.8 m tall"
*PTERIDACEAE,Pteris-type vittata,F,Sp,Pteris-type vittata,"terrestrial fern, fronds 0.75-1.8 m tall"
*PTERIDOPHYTA,Ferns monolete,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Filicales,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Filicatae isosporae,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,monolet,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,monolete,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete (lisse),F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete echinate spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete fern spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete Fern spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete Fern Spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete Ferns,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete Fren Spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,monolete psi ferns,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete psilate,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete psilate spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,monolete psilate spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete reticulate spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete rough,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete scabrate spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete smooth,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete spore,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,monolete spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete spores (Allochtonous types),F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete spores with perianth,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monolete verrucate spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,monolete verrucate spores,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monoletes,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monoletes lisses,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monoletes lisses undiff.,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monoletes rough,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monoletes smooth,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monoletes undiff,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monoletes undiff.,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monoletes verruqueuses,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Monoletes verruqueuses undiff.,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Psilate reniform,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Psilate reniform ferns,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Pteridophyta (M),F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Pteridophyta monoletes,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Pteridophytes (monolete),F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Pteropsida (monolet),F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Pteropsida (monoletes),F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Sp.mono,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Spmonolete,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Spore monolete,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Spore monolète,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Spores monolete,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Spores monoletes,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Spores monolStes,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Spores: monolete,F,Sp,Monoletes undiff.,
*PTERIDOPHYTA,Fern spores,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Ferns,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Ferns spores,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Frilly Fern,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Frilly fern,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Other ferns,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Other Pteridophytes,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Peridophyte,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Psilate ferns,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Pteridophyta,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Pteridophyta indeterminees,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Pteridophyta lisse,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Pteridophyta undiff.,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Pteridophytae,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Pteridophytes,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Pteridophytes (monolete/trilete),F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Pterydophytae,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Spores de Pteridophytes,F,Sp,Pteridophyta undiff.,
*PTERIDOPHYTA,Other trilete ferns,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Pteridophyta (T),F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Pteridophyta triletes,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Pteridophytes (trilete),F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Pteropsida (trilet),F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Pteropsida (triletes),F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Sp.tri.lisse,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Sp.tri.non lisse,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Spore trilete,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Spore trilète,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Spore trilete lisse,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Spore trilete réticulée,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Spore trilete verruqueuse,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Spores triletes,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Spores trilStes,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Spores: trilete,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Sptrilete,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,trilet,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,trilete,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete (lisse),F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete B,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete echinate,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete echinate spores,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete Ferns,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete lisse,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete psilate,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete psilate spores,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete Pteridophytes,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete reticulate spores,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete rough,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete rugulate,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete scabrate,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete smooth,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,trilete spore,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,trilete spores,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete spores,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete spores (Allochtonous types),F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete spores (various),F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete spores others,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete spores type 1,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete striate,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete verrucate,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete verrucate spores,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,trilete verrucate spores,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Trilete with cingulum,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes (lisses),F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes a cingulum,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes lisses,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes lisses undiff.,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes rough,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes smooth,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes undiff,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes undiff.,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes verruqueses,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes verruqueuses,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes verruqueuses undiff.,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,Triletes with cingulum,F,Sp,Triletes undiff.,
*PTERIDOPHYTA,TriletesB,F,Sp,Triletes undiff.,
*SALVINIACEAE,Salvinia,Fa,Sp,Salvinia,floating aquatic fern
*SALVINIACEAE,Salvinia nymphellula,Fa,Sp,Salvinia nymphellula,floating aquatic fern 
*SCHIZAEACEAE,Anemia-type,F,Sp,Anemia-type,terrestrial ferns
*SCHIZAEACEAE,SpAnemia,F,Sp,Anemia-type,terrestrial ferns
*SCHIZAEACEAE,Lycodium,F,Sp,Lygodium,"terrestrial ferns, fronds climbing"
*SCHIZAEACEAE,Lygodium,F,Sp,Lygodium,"terrestrial ferns, fronds climbing"
*SCHIZAEACEAE,Lygodium macrophyllum,FL,Sp,Lygodium microphyllum,climbing fern mostly 6-10 m long
*SCHIZAEACEAE,Lygodium microph,FL,Sp,Lygodium microphyllum,climbing fern mostly 6-10 m long
*SCHIZAEACEAE,Lygodium microphyllum,FL,Sp,Lygodium microphyllum,climbing fern mostly 6-10 m long
